date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-1.2092,0.448,1w
2021-01-13,chop,up,down,0,-6.4943,0.5587,1w
2021-01-25,chop,down,down,1,-5.2226,0.4253,1w
2021-02-03,crisis,neutral,down,0,-1.4582,0.4707,1w
2021-02-12,chop,down,down,1,-1.7241,0.388,1w
2021-02-24,chop,down,down,1,-1.9575,0.4067,1w
2021-03-05,trending_bear,neutral,down,0,-2.1851,0.4573,1w
2021-03-16,trending_bear,neutral,down,0,-6.5802,0.488,1w
2021-03-25,trending_bear,down,down,1,-3.4528,0.38,1w
2021-04-06,chop,down,down,1,-8.3769,0.3267,1w
2021-04-15,chop,down,down,1,-8.5619,0.1947,1w
2021-04-26,chop,down,down,1,-2.8357,0.2253,1w
2021-05-05,chop,down,up,0,4.3971,0.2253,1w
2021-05-14,chop,down,up,0,4.2744,0.1907,1w
2021-05-25,chop,down,up,0,2.8474,0.304,1w
2021-06-04,chop,down,neutral,0,-0.1009,0.384,1w
2021-06-15,chop,down,up,0,2.2511,0.2493,1w
2021-06-24,chop,down,up,0,3.1976,0.3787,1w
2021-07-06,chop,down,up,0,9.4586,0.4093,1w
2021-07-15,chop,down,up,0,13.5462,0.412,1w
2021-07-26,chop,up,up,1,6.8685,0.5707,1w
2021-08-04,chop,up,down,0,-2.5113,0.7253,1w
2021-08-13,chop,up,down,0,-7.3933,0.868,1w
2021-08-24,chop,up,down,0,-1.3131,0.7627,1w
2021-09-02,chop,up,neutral,0,-0.1924,0.5853,1w
2021-09-14,chop,up,up,1,1.4267,0.68,1w
2021-09-23,chop,up,up,1,7.5245,0.6507,1w
2021-10-04,chop,up,up,1,13.807,0.5707,1w
2021-10-13,chop,up,up,1,14.26,0.6387,1w
2021-10-22,chop,up,up,1,5.8892,0.6787,1w
2021-11-02,trending_bull,up,up,1,1.2489,0.7267,1w
2021-11-11,trending_bull,up,down,0,-5.4379,0.692,1w
2021-11-22,trending_bull,up,down,0,-5.0186,0.6787,1w
2021-12-02,chop,up,down,0,-4.8179,0.7627,1w
2021-12-13,chop,up,up,1,2.0076,0.6613,1w
2021-12-22,chop,up,down,0,-4.1231,0.62,1w
2022-01-03,chop,up,down,0,-12.2792,0.6173,1w
2022-01-12,chop,up,down,0,-15.273,0.58,1w
2022-01-24,chop,down,up,0,5.4641,0.3893,1w
2022-02-02,high_volatility,down,down,1,-7.4022,0.264,1w
2022-02-11,trending_bear,down,down,1,-12.7366,0.224,1w
