date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-2.3878,0.44,1w
2021-01-13,chop,neutral,down,0,-8.301,0.4707,1w
2021-01-25,chop,down,down,1,-6.5429,0.3147,1w
2021-02-03,chop,down,down,1,-17.6972,0.448,1w
2021-02-12,chop,down,down,1,-15.1043,0.412,1w
2021-02-24,chop,down,down,1,-1.519,0.3413,1w
2021-03-05,crisis,down,up,0,6.2971,0.344,1w
2021-03-16,high_volatility,down,down,1,-1.9689,0.368,1w
2021-03-25,chop,down,down,1,-5.5637,0.368,1w
2021-04-06,chop,down,down,1,-9.3093,0.312,1w
2021-04-15,chop,down,down,1,-14.3228,0.2347,1w
2021-04-26,chop,down,down,1,-4.3793,0.3507,1w
2021-05-05,chop,down,up,0,2.0425,0.2747,1w
2021-05-14,trending_bear,down,down,1,-1.0174,0.2307,1w
2021-05-25,chop,down,down,1,-10.1772,0.376,1w
2021-06-04,chop,neutral,down,0,-18.9076,0.5013,1w
2021-06-15,chop,down,down,1,-8.8714,0.3653,1w
2021-06-24,trending_bear,down,down,1,-1.6646,0.224,1w
2021-07-06,chop,down,up,0,2.082,0.2427,1w
2021-07-15,chop,down,up,0,5.9409,0.26,1w
2021-07-26,chop,down,down,1,-4.5157,0.3627,1w
2021-08-04,chop,down,down,1,-4.7341,0.2987,1w
2021-08-13,chop,down,down,1,-12.2208,0.3893,1w
2021-08-24,chop,down,down,1,-24.0183,0.3653,1w
2021-09-02,chop,down,down,1,-10.7218,0.2293,1w
2021-09-14,chop,down,down,1,-11.5672,0.3227,1w
2021-09-23,chop,down,up,0,18.1897,0.16,1w
2021-10-04,trending_bear,down,down,1,-8.168,0.2947,1w
2021-10-13,chop,down,up,0,5.7951,0.2347,1w
2021-10-22,chop,down,up,0,3.1843,0.3093,1w
2021-11-02,chop,down,up,0,26.1555,0.2747,1w
2021-11-11,chop,down,down,1,-3.7012,0.3467,1w
2021-11-22,chop,down,down,1,-5.4302,0.3893,1w
2021-12-02,chop,neutral,down,0,-5.7902,0.4907,1w
2021-12-13,chop,neutral,up,0,10.2829,0.52,1w
2021-12-22,chop,up,up,1,25.9091,0.6,1w
2022-01-03,chop,neutral,up,0,18.6015,0.5267,1w
2022-01-12,chop,up,neutral,0,-0.4878,0.6613,1w
2022-01-24,trending_bull,up,down,0,-7.9952,0.668,1w
2022-02-02,trending_bull,up,down,0,-4.5842,0.8,1w
2022-02-11,trending_bull,up,down,0,-19.4772,0.5987,1w
2022-02-23,trending_bear,up,down,0,-8.1898,0.5587,1w
2022-03-04,chop,up,down,0,-9.6005,0.6027,1w
2022-03-15,trending_bear,down,up,0,2.4812,0.352,1w
2022-03-24,trending_bear,neutral,down,0,-8.8681,0.516,1w
2022-04-04,chop,down,down,1,-8.0435,0.4133,1w
2022-04-13,chop,down,down,1,-17.671,0.256,1w
2022-04-25,trending_bear,down,down,1,-5.1845,0.1947,1w
2022-05-04,chop,down,down,1,-4.6839,0.1867,1w
2022-05-13,trending_bear,down,up,0,16.7131,0.1667,1w
2022-05-24,trending_bear,down,up,0,5.9234,0.2667,1w
2022-06-03,chop,down,neutral,0,-0.3276,0.2547,1w
2022-06-14,chop,down,up,0,11.1981,0.4213,1w
2022-06-24,chop,down,up,0,20.5524,0.3507,1w
2022-07-06,chop,down,up,0,0.9302,0.3573,1w
2022-07-15,chop,neutral,down,0,-11.1088,0.5013,1w
2022-07-26,trending_bull,up,down,0,-13.4978,0.6467,1w
2022-08-04,chop,neutral,up,0,6.3049,0.5027,1w
2022-08-15,chop,up,up,1,11.9968,0.6573,1w
2022-08-24,trending_bear,neutral,up,0,7.2231,0.5453,1w
2022-09-02,chop,up,down,0,-13.8849,0.6173,1w
2022-09-14,chop,up,down,0,-17.1784,0.5867,1w
2022-09-23,chop,up,down,0,-15.5131,0.5827,1w
2022-10-04,chop,down,down,1,-5.0435,0.3907,1w
2022-10-13,chop,down,up,0,2.5504,0.2213,1w
2022-10-24,chop,down,up,0,22.1965,0.1867,1w
2022-11-02,chop,down,up,0,16.3199,0.2973,1w
2022-11-11,chop,down,up,0,3.3254,0.4213,1w
2022-11-22,chop,neutral,up,0,12.0784,0.4947,1w
2022-12-02,trending_bull,down,neutral,0,0.3091,0.4467,1w
2022-12-13,chop,down,down,1,-10.3324,0.4333,1w
2022-12-22,trending_bull,up,down,0,-1.1676,0.596,1w
2023-01-04,trending_bull,up,up,1,4.6779,0.5907,1w
2023-01-13,chop,up,up,1,7.1369,0.5533,1w
2023-01-25,chop,up,up,1,4.7117,0.752,1w
2023-02-03,chop,up,up,1,9.311,0.6347,1w
2023-02-14,chop,neutral,up,0,21.1192,0.4947,1w
2023-02-24,high_volatility,up,up,1,17.0194,0.6173,1w
2023-03-07,chop,up,up,1,6.4658,0.6187,1w
2023-03-16,chop,up,down,0,-5.4118,0.6333,1w
2023-03-27,trending_bull,up,down,0,-1.9198,0.6467,1w
2023-04-05,trending_bull,up,up,1,10.1825,0.744,1w
2023-04-17,trending_bull,up,up,1,22.4874,0.7667,1w
2023-04-26,chop,up,up,1,9.3504,0.7013,1w
2023-05-05,crisis,up,up,1,5.4235,0.756,1w
2023-05-16,trending_bull,up,up,1,1.5989,0.8427,1w
2023-05-25,trending_bull,up,down,0,-18.7152,0.744,1w
2023-06-06,high_volatility,up,down,0,-16.4718,0.7307,1w
2023-06-15,high_volatility,up,down,0,-13.9718,0.6267,1w
2023-06-27,crisis,down,up,0,4.2362,0.3787,1w
2023-07-07,trending_bear,down,down,1,-14.7655,0.4427,1w
2023-07-18,chop,neutral,down,0,-12.2589,0.5067,1w
2023-07-27,chop,down,down,1,-10.2456,0.4067,1w
2023-08-07,crisis,down,up,0,0.8002,0.212,1w
2023-08-16,trending_bear,down,down,1,-13.9235,0.2413,1w
2023-08-25,chop,down,down,1,-6.6384,0.2347,1w
2023-09-06,chop,down,up,0,14.7939,0.1733,1w
2023-09-15,chop,down,up,0,14.4355,0.164,1w
2023-09-26,chop,down,down,1,-7.8821,0.3507,1w
2023-10-05,chop,down,down,1,-15.1408,0.3973,1w
2023-10-16,trending_bull,down,down,1,-24.4193,0.3813,1w
2023-10-25,chop,down,neutral,0,0.0286,0.3467,1w
2023-11-03,chop,down,neutral,0,-0.4924,0.4253,1w
2023-11-14,chop,down,down,1,-2.3897,0.272,1w
2023-11-24,chop,down,down,1,-16.907,0.3507,1w
2023-12-05,chop,down,down,1,-17.9949,0.4467,1w
2023-12-14,chop,down,down,1,-4.2308,0.3387,1w
2023-12-26,chop,down,down,1,-1.4423,0.1533,1w
2024-01-05,chop,down,up,0,8.0423,0.1293,1w
2024-01-17,trending_bear,down,down,1,-19.5587,0.1347,1w
2024-01-26,chop,down,down,1,-24.7813,0.256,1w
2024-02-06,chop,down,down,1,-25.131,0.2827,1w
2024-02-15,chop,down,down,1,-6.4333,0.216,1w
2024-02-27,trending_bear,down,down,1,-5.0426,0.116,1w
2024-03-07,trending_bear,down,down,1,-34.5428,0.1493,1w
2024-03-18,chop,down,down,1,-29.1498,0.22,1w
2024-03-27,chop,down,down,1,-22.0171,0.208,1w
2024-04-08,trending_bear,down,down,1,-5.0093,0.1,1w
2024-04-17,trending_bear,down,up,0,5.547,0.1667,1w
