date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,high_volatility,up,down,0,-22.3816,0.696,1w
2021-01-13,crisis,up,down,0,-18.2305,0.6573,1w
2021-01-25,crisis,neutral,down,0,-11.6634,0.5013,1w
2021-02-03,crisis,down,down,1,-7.3284,0.332,1w
2021-02-12,high_volatility,down,down,1,-10.8872,0.368,1w
2021-02-24,chop,down,up,0,30.7667,0.256,1w
2021-03-05,trending_bear,down,up,0,29.3812,0.304,1w
2021-03-16,trending_bear,down,up,0,23.078,0.3213,1w
2021-03-25,trending_bull,neutral,down,0,-0.8748,0.4693,1w
2021-04-06,trending_bull,down,down,1,-20.6207,0.4013,1w
2021-04-15,trending_bull,down,down,1,-28.7929,0.3893,1w
2021-04-26,chop,neutral,down,0,-32.3761,0.536,1w
2021-05-05,high_volatility,neutral,down,0,-18.6454,0.4787,1w
2021-05-14,high_volatility,down,down,1,-15.902,0.368,1w
2021-05-25,high_volatility,down,up,0,12.266,0.3893,1w
2021-06-04,high_volatility,down,down,1,-0.6183,0.4213,1w
2021-06-15,chop,down,up,0,7.8878,0.3467,1w
2021-06-24,chop,down,up,0,9.2495,0.2693,1w
2021-07-06,chop,down,up,0,32.651,0.2093,1w
2021-07-15,chop,down,up,0,24.9778,0.2693,1w
2021-07-26,chop,down,up,0,14.5227,0.3507,1w
2021-08-04,chop,neutral,down,0,-10.1976,0.456,1w
2021-08-13,chop,up,down,0,-5.5574,0.584,1w
2021-08-24,chop,up,down,0,-2.8633,0.724,1w
2021-09-02,chop,up,down,0,-10.292,0.6107,1w
2021-09-14,chop,up,down,0,-28.2112,0.7013,1w
2021-09-23,chop,up,down,0,-22.1153,0.62,1w
2021-10-04,chop,neutral,down,0,-8.6674,0.5133,1w
2021-10-13,trending_bear,down,down,1,-13.9816,0.3813,1w
2021-10-22,trending_bear,down,down,1,-20.5349,0.3147,1w
2021-11-02,trending_bear,down,down,1,-9.4334,0.2253,1w
2021-11-11,trending_bear,down,down,1,-14.3644,0.1453,1w
2021-11-22,trending_bear,down,down,1,-19.0336,0.1173,1w
2021-12-02,trending_bear,down,down,1,-44.5243,0.236,1w
2021-12-13,trending_bear,down,down,1,-23.2308,0.132,1w
2021-12-22,trending_bear,down,up,0,14.7906,0.0893,1w
2022-01-03,trending_bear,down,up,0,65.6723,0.0773,1w
2022-01-12,trending_bear,down,up,0,59.0196,0.1667,1w
2022-01-24,trending_bear,down,up,0,39.9086,0.248,1w
2022-02-02,trending_bull,down,up,0,2.016,0.4013,1w
2022-02-11,trending_bull,neutral,down,0,-13.7634,0.4707,1w
2022-02-23,trending_bull,up,down,0,-3.2863,0.5813,1w
2022-03-04,trending_bull,neutral,up,0,2.5944,0.4707,1w
2022-03-15,chop,neutral,neutral,0,0.4725,0.5467,1w
