date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-10.2794,0.6533,1w
2021-01-13,high_volatility,down,up,0,10.9509,0.3213,1w
2021-01-25,crisis,down,down,1,-4.0669,0.376,1w
2021-02-03,high_volatility,down,down,1,-4.1503,0.336,1w
2021-02-12,crisis,down,down,1,-17.2965,0.4013,1w
2021-02-24,chop,down,down,1,-5.3352,0.424,1w
2021-03-05,chop,down,down,1,-3.8795,0.448,1w
2021-03-16,chop,down,down,1,-3.1635,0.32,1w
2021-03-25,chop,down,down,1,-9.3621,0.304,1w
2021-04-06,chop,down,down,1,-21.4207,0.32,1w
2021-04-15,chop,down,down,1,-23.5844,0.3147,1w
2021-04-26,trending_bear,down,down,1,-7.0247,0.2387,1w
2021-05-05,trending_bear,down,up,0,3.4386,0.1533,1w
2021-05-14,trending_bear,down,up,0,12.0622,0.072,1w
2021-05-25,high_volatility,down,up,0,5.9989,0.2547,1w
2021-06-04,chop,down,neutral,0,0.0551,0.2853,1w
2021-06-15,chop,down,up,0,1.0955,0.3293,1w
2021-06-24,chop,down,down,1,-2.1329,0.332,1w
2021-07-06,chop,down,up,0,3.3355,0.292,1w
2021-07-15,chop,down,down,1,-0.5733,0.3507,1w
2021-07-26,chop,neutral,down,0,-5.1411,0.456,1w
2021-08-04,chop,neutral,down,0,-5.2359,0.5133,1w
2021-08-13,chop,up,neutral,0,-0.2904,0.5933,1w
2021-08-24,chop,neutral,down,0,-6.9424,0.488,1w
2021-09-02,chop,down,down,1,-4.4424,0.3947,1w
2021-09-14,chop,neutral,down,0,-9.059,0.528,1w
2021-09-23,chop,down,up,0,13.764,0.2747,1w
2021-10-04,chop,down,neutral,0,-0.2402,0.3467,1w
2021-10-13,chop,down,down,1,-17.0705,0.392,1w
2021-10-22,chop,down,down,1,-20.8594,0.412,1w
2021-11-02,chop,down,down,1,-6.2968,0.3653,1w
2021-11-11,trending_bear,down,neutral,0,0.3521,0.2373,1w
2021-11-22,trending_bear,down,neutral,0,-0.4088,0.2493,1w
2021-12-02,trending_bear,down,down,1,-5.1949,0.3707,1w
2021-12-13,chop,down,neutral,0,-0.2487,0.2667,1w
2021-12-22,chop,down,up,0,12.0882,0.3733,1w
2022-01-03,chop,down,up,0,7.4459,0.3467,1w
2022-01-12,chop,down,up,0,6.0459,0.3347,1w
2022-01-24,chop,down,neutral,0,-0.2981,0.3693,1w
2022-02-02,chop,neutral,up,0,5.884,0.484,1w
2022-02-11,chop,up,up,1,1.0884,0.5827,1w
2022-02-23,chop,up,up,1,8.0695,0.5893,1w
2022-03-04,chop,neutral,up,0,4.0726,0.548,1w
2022-03-15,chop,up,up,1,6.508,0.58,1w
2022-03-24,chop,up,up,1,8.5741,0.6933,1w
2022-04-04,chop,up,down,0,-0.5786,0.6347,1w
2022-04-13,chop,up,up,1,0.5548,0.6693,1w
2022-04-25,chop,up,up,1,11.7105,0.656,1w
2022-05-04,chop,up,up,1,9.8064,0.5933,1w
2022-05-13,chop,up,up,1,10.1411,0.6333,1w
2022-05-24,chop,up,up,1,4.9587,0.732,1w
2022-06-03,trending_bull,up,up,1,5.3066,0.676,1w
2022-06-14,chop,up,up,1,11.3047,0.6987,1w
2022-06-24,chop,up,up,1,2.6719,0.752,1w
2022-07-06,trending_bull,up,down,0,-0.7054,0.7107,1w
2022-07-15,trending_bull,up,down,0,-9.1436,0.7467,1w
2022-07-26,trending_bull,up,down,0,-6.8001,0.7653,1w
2022-08-04,trending_bear,up,neutral,0,0.0,0.668,1w
2022-08-15,trending_bear,up,up,1,2.9443,0.64,1w
2022-08-24,chop,neutral,down,0,-1.888,0.5013,1w
2022-09-02,chop,neutral,down,0,-0.9506,0.5453,1w
2022-09-14,chop,up,neutral,0,-0.056,0.5733,1w
2022-09-23,chop,down,up,0,3.8652,0.3507,1w
2022-10-04,chop,down,down,1,-1.9258,0.404,1w
2022-10-13,chop,down,up,0,4.5268,0.2973,1w
2022-10-24,chop,down,up,0,13.7229,0.352,1w
2022-11-02,chop,down,up,0,13.426,0.4013,1w
2022-11-11,chop,up,up,1,6.3364,0.5827,1w
2022-11-22,trending_bull,up,up,1,3.6016,0.6347,1w
2022-12-02,trending_bull,up,up,1,1.3396,0.6653,1w
2022-12-13,trending_bull,up,down,0,-1.2264,0.684,1w
2022-12-22,chop,up,up,1,4.2569,0.74,1w
2023-01-04,chop,up,up,1,3.666,0.684,1w
2023-01-13,chop,up,down,0,-2.9056,0.6787,1w
2023-01-25,trending_bull,up,down,0,-10.5622,0.8213,1w
2023-02-03,trending_bull,up,down,0,-13.6617,0.7693,1w
2023-02-14,trending_bear,neutral,down,0,-8.3142,0.4907,1w
2023-02-24,trending_bear,down,down,1,-0.8585,0.3787,1w
2023-03-07,trending_bear,down,up,0,4.1583,0.3147,1w
2023-03-16,trending_bear,down,up,0,0.5739,0.2307,1w
2023-03-27,chop,down,down,1,-2.3754,0.296,1w
2023-04-05,chop,down,down,1,-3.4559,0.3787,1w
2023-04-17,chop,down,up,0,3.4367,0.2973,1w
2023-04-26,chop,down,up,0,7.0118,0.2253,1w
2023-05-05,chop,down,up,0,12.8767,0.2747,1w
2023-05-16,chop,down,up,0,8.8171,0.3307,1w
2023-05-25,chop,up,neutral,0,0.4783,0.5533,1w
2023-06-06,trending_bull,up,down,0,-8.2513,0.7507,1w
2023-06-15,trending_bull,up,down,0,-4.784,0.656,1w
2023-06-27,chop,up,down,0,-3.9687,0.6107,1w
2023-07-07,chop,down,down,1,-6.1931,0.42,1w
2023-07-18,chop,up,down,0,-2.6081,0.5667,1w
2023-07-27,chop,up,up,1,6.4234,0.5573,1w
2023-08-07,chop,down,up,0,15.7662,0.3227,1w
2023-08-16,chop,neutral,up,0,1.674,0.4653,1w
2023-08-25,chop,neutral,down,0,-6.2259,0.5013,1w
2023-09-06,chop,down,down,1,-3.1416,0.3653,1w
2023-09-15,chop,down,up,0,2.1871,0.392,1w
2023-09-26,chop,down,up,0,6.3089,0.3787,1w
2023-10-05,chop,neutral,up,0,7.0429,0.4907,1w
2023-10-16,chop,neutral,up,0,17.4036,0.5293,1w
2023-10-25,chop,up,up,1,16.2927,0.5853,1w
2023-11-03,trending_bull,up,up,1,14.7351,0.788,1w
2023-11-14,trending_bull,up,up,1,2.2041,0.7827,1w
2023-11-24,high_volatility,up,down,0,-1.1886,0.7373,1w
2023-12-05,trending_bull,up,down,0,-0.5525,0.784,1w
2023-12-14,trending_bull,up,down,0,-2.0355,0.7893,1w
2023-12-26,trending_bull,up,neutral,0,-0.0107,0.7987,1w
2024-01-05,chop,up,up,1,0.7318,0.8413,1w
2024-01-17,high_volatility,up,up,1,16.0775,0.7507,1w
2024-01-26,crisis,up,up,1,9.5323,0.716,1w
2024-02-06,high_volatility,up,down,0,-3.2763,0.6533,1w
2024-02-15,high_volatility,up,down,0,-2.9371,0.6933,1w
2024-02-27,high_volatility,up,down,0,-0.7123,0.6027,1w
2024-03-07,crisis,neutral,down,0,-3.7046,0.5467,1w
2024-03-18,high_volatility,up,up,1,1.4979,0.6053,1w
2024-03-27,high_volatility,up,up,1,11.3197,0.6133,1w
2024-04-08,crisis,up,up,1,8.3217,0.5667,1w
2024-04-17,high_volatility,up,up,1,14.379,0.6173,1w
2024-04-26,high_volatility,up,down,0,-3.3988,0.676,1w
2024-05-07,crisis,up,up,1,3.0678,0.5733,1w
2024-05-16,high_volatility,up,neutral,0,0.4211,0.5827,1w
2024-05-28,chop,neutral,up,0,7.3228,0.5467,1w
2024-06-06,chop,up,neutral,0,0.1788,0.64,1w
2024-06-17,chop,up,down,0,-2.8275,0.628,1w
2024-06-27,chop,up,down,0,-6.7847,0.6693,1w
2024-07-09,chop,up,down,0,-7.0751,0.6533,1w
2024-07-18,chop,up,down,0,-1.1728,0.6573,1w
2024-07-29,chop,down,up,0,5.464,0.3853,1w
2024-08-07,trending_bear,down,up,0,11.3127,0.3733,1w
2024-08-16,trending_bear,down,up,0,9.2142,0.3787,1w
2024-08-27,chop,neutral,up,0,11.4417,0.54,1w
2024-09-06,trending_bull,up,up,1,5.7491,0.5693,1w
2024-09-17,trending_bull,up,up,1,4.1858,0.5573,1w
2024-09-26,trending_bull,up,down,0,-2.6281,0.6053,1w
2024-10-07,trending_bull,up,down,0,-1.6713,0.64,1w
2024-10-16,chop,up,down,0,-10.9459,0.6907,1w
2024-10-25,chop,up,down,0,-3.2177,0.6813,1w
2024-11-05,chop,up,up,1,6.5862,0.708,1w
2024-11-14,trending_bear,neutral,up,0,0.6107,0.5,1w
2024-11-25,chop,neutral,up,0,3.9135,0.5387,1w
