date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-19.7186,0.3453,1w
2021-01-13,chop,down,down,1,-9.3347,0.2093,1w
2021-01-25,trending_bear,down,down,1,-18.3646,0.1093,1w
2021-02-03,trending_bear,down,down,1,-20.5167,0.2013,1w
2021-02-12,trending_bear,down,down,1,-34.4248,0.216,1w
2021-02-24,chop,down,up,0,2.5772,0.152,1w
2021-03-05,trending_bear,down,up,0,13.896,0.1533,1w
2021-03-16,trending_bear,down,up,0,12.34,0.0853,1w
2021-03-25,chop,down,down,1,-24.1818,0.184,1w
2021-04-06,chop,down,down,1,-35.7221,0.2253,1w
2021-04-15,chop,down,down,1,-32.0225,0.224,1w
2021-04-26,chop,down,down,1,-21.7928,0.2253,1w
2021-05-05,chop,down,down,1,-7.8241,0.184,1w
2021-05-14,trending_bear,down,down,1,-24.5058,0.156,1w
2021-05-25,trending_bear,down,up,0,5.6852,0.2347,1w
2021-06-04,trending_bear,down,down,1,-11.0674,0.3067,1w
2021-06-15,trending_bear,down,down,1,-0.8307,0.26,1w
2021-06-24,trending_bear,down,down,1,-12.6513,0.2267,1w
2021-07-06,chop,down,up,0,10.1353,0.176,1w
2021-07-15,chop,down,up,0,2.9255,0.2067,1w
2021-07-26,chop,down,down,1,-7.7391,0.2733,1w
2021-08-04,chop,down,down,1,-31.103,0.376,1w
2021-08-13,chop,down,down,1,-18.9687,0.3493,1w
2021-08-24,chop,down,down,1,-4.3067,0.3467,1w
2021-09-02,chop,down,up,0,3.9099,0.2453,1w
2021-09-14,chop,down,down,1,-13.7745,0.3853,1w
2021-09-23,chop,down,up,0,10.7442,0.26,1w
2021-10-04,chop,down,down,1,-3.1601,0.3147,1w
2021-10-13,chop,down,down,1,-23.618,0.332,1w
2021-10-22,chop,down,down,1,-37.9949,0.4467,1w
2021-11-02,chop,down,down,1,-26.636,0.296,1w
2021-11-11,chop,down,down,1,-12.7917,0.2667,1w
2021-11-22,chop,down,up,0,1.7791,0.296,1w
2021-12-02,chop,down,up,0,3.6595,0.364,1w
2021-12-13,chop,down,up,0,5.9699,0.2867,1w
2021-12-22,chop,down,up,0,25.4113,0.3293,1w
2022-01-03,chop,down,up,0,25.5756,0.2973,1w
2022-01-12,chop,down,up,0,13.5135,0.3787,1w
2022-01-24,chop,down,up,0,14.7277,0.368,1w
2022-02-02,trending_bull,neutral,up,0,18.208,0.4667,1w
2022-02-11,trending_bull,up,up,1,2.0934,0.5733,1w
2022-02-23,trending_bull,up,down,0,-4.0874,0.7293,1w
2022-03-04,trending_bull,up,down,0,-12.9037,0.768,1w
2022-03-15,chop,up,down,0,-7.105,0.6613,1w
2022-03-24,chop,up,down,0,-15.4155,0.7133,1w
2022-04-04,chop,up,down,0,-14.3459,0.6347,1w
2022-04-13,chop,up,down,0,-21.3349,0.5547,1w
