date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-4.2547,0.4467,1w
2021-01-13,chop,down,down,1,-7.6546,0.4427,1w
2021-01-25,chop,down,down,1,-5.9135,0.252,1w
2021-02-03,crisis,down,down,1,-8.9651,0.388,1w
2021-02-12,crisis,down,up,0,1.4112,0.3227,1w
2021-02-24,high_volatility,down,up,0,8.114,0.2747,1w
2021-03-05,chop,down,up,0,7.1185,0.2947,1w
2021-03-16,high_volatility,down,neutral,0,0.3946,0.2693,1w
2021-03-25,chop,down,down,1,-5.9172,0.4093,1w
2021-04-06,chop,down,down,1,-5.5662,0.4093,1w
2021-04-15,chop,down,down,1,-4.6154,0.376,1w
2021-04-26,chop,down,down,1,-1.6241,0.4253,1w
2021-05-05,chop,down,up,0,0.9599,0.3467,1w
2021-05-14,high_volatility,neutral,down,0,-9.5499,0.4907,1w
2021-05-25,chop,neutral,down,0,-9.9607,0.5147,1w
2021-06-04,chop,neutral,down,0,-13.48,0.5387,1w
2021-06-15,chop,down,up,0,2.4468,0.2973,1w
2021-06-24,trending_bear,down,up,0,4.6489,0.2013,1w
2021-07-06,trending_bear,down,up,0,22.4577,0.1947,1w
2021-07-15,chop,down,up,0,16.2334,0.3187,1w
2021-07-26,chop,down,up,0,7.9683,0.3787,1w
2021-08-04,trending_bull,neutral,down,0,-10.1401,0.5453,1w
2021-08-13,trending_bull,up,down,0,-12.2708,0.5987,1w
2021-08-24,trending_bull,neutral,down,0,-5.5578,0.5147,1w
2021-09-02,chop,down,down,1,-1.9386,0.416,1w
2021-09-14,chop,up,down,0,-8.296,0.5573,1w
2021-09-23,chop,neutral,down,0,-0.9734,0.5413,1w
2021-10-04,chop,up,down,0,-0.5759,0.56,1w
2021-10-13,chop,down,up,0,14.0877,0.3893,1w
2021-10-22,chop,neutral,up,0,7.5005,0.4653,1w
2021-11-02,chop,down,up,0,11.9945,0.296,1w
2021-11-11,chop,down,down,1,-1.1198,0.396,1w
2021-11-22,chop,neutral,down,0,-4.7907,0.48,1w
2021-12-02,chop,up,down,0,-8.1335,0.588,1w
2021-12-13,chop,up,neutral,0,0.3549,0.58,1w
2021-12-22,chop,neutral,up,0,7.4924,0.544,1w
2022-01-03,chop,neutral,up,0,9.9701,0.46,1w
2022-01-12,chop,up,down,0,-0.5813,0.6733,1w
2022-01-24,chop,up,down,0,-1.14,0.6053,1w
2022-02-02,chop,up,down,0,-5.0688,0.6987,1w
2022-02-11,chop,down,down,1,-1.1058,0.4467,1w
2022-02-23,chop,down,up,0,6.131,0.4133,1w
2022-03-04,chop,down,up,0,4.8471,0.4213,1w
2022-03-15,chop,down,up,0,1.0444,0.436,1w
2022-03-24,chop,up,down,0,-4.3265,0.624,1w
2022-04-04,chop,up,down,0,-8.4086,0.5893,1w
2022-04-13,chop,neutral,down,0,-7.5077,0.4693,1w
2022-04-25,chop,down,up,0,2.3691,0.4013,1w
2022-05-04,trending_bear,down,up,0,2.6776,0.2253,1w
2022-05-13,trending_bear,down,up,0,8.4098,0.3373,1w
2022-05-24,chop,down,down,1,-0.5129,0.4427,1w
2022-06-03,chop,down,up,0,2.618,0.4493,1w
2022-06-14,chop,neutral,up,0,2.9816,0.4707,1w
2022-06-24,chop,down,neutral,0,-0.1759,0.3787,1w
2022-07-06,chop,down,down,1,-2.3469,0.4467,1w
2022-07-15,chop,neutral,down,0,-7.8062,0.5053,1w
2022-07-26,chop,up,down,0,-6.1707,0.588,1w
2022-08-04,chop,neutral,neutral,0,0.4616,0.5013,1w
2022-08-15,chop,neutral,neutral,0,0.1991,0.5213,1w
2022-08-24,chop,down,down,1,-4.1177,0.4253,1w
2022-09-02,chop,neutral,down,0,-5.9982,0.4653,1w
2022-09-14,chop,down,down,1,-6.0694,0.3507,1w
2022-09-23,chop,down,down,1,-6.9891,0.2947,1w
2022-10-04,chop,down,down,1,-4.1581,0.2867,1w
2022-10-13,trending_bear,down,down,1,-4.5968,0.152,1w
2022-10-24,trending_bear,down,up,0,9.5571,0.108,1w
2022-11-02,trending_bear,down,up,0,4.786,0.1867,1w
2022-11-11,trending_bear,down,up,0,7.9237,0.216,1w
2022-11-22,trending_bull,down,up,0,9.5384,0.2867,1w
2022-12-02,chop,down,up,0,4.5914,0.332,1w
2022-12-13,trending_bull,neutral,down,0,-2.9032,0.4653,1w
2022-12-22,trending_bull,up,down,0,-1.9847,0.5987,1w
2023-01-04,trending_bull,up,down,0,-2.9958,0.5907,1w
2023-01-13,chop,up,down,0,-2.0344,0.5907,1w
2023-01-25,chop,up,up,1,0.9181,0.768,1w
2023-02-03,chop,up,up,1,8.5243,0.5853,1w
2023-02-14,chop,up,up,1,7.3486,0.5827,1w
