date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-22.2503,0.6093,1w
2021-01-13,trending_bear,down,down,1,-12.6984,0.424,1w
2021-01-25,trending_bear,down,down,1,-13.3159,0.2733,1w
2021-02-03,trending_bear,down,down,1,-6.9503,0.2933,1w
2021-02-12,trending_bear,down,down,1,-33.2286,0.2213,1w
2021-02-24,chop,down,up,0,4.3114,0.1667,1w
2021-03-05,chop,down,up,0,11.1336,0.2187,1w
2021-03-16,trending_bear,down,up,0,16.5632,0.1667,1w
2021-03-25,chop,down,down,1,-24.1255,0.2747,1w
2021-04-06,chop,down,down,1,-37.5276,0.2973,1w
2021-04-15,chop,down,down,1,-62.6821,0.296,1w
2021-04-26,chop,down,down,1,-48.338,0.2867,1w
2021-05-05,chop,down,down,1,-36.3925,0.2747,1w
2021-05-14,trending_bear,down,down,1,-12.1483,0.1453,1w
2021-05-25,trending_bear,down,up,0,26.2635,0.22,1w
2021-06-04,trending_bear,down,up,0,1.365,0.26,1w
2021-06-15,trending_bear,down,down,1,-3.7026,0.2267,1w
2021-06-24,trending_bear,down,down,1,-24.0761,0.2333,1w
2021-07-06,chop,down,up,0,9.1305,0.2133,1w
2021-07-15,chop,down,up,0,73.45,0.1867,1w
2021-07-26,chop,down,up,0,34.0095,0.248,1w
2021-08-04,chop,down,down,1,-8.9766,0.3547,1w
2021-08-13,trending_bull,up,down,0,-32.4862,0.6347,1w
2021-08-24,trending_bull,up,down,0,-27.1853,0.584,1w
2021-09-02,chop,neutral,down,0,-16.7933,0.4707,1w
2021-09-14,chop,neutral,down,0,-18.6194,0.5173,1w
2021-09-23,chop,down,down,1,-12.3609,0.32,1w
2021-10-04,trending_bear,down,down,1,-20.3469,0.3787,1w
2021-10-13,chop,down,down,1,-8.8765,0.424,1w
2021-10-22,trending_bear,down,up,0,12.0852,0.392,1w
2021-11-02,chop,down,up,0,52.8394,0.224,1w
2021-11-11,chop,down,up,0,3.8745,0.1773,1w
2021-11-22,chop,down,down,1,-14.093,0.3147,1w
2021-12-02,chop,neutral,down,0,-34.2452,0.4787,1w
2021-12-13,chop,down,down,1,-6.7499,0.4213,1w
2021-12-22,chop,down,up,0,27.5447,0.4067,1w
2022-01-03,chop,down,up,0,42.5344,0.34,1w
2022-01-12,chop,neutral,up,0,18.657,0.4933,1w
2022-01-24,chop,up,down,0,-8.3501,0.576,1w
2022-02-02,chop,up,down,0,-19.1177,0.6613,1w
2022-02-11,chop,up,down,0,-28.6254,0.5573,1w
2022-02-23,chop,neutral,down,0,-3.0057,0.456,1w
2022-03-04,chop,down,up,0,10.5353,0.332,1w
2022-03-15,chop,down,up,0,2.4356,0.388,1w
2022-03-24,chop,neutral,down,0,-3.8831,0.5013,1w
2022-04-04,chop,up,down,0,-18.4358,0.5507,1w
2022-04-13,chop,down,neutral,0,0.0333,0.4333,1w
2022-04-25,chop,down,up,0,7.9208,0.3347,1w
2022-05-04,chop,down,up,0,37.2638,0.2267,1w
2022-05-13,chop,down,up,0,45.7904,0.2973,1w
2022-05-24,chop,down,up,0,35.6853,0.44,1w
2022-06-03,chop,up,up,1,13.1417,0.6107,1w
2022-06-14,trending_bull,up,up,1,10.5832,0.6973,1w
2022-06-24,trending_bull,up,up,1,2.2416,0.6413,1w
2022-07-06,trending_bull,up,down,0,-0.7168,0.656,1w
2022-07-15,trending_bull,up,down,0,-25.0584,0.724,1w
2022-07-26,trending_bull,up,down,0,-21.6617,0.744,1w
2022-08-04,trending_bull,up,down,0,-3.4293,0.7093,1w
2022-08-15,chop,up,up,1,2.9107,0.6173,1w
2022-08-24,trending_bear,up,down,0,-9.6774,0.6173,1w
2022-09-02,chop,neutral,down,0,-25.07,0.5293,1w
2022-09-14,chop,down,down,1,-22.8249,0.3627,1w
2022-09-23,chop,down,down,1,-9.8522,0.2267,1w
2022-10-04,trending_bear,down,down,1,-9.3598,0.224,1w
2022-10-13,trending_bear,down,down,1,-0.7752,0.0893,1w
2022-10-24,trending_bear,down,up,0,11.2884,0.124,1w
2022-11-02,trending_bear,down,up,0,18.0536,0.128,1w
2022-11-11,trending_bear,down,up,0,21.2817,0.2933,1w
2022-11-22,chop,down,up,0,35.9099,0.3027,1w
2022-12-02,chop,down,up,0,18.5221,0.3213,1w
2022-12-13,chop,down,down,1,-10.9195,0.4493,1w
2022-12-22,trending_bull,up,down,0,-21.9744,0.6733,1w
2023-01-04,trending_bull,up,down,0,-16.7284,0.6667,1w
2023-01-13,chop,up,up,1,5.852,0.6067,1w
2023-01-25,chop,up,neutral,0,-0.2114,0.6613,1w
2023-02-03,chop,up,down,0,-15.5694,0.58,1w
2023-02-14,chop,up,down,0,-25.4997,0.616,1w
2023-02-24,chop,up,down,0,-13.9265,0.5827,1w
2023-03-07,chop,down,down,1,-7.2421,0.3653,1w
2023-03-16,chop,down,down,1,-8.1703,0.18,1w
2023-03-27,chop,down,down,1,-13.5976,0.1387,1w
2023-04-05,chop,down,down,1,-2.747,0.152,1w
2023-04-17,chop,down,down,1,-5.6492,0.1773,1w
2023-04-26,trending_bear,down,down,1,-19.6022,0.156,1w
2023-05-05,chop,down,down,1,-30.3713,0.2347,1w
2023-05-16,chop,down,down,1,-25.7583,0.132,1w
2023-05-25,trending_bear,down,down,1,-13.7317,0.0893,1w
2023-06-06,trending_bear,down,down,1,-10.4271,0.0893,1w
2023-06-15,trending_bear,down,up,0,9.9028,0.1,1w
2023-06-27,trending_bear,down,neutral,0,0.4232,0.0893,1w
2023-07-07,trending_bear,down,down,1,-8.183,0.1,1w
2023-07-18,trending_bear,down,neutral,0,-0.3054,0.2293,1w
2023-07-27,chop,down,up,0,8.3792,0.1947,1w
2023-08-07,chop,down,up,0,22.6849,0.1093,1w
2023-08-16,chop,down,up,0,22.9558,0.2347,1w
2023-08-25,chop,down,up,0,26.825,0.4093,1w
2023-09-06,chop,down,up,0,37.7049,0.4253,1w
2023-09-15,chop,up,up,1,6.3985,0.6173,1w
2023-09-26,trending_bull,up,down,0,-8.6392,0.668,1w
2023-10-05,trending_bull,up,down,0,-4.1981,0.7,1w
2023-10-16,trending_bull,up,down,0,-12.2074,0.6893,1w
2023-10-25,trending_bull,up,up,1,19.3205,0.6387,1w
2023-11-03,chop,up,up,1,21.8316,0.744,1w
2023-11-14,chop,up,up,1,29.724,0.5867,1w
