date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-6.7432,0.9307,1w
2021-01-13,crisis,up,up,1,2.7442,0.7427,1w
2021-01-25,crisis,neutral,neutral,0,0.0519,0.52,1w
2021-02-03,crisis,neutral,up,0,1.4194,0.5453,1w
2021-02-12,crisis,up,up,1,2.3495,0.588,1w
2021-02-24,high_volatility,up,up,1,9.8123,0.58,1w
2021-03-05,crisis,up,up,1,3.0997,0.6347,1w
2021-03-16,crisis,neutral,up,0,7.1901,0.5013,1w
2021-03-25,high_volatility,neutral,up,0,1.4568,0.5013,1w
2021-04-06,trending_bull,neutral,down,0,-2.0391,0.5013,1w
2021-04-15,high_volatility,up,down,0,-10.838,0.6947,1w
2021-04-26,high_volatility,up,down,0,-6.14,0.6853,1w
2021-05-05,crisis,neutral,down,0,-3.0259,0.544,1w
2021-05-14,crisis,neutral,down,0,-3.2344,0.4667,1w
2021-05-25,crisis,up,up,1,0.8104,0.584,1w
2021-06-04,high_volatility,down,up,0,4.4134,0.436,1w
2021-06-15,trending_bear,down,up,0,9.198,0.3493,1w
2021-06-24,crisis,down,up,0,6.8255,0.416,1w
2021-07-06,crisis,down,up,0,4.9215,0.4493,1w
2021-07-15,high_volatility,down,up,0,2.6333,0.3587,1w
2021-07-26,crisis,neutral,up,0,0.792,0.488,1w
2021-08-04,chop,up,down,0,-1.8267,0.576,1w
2021-08-13,chop,up,down,0,-5.337,0.656,1w
2021-08-24,chop,up,down,0,-3.2391,0.5907,1w
2021-09-02,chop,up,neutral,0,0.1506,0.5987,1w
2021-09-14,chop,up,down,0,-1.9244,0.6613,1w
2021-09-23,chop,up,up,1,3.9174,0.5533,1w
2021-10-04,chop,neutral,up,0,4.6142,0.4653,1w
2021-10-13,chop,down,up,0,6.7188,0.3293,1w
2021-10-22,high_volatility,neutral,down,0,-4.507,0.468,1w
2021-11-02,chop,neutral,down,0,-1.1998,0.52,1w
2021-11-11,chop,neutral,up,0,4.8772,0.4587,1w
2021-11-22,crisis,down,up,0,1.1616,0.3893,1w
2021-12-02,high_volatility,neutral,down,0,-3.2677,0.544,1w
2021-12-13,chop,up,down,0,-7.9057,0.5907,1w
2021-12-22,chop,neutral,down,0,-6.7332,0.5173,1w
2022-01-03,chop,down,down,1,-6.6739,0.4453,1w
2022-01-12,chop,down,up,0,1.1806,0.4067,1w
2022-01-24,chop,down,neutral,0,-0.1645,0.2747,1w
2022-02-02,chop,down,up,0,1.8559,0.2253,1w
2022-02-11,chop,down,down,1,-5.2234,0.368,1w
2022-02-23,chop,down,down,1,-1.3719,0.344,1w
2022-03-04,chop,down,up,0,4.4583,0.2293,1w
2022-03-15,chop,down,up,0,8.4255,0.1787,1w
2022-03-24,chop,down,up,0,2.0793,0.2493,1w
2022-04-04,chop,down,down,1,-4.3104,0.412,1w
2022-04-13,chop,up,down,0,-3.6588,0.5573,1w
2022-04-25,chop,neutral,neutral,0,-0.439,0.4653,1w
2022-05-04,chop,neutral,up,0,0.791,0.536,1w
2022-05-13,chop,down,down,1,-4.1399,0.4253,1w
2022-05-24,chop,down,up,0,0.6964,0.4427,1w
2022-06-03,chop,up,down,0,-3.3397,0.58,1w
2022-06-14,chop,down,up,0,3.9044,0.408,1w
2022-06-24,chop,neutral,up,0,5.2719,0.456,1w
2022-07-06,chop,down,up,0,8.915,0.2973,1w
2022-07-15,chop,down,up,0,1.338,0.3893,1w
2022-07-26,chop,up,down,0,-3.3905,0.5587,1w
2022-08-04,chop,neutral,down,0,-5.8601,0.5013,1w
2022-08-15,chop,up,down,0,-3.5899,0.5707,1w
2022-08-24,chop,neutral,up,0,4.7323,0.5053,1w
2022-09-02,chop,down,up,0,7.4785,0.4387,1w
2022-09-14,chop,neutral,up,0,10.828,0.5453,1w
2022-09-23,chop,up,up,1,3.8678,0.5827,1w
2022-10-04,chop,up,up,1,3.8549,0.6693,1w
2022-10-13,trending_bull,up,up,1,0.8438,0.668,1w
2022-10-24,trending_bull,up,up,1,2.5556,0.5693,1w
2022-11-02,trending_bull,up,up,1,3.626,0.588,1w
2022-11-11,trending_bull,up,up,1,1.9285,0.6653,1w
2022-11-22,chop,up,down,0,-4.5723,0.744,1w
2022-12-02,chop,up,down,0,-0.8796,0.8187,1w
2022-12-13,chop,up,down,0,-2.8246,0.7693,1w
2022-12-22,trending_bear,neutral,down,0,-5.1209,0.544,1w
2023-01-04,chop,up,down,0,-6.4052,0.616,1w
2023-01-13,chop,down,down,1,-1.524,0.3507,1w
2023-01-25,crisis,down,up,0,4.3959,0.288,1w
2023-02-03,high_volatility,down,down,1,-7.4549,0.3347,1w
2023-02-14,chop,down,down,1,-5.3995,0.36,1w
2023-02-24,chop,down,down,1,-3.7336,0.3693,1w
2023-03-07,chop,down,down,1,-4.437,0.164,1w
2023-03-16,chop,down,down,1,-3.7286,0.2747,1w
2023-03-27,chop,down,neutral,0,0.1541,0.3453,1w
2023-04-05,trending_bear,down,up,0,8.4167,0.184,1w
2023-04-17,trending_bear,down,up,0,8.0503,0.2747,1w
2023-04-26,high_volatility,down,up,0,2.5881,0.4253,1w
2023-05-05,chop,down,neutral,0,0.4312,0.4053,1w
2023-05-16,chop,neutral,down,0,-4.6329,0.456,1w
2023-05-25,chop,down,down,1,-3.4916,0.4467,1w
2023-06-06,chop,up,down,0,-2.0928,0.5587,1w
2023-06-15,chop,neutral,up,0,17.1801,0.4987,1w
2023-06-27,chop,down,up,0,17.1203,0.4253,1w
2023-07-07,chop,up,up,1,15.4925,0.5907,1w
2023-07-18,crisis,up,up,1,2.7058,0.752,1w
2023-07-27,high_volatility,up,up,1,3.5959,0.704,1w
2023-08-07,crisis,up,up,1,5.1954,0.6733,1w
2023-08-16,trending_bull,up,up,1,2.3454,0.6387,1w
2023-08-25,trending_bull,up,down,0,-1.5317,0.724,1w
2023-09-06,trending_bull,up,down,0,-0.6004,0.752,1w
2023-09-15,chop,up,down,0,-3.7494,0.768,1w
2023-09-26,chop,up,down,0,-2.4356,0.752,1w
2023-10-05,chop,up,down,0,-4.4194,0.7933,1w
2023-10-16,crisis,down,up,0,6.0437,0.4267,1w
2023-10-25,high_volatility,down,up,0,4.6602,0.4427,1w
2023-11-03,chop,down,up,0,7.7174,0.4253,1w
2023-11-14,high_volatility,up,down,0,-11.915,0.5573,1w
2023-11-24,high_volatility,neutral,down,0,-16.1413,0.4773,1w
2023-12-05,high_volatility,neutral,down,0,-10.9383,0.5053,1w
2023-12-14,crisis,down,up,0,2.4253,0.332,1w
2023-12-26,high_volatility,down,up,0,6.1293,0.312,1w
2024-01-05,trending_bear,down,up,0,3.0705,0.312,1w
2024-01-17,trending_bear,down,down,1,-1.7714,0.324,1w
2024-01-26,chop,down,down,1,-12.9233,0.4133,1w
2024-02-06,chop,down,down,1,-8.4924,0.3813,1w
2024-02-15,chop,down,down,1,-1.1133,0.256,1w
2024-02-27,high_volatility,down,up,0,9.1135,0.1867,1w
2024-03-07,trending_bear,down,up,0,13.7931,0.256,1w
2024-03-18,trending_bear,neutral,down,0,-11.1852,0.488,1w
2024-03-27,chop,neutral,down,0,-21.8654,0.488,1w
2024-04-08,high_volatility,up,down,0,-33.3535,0.58,1w
2024-04-17,crisis,down,down,1,-25.7306,0.388,1w
2024-04-26,trending_bear,down,down,1,-27.5301,0.2747,1w
2024-05-07,trending_bear,down,down,1,-20.3473,0.256,1w
2024-05-16,high_volatility,down,down,1,-3.7935,0.22,1w
