date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-01,chop,down,up,0,21.6665,0.388,1w
2021-01-08,chop,neutral,down,0,-28.8359,0.4933,1w
2021-01-15,chop,down,down,1,-16.3265,0.4253,1w
2021-01-22,chop,down,up,0,29.0455,0.4213,1w
2021-01-29,chop,neutral,up,0,12.2222,0.4667,1w
2021-02-05,chop,neutral,down,0,-60.0647,0.456,1w
2021-02-12,trending_bull,neutral,down,0,-57.0955,0.548,1w
2021-02-19,trending_bull,down,down,1,-54.2166,0.4173,1w
2021-02-26,chop,down,down,1,-5.7377,0.3467,1w
2021-03-05,chop,down,up,0,31.7827,0.4453,1w
2021-03-12,chop,down,up,0,64.6546,0.336,1w
2021-03-19,chop,down,up,0,77.5694,0.348,1w
2021-03-26,chop,down,down,1,-5.59,0.4453,1w
2021-04-02,chop,down,down,1,-24.8676,0.4453,1w
2021-04-09,chop,down,up,0,39.9998,0.4213,1w
2021-04-16,chop,down,up,0,67.3198,0.4013,1w
2021-04-23,chop,down,up,0,75.539,0.412,1w
2021-04-30,trending_bull,up,down,0,-55.4215,0.6093,1w
2021-05-07,trending_bull,up,down,0,-71.4283,0.5973,1w
2021-05-14,trending_bull,up,down,0,-60.2737,0.5867,1w
2021-05-21,trending_bear,neutral,down,0,-28.3183,0.4907,1w
2021-05-28,chop,down,down,1,-7.2288,0.3693,1w
2021-06-04,chop,down,neutral,0,0.0,0.368,1w
2021-06-11,chop,down,down,1,-1.25,0.36,1w
2021-06-18,trending_bear,down,up,0,5.1281,0.376,1w
2021-06-25,chop,down,up,0,12.8204,0.4067,1w
2021-07-02,chop,down,up,0,16.6665,0.2933,1w
2021-07-09,chop,down,up,0,3.5714,0.2933,1w
2021-07-16,chop,down,up,0,79.7744,0.2573,1w
2021-07-23,chop,down,up,0,31.1825,0.3787,1w
2021-07-30,chop,neutral,down,0,-29.5856,0.5133,1w
2021-08-06,trending_bull,up,down,0,-32.0986,0.6747,1w
2021-08-13,trending_bull,up,down,0,-26.8905,0.6027,1w
2021-08-20,trending_bull,up,down,0,-21.5515,0.6027,1w
2021-08-27,chop,up,down,0,-18.5183,0.5853,1w
2021-09-03,chop,neutral,up,0,72.7264,0.5147,1w
2021-09-10,trending_bear,neutral,up,0,71.5901,0.5053,1w
2021-09-17,trending_bear,neutral,down,0,-28.6711,0.48,1w
2021-09-24,trending_bull,up,down,0,-29.53,0.6,1w
2021-10-01,trending_bull,down,down,1,-31.7239,0.4333,1w
2021-10-08,trending_bear,down,up,0,5.8823,0.324,1w
2021-10-15,trending_bear,down,down,1,-2.8302,0.4253,1w
2021-10-22,trending_bear,down,up,0,20.8331,0.4133,1w
2021-10-29,chop,neutral,down,0,-12.8439,0.4827,1w
2021-11-05,chop,neutral,down,0,-12.4999,0.5453,1w
2021-11-12,chop,up,down,0,-15.7893,0.5867,1w
2021-11-19,chop,down,up,0,22.105,0.26,1w
2021-11-26,chop,down,up,0,16.1289,0.22,1w
2021-12-03,chop,down,up,0,3.0612,0.2493,1w
2021-12-10,chop,up,down,0,-6.7307,0.556,1w
2021-12-17,chop,neutral,down,0,-61.3855,0.4907,1w
2021-12-24,chop,neutral,down,0,-60.9994,0.5053,1w
2021-12-31,chop,down,down,1,-63.5508,0.4093,1w
2022-01-07,trending_bear,down,neutral,0,0.0,0.2693,1w
2022-01-14,trending_bear,down,neutral,0,0.0,0.248,1w
2022-01-21,trending_bear,down,down,1,-2.564,0.2747,1w
2022-01-28,trending_bear,down,up,0,2923.0021,0.292,1w
2022-02-04,trending_bear,down,up,0,2447.3041,0.2747,1w
2022-02-11,trending_bear,down,down,1,-99.8587,0.248,1w
2022-02-18,high_volatility,neutral,down,0,-22.4708,0.536,1w
2022-02-25,trending_bear,neutral,down,0,-80.2761,0.528,1w
2022-03-04,trending_bear,neutral,down,0,-87.4999,0.524,1w
2022-03-11,trending_bear,neutral,down,0,-87.1088,0.5453,1w
2022-03-18,trending_bear,neutral,down,0,-47.4745,0.5173,1w
