date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,neutral,0,-0.4278,0.904,1w
2021-01-13,chop,up,down,0,-1.9757,0.768,1w
2021-01-25,chop,up,neutral,0,0.4773,0.5573,1w
2021-02-03,crisis,neutral,up,0,2.1696,0.528,1w
2021-02-12,high_volatility,neutral,up,0,8.4218,0.4787,1w
2021-02-24,crisis,neutral,up,0,9.873,0.4893,1w
2021-03-05,crisis,up,down,0,-1.7647,0.6053,1w
2021-03-16,crisis,up,down,0,-5.7933,0.5747,1w
2021-03-25,high_volatility,up,down,0,-13.2896,0.656,1w
2021-04-06,high_volatility,up,down,0,-9.948,0.5573,1w
2021-04-15,high_volatility,neutral,down,0,-7.6442,0.456,1w
2021-04-26,high_volatility,down,down,1,-8.2607,0.3893,1w
2021-05-05,trending_bear,down,down,1,-4.3731,0.344,1w
2021-05-14,trending_bear,down,down,1,-9.2999,0.376,1w
2021-05-25,high_volatility,down,down,1,-2.8101,0.2827,1w
2021-06-04,trending_bear,down,down,1,-6.1741,0.22,1w
2021-06-15,trending_bear,down,down,1,-1.4245,0.1533,1w
2021-06-24,trending_bear,down,up,0,0.7322,0.132,1w
2021-07-06,trending_bear,down,up,0,7.5863,0.164,1w
2021-07-15,trending_bear,down,up,0,14.7372,0.184,1w
2021-07-26,chop,down,up,0,10.0338,0.312,1w
2021-08-04,chop,down,neutral,0,-0.0081,0.376,1w
2021-08-13,trending_bull,neutral,down,0,-4.4536,0.5467,1w
2021-08-24,trending_bull,up,down,0,-11.7266,0.6573,1w
2021-09-02,trending_bull,neutral,down,0,-10.5743,0.4907,1w
2021-09-14,chop,up,down,0,-11.8513,0.6347,1w
2021-09-23,trending_bear,down,down,1,-6.5892,0.4067,1w
2021-10-04,trending_bear,down,down,1,-4.1679,0.384,1w
2021-10-13,trending_bear,down,up,0,8.2596,0.32,1w
2021-10-22,trending_bear,down,up,0,9.7059,0.284,1w
2021-11-02,trending_bear,down,up,0,12.154,0.256,1w
2021-11-11,trending_bull,down,down,1,-0.7678,0.3067,1w
2021-11-22,chop,down,down,1,-1.6398,0.304,1w
2021-12-02,chop,down,down,1,-2.7342,0.4093,1w
2021-12-13,chop,down,down,1,-0.9207,0.4467,1w
2021-12-22,chop,neutral,down,0,-2.6263,0.5053,1w
2022-01-03,chop,neutral,up,0,1.9929,0.4907,1w
2022-01-12,chop,up,down,0,-3.3673,0.6093,1w
2022-01-24,chop,up,down,0,-3.398,0.5613,1w
2022-02-02,chop,up,neutral,0,-0.0244,0.652,1w
2022-02-11,chop,down,down,1,-5.2417,0.368,1w
2022-02-23,chop,down,down,1,-2.1845,0.292,1w
2022-03-04,chop,down,down,1,-4.6348,0.436,1w
2022-03-15,chop,down,up,0,2.9133,0.296,1w
2022-03-24,chop,down,up,0,0.7866,0.3213,1w
2022-04-04,chop,down,up,0,1.4675,0.376,1w
2022-04-13,chop,down,neutral,0,-0.2,0.368,1w
2022-04-25,chop,down,neutral,0,0.2141,0.424,1w
2022-05-04,chop,down,down,1,-0.573,0.3733,1w
2022-05-13,chop,down,up,0,3.6797,0.428,1w
2022-05-24,chop,neutral,up,0,4.909,0.456,1w
2022-06-03,chop,down,up,0,3.132,0.3867,1w
2022-06-14,chop,up,up,1,1.9134,0.5853,1w
2022-06-24,chop,up,up,1,17.2529,0.5733,1w
2022-07-06,chop,up,up,1,12.6763,0.58,1w
2022-07-15,chop,up,up,1,6.0766,0.588,1w
2022-07-26,trending_bull,up,down,0,-4.1275,0.8093,1w
2022-08-04,trending_bull,up,down,0,-5.541,0.6973,1w
2022-08-15,trending_bull,up,down,0,-3.4092,0.7107,1w
2022-08-24,chop,up,down,0,-6.4591,0.724,1w
2022-09-02,chop,up,down,0,-4.9617,0.6387,1w
2022-09-14,trending_bear,up,down,0,-2.6111,0.5587,1w
2022-09-23,trending_bear,neutral,neutral,0,0.2929,0.52,1w
2022-10-04,trending_bear,neutral,up,0,5.3578,0.4653,1w
2022-10-13,trending_bear,down,down,1,-0.6783,0.4213,1w
2022-10-24,chop,down,up,0,8.9027,0.152,1w
2022-11-02,chop,down,up,0,10.2626,0.236,1w
2022-11-11,chop,down,up,0,10.352,0.2693,1w
2022-11-22,chop,neutral,up,0,9.2148,0.456,1w
2022-12-02,chop,up,up,1,4.4117,0.68,1w
2022-12-13,trending_bull,up,down,0,-2.7382,0.724,1w
2022-12-22,trending_bull,up,down,0,-1.5166,0.8333,1w
2023-01-04,trending_bull,up,up,1,2.8052,0.8587,1w
2023-01-13,trending_bull,up,up,1,6.0642,0.7307,1w
2023-01-25,chop,up,up,1,5.0959,0.848,1w
2023-02-03,chop,up,up,1,0.9705,0.8187,1w
2023-02-14,chop,up,down,0,-2.0597,0.8227,1w
2023-02-24,chop,up,down,0,-4.4843,0.752,1w
2023-03-07,chop,up,down,0,-2.8228,0.6987,1w
2023-03-16,chop,neutral,down,0,-5.3609,0.4707,1w
2023-03-27,chop,down,neutral,0,-0.4415,0.3893,1w
2023-04-05,chop,neutral,neutral,0,-0.4495,0.4867,1w
2023-04-17,chop,down,up,0,7.5514,0.392,1w
2023-04-26,chop,neutral,down,0,-4.4236,0.4947,1w
2023-05-05,chop,down,down,1,-5.6411,0.3507,1w
2023-05-16,chop,down,down,1,-9.1636,0.412,1w
2023-05-25,chop,down,down,1,-1.8011,0.2493,1w
2023-06-06,chop,down,down,1,-2.155,0.2573,1w
2023-06-15,chop,down,up,0,10.168,0.248,1w
2023-06-27,chop,down,up,0,7.5581,0.256,1w
2023-07-07,chop,down,up,0,7.5615,0.2933,1w
2023-07-18,chop,up,neutral,0,0.2881,0.6027,1w
2023-07-27,chop,down,up,0,2.3498,0.428,1w
2023-08-07,crisis,down,up,0,6.7675,0.4213,1w
2023-08-16,high_volatility,down,up,0,3.7799,0.44,1w
2023-08-25,chop,up,down,0,-1.4156,0.6653,1w
2023-09-06,chop,up,down,0,-4.3144,0.7133,1w
2023-09-15,chop,up,down,0,-3.0605,0.7693,1w
2023-09-26,chop,up,down,0,-5.1309,0.6933,1w
2023-10-05,chop,up,down,0,-2.9383,0.6413,1w
2023-10-16,chop,neutral,down,0,-3.0995,0.4933,1w
2023-10-25,chop,down,up,0,5.2497,0.3507,1w
2023-11-03,trending_bear,down,neutral,0,0.4832,0.3813,1w
2023-11-14,high_volatility,down,neutral,0,0.3209,0.424,1w
2023-11-24,chop,down,down,1,-7.3176,0.3987,1w
2023-12-05,chop,down,down,1,-1.4034,0.3453,1w
2023-12-14,chop,down,up,0,0.8588,0.32,1w
2023-12-26,chop,down,up,0,8.2222,0.3613,1w
2024-01-05,chop,down,up,0,5.6259,0.4093,1w
2024-01-17,chop,down,up,0,7.2185,0.368,1w
2024-01-26,crisis,up,down,0,-1.7952,0.6133,1w
2024-02-06,chop,neutral,up,0,3.1292,0.5467,1w
2024-02-15,chop,up,down,0,-3.7928,0.6053,1w
2024-02-27,chop,down,down,1,-5.894,0.4213,1w
2024-03-07,chop,up,down,0,-12.4106,0.6053,1w
2024-03-18,chop,neutral,down,0,-6.1885,0.5013,1w
2024-03-27,chop,neutral,down,0,-9.1856,0.488,1w
2024-04-08,crisis,down,down,1,-2.9929,0.296,1w
2024-04-17,high_volatility,down,up,0,6.2254,0.376,1w
2024-04-26,trending_bear,down,up,0,3.1763,0.2347,1w
2024-05-07,trending_bear,down,up,0,4.2428,0.296,1w
2024-05-16,chop,down,down,1,-2.1788,0.3693,1w
2024-05-28,chop,down,up,0,3.7986,0.3133,1w
2024-06-06,chop,down,up,0,4.5896,0.3787,1w
2024-06-17,chop,down,up,0,1.5011,0.3867,1w
2024-06-27,chop,down,down,1,-4.3681,0.4253,1w
2024-07-09,trending_bull,up,down,0,-5.47,0.5907,1w
2024-07-18,chop,up,down,0,-2.3861,0.5733,1w
2024-07-29,chop,up,neutral,0,0.1712,0.5587,1w
2024-08-07,chop,neutral,down,0,-1.0247,0.524,1w
2024-08-16,chop,down,down,1,-1.7475,0.412,1w
2024-08-27,chop,neutral,up,0,5.6403,0.4587,1w
2024-09-06,chop,down,up,0,8.1138,0.3547,1w
2024-09-17,chop,down,up,0,2.4614,0.4387,1w
2024-09-26,chop,neutral,down,0,-7.9452,0.4707,1w
2024-10-07,trending_bull,down,down,1,-5.8521,0.436,1w
2024-10-16,chop,down,down,1,-2.7717,0.4253,1w
2024-10-25,trending_bear,down,up,0,6.6044,0.4067,1w
2024-11-05,trending_bear,down,up,0,6.9249,0.436,1w
2024-11-14,chop,down,up,0,7.8366,0.4013,1w
2024-11-25,chop,neutral,up,0,1.7564,0.536,1w
