date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-22.0259,0.5467,1w
2021-01-13,chop,neutral,down,0,-12.3596,0.5013,1w
2021-01-25,chop,down,down,1,-0.7962,0.296,1w
2021-02-03,chop,down,up,0,36.4198,0.3347,1w
2021-02-12,chop,down,up,0,24.3759,0.2253,1w
2021-02-24,chop,down,up,0,54.1213,0.2613,1w
2021-03-05,chop,neutral,up,0,14.1636,0.4907,1w
2021-03-16,crisis,neutral,up,0,21.0399,0.5387,1w
2021-03-25,crisis,up,down,0,-19.469,0.6027,1w
2021-04-06,high_volatility,neutral,down,0,-17.4151,0.5373,1w
2021-04-15,high_volatility,up,down,0,-51.5712,0.6027,1w
2021-04-26,crisis,up,down,0,-21.5881,0.6173,1w
2021-05-05,chop,up,down,0,-12.7108,0.5707,1w
2021-05-14,high_volatility,down,down,1,-3.4247,0.344,1w
2021-05-25,trending_bear,neutral,down,0,-13.7255,0.4693,1w
2021-06-04,chop,down,down,1,-25.6098,0.376,1w
2021-06-15,chop,down,up,0,1.1429,0.2933,1w
2021-06-24,chop,down,down,1,-0.5254,0.18,1w
2021-07-06,chop,down,up,0,36.8635,0.2013,1w
2021-07-15,chop,down,up,0,28.2569,0.1707,1w
2021-07-26,chop,down,up,0,7.8292,0.2987,1w
2021-08-04,chop,down,up,0,8.209,0.4093,1w
2021-08-13,chop,up,up,1,4.6921,0.5813,1w
2021-08-24,chop,neutral,down,0,-18.3562,0.4707,1w
2021-09-02,chop,neutral,down,0,-10.221,0.5293,1w
2021-09-14,trending_bull,up,down,0,-15.0552,0.6467,1w
2021-09-23,chop,neutral,up,0,25.5814,0.5013,1w
2021-10-04,chop,up,up,1,2.7859,0.628,1w
2021-10-13,chop,neutral,up,0,14.2195,0.5467,1w
2021-10-22,chop,up,down,0,-3.1609,0.5987,1w
2021-11-02,chop,neutral,up,0,1.81,0.5013,1w
2021-11-11,chop,neutral,down,0,-20.2597,0.524,1w
2021-11-22,chop,down,down,1,-8.7719,0.4213,1w
2021-12-02,chop,down,down,1,-9.3058,0.4227,1w
2021-12-13,chop,down,up,0,11.9476,0.372,1w
2021-12-22,chop,up,up,1,16.5846,0.5573,1w
2022-01-03,chop,down,up,0,27.1523,0.392,1w
2022-01-12,chop,neutral,up,0,2.5751,0.5187,1w
2022-01-24,chop,neutral,down,0,-10.0544,0.492,1w
2022-02-02,trending_bull,up,down,0,-12.8378,0.5907,1w
2022-02-11,trending_bull,down,down,1,-28.8227,0.408,1w
2022-02-23,trending_bear,down,down,1,-24.3902,0.4427,1w
2022-03-04,chop,down,down,1,-11.9672,0.4227,1w
2022-03-15,trending_bear,down,up,0,1.5094,0.3347,1w
2022-03-24,trending_bear,down,neutral,0,-0.3899,0.2773,1w
2022-04-04,trending_bear,down,up,0,10.0775,0.3653,1w
2022-04-13,trending_bear,down,up,0,16.2264,0.2307,1w
2022-04-25,trending_bear,down,up,0,17.782,0.152,1w
2022-05-04,chop,down,up,0,8.8926,0.224,1w
2022-05-13,trending_bull,down,up,0,6.3973,0.3027,1w
2022-05-24,trending_bull,down,up,0,1.1804,0.4093,1w
2022-06-03,chop,neutral,down,0,-10.0318,0.5333,1w
2022-06-14,chop,up,down,0,-3.7094,0.64,1w
2022-06-24,chop,up,up,1,1.3356,0.6227,1w
2022-07-06,chop,up,up,1,3.2313,0.5693,1w
2022-07-15,chop,up,down,0,-1.2618,0.6267,1w
2022-07-26,chop,up,up,1,16.3543,0.6147,1w
2022-08-04,chop,neutral,up,0,22.5649,0.4907,1w
2022-08-15,chop,neutral,up,0,30.3226,0.528,1w
2022-08-24,chop,up,up,1,31.085,0.612,1w
2022-09-02,trending_bull,up,neutral,0,-0.2706,0.668,1w
2022-09-14,trending_bull,up,down,0,-10.4513,0.6987,1w
2022-09-23,trending_bull,up,down,0,-7.9954,0.7947,1w
2022-10-04,high_volatility,up,up,1,8.0795,0.668,1w
2022-10-13,trending_bull,up,up,1,13.1034,0.6173,1w
2022-10-24,chop,up,up,1,7.1156,0.7253,1w
2022-11-02,chop,up,down,0,-1.8892,0.7173,1w
2022-11-11,chop,up,down,0,-10.7618,0.724,1w
2022-11-22,chop,up,down,0,-9.1124,0.668,1w
2022-12-02,chop,neutral,down,0,-7.6203,0.52,1w
2022-12-13,chop,down,down,1,-0.6435,0.3507,1w
2022-12-22,high_volatility,down,down,1,-6.4968,0.372,1w
2023-01-04,chop,down,up,0,10.8631,0.3867,1w
2023-01-13,chop,neutral,down,0,-13.8381,0.5333,1w
2023-01-25,chop,down,down,1,-13.4247,0.4067,1w
2023-02-03,chop,down,down,1,-16.0935,0.412,1w
2023-02-14,chop,down,down,1,-9.9851,0.2827,1w
2023-02-24,chop,down,down,1,-9.3093,0.2413,1w
2023-03-07,chop,down,up,0,2.1841,0.2973,1w
2023-03-16,chop,down,down,1,-4.2904,0.2733,1w
2023-03-27,chop,down,down,1,-11.2583,0.2413,1w
2023-04-05,chop,down,down,1,-9.434,0.4467,1w
2023-04-17,chop,down,up,0,6.9444,0.2253,1w
2023-04-26,chop,down,up,0,21.4815,0.22,1w
2023-05-05,chop,down,up,0,3.7415,0.2733,1w
2023-05-16,chop,down,down,1,-3.2154,0.3893,1w
2023-05-25,trending_bull,neutral,down,0,-14.2229,0.4587,1w
2023-06-06,trending_bear,down,down,1,-4.2276,0.4213,1w
2023-06-15,chop,neutral,down,0,-0.6678,0.4653,1w
2023-06-27,chop,down,down,1,-7.9545,0.4427,1w
2023-07-07,chop,down,down,1,-23.9737,0.4013,1w
2023-07-18,chop,neutral,down,0,-18.7826,0.5013,1w
2023-07-27,chop,neutral,down,0,-11.4545,0.5173,1w
2023-08-07,trending_bear,down,down,1,-1.7978,0.2747,1w
2023-08-16,trending_bear,down,up,0,0.8639,0.2347,1w
2023-08-25,trending_bear,down,up,0,15.4321,0.2133,1w
2023-09-06,trending_bear,down,up,0,31.8605,0.2173,1w
2023-09-15,chop,down,up,0,20.9302,0.2867,1w
2023-09-26,chop,down,up,0,10.9712,0.4013,1w
2023-10-05,trending_bull,down,up,0,4.2593,0.4147,1w
2023-10-16,chop,neutral,down,0,-3.3333,0.4693,1w
2023-10-25,trending_bull,up,up,1,13.128,0.5587,1w
2023-11-03,trending_bull,up,up,1,17.6068,0.6387,1w
2023-11-14,high_volatility,up,down,0,-10.8955,0.6933,1w
2023-11-24,high_volatility,up,down,0,-23.1322,0.7133,1w
2023-12-05,high_volatility,up,down,0,-13.6296,0.768,1w
2023-12-14,chop,up,down,0,-13.036,0.6453,1w
2023-12-26,trending_bear,down,down,1,-1.1257,0.4453,1w
2024-01-05,trending_bear,neutral,down,0,-6.9725,0.536,1w
2024-01-17,chop,down,down,1,-5.1823,0.2613,1w
2024-01-26,chop,down,down,1,-27.6978,0.3547,1w
2024-02-06,chop,down,down,1,-23.6994,0.3653,1w
2024-02-15,chop,down,down,1,-12.115,0.2347,1w
2024-02-27,chop,down,down,1,-8.9806,0.124,1w
2024-03-07,trending_bear,down,down,1,-17.3077,0.1427,1w
2024-03-18,trending_bear,down,up,0,13.7931,0.248,1w
2024-03-27,trending_bear,down,up,0,19.3029,0.2253,1w
2024-04-08,trending_bear,down,up,0,24.9344,0.1533,1w
2024-04-17,trending_bull,down,down,1,-3.118,0.436,1w
2024-04-26,trending_bull,down,up,0,11.2832,0.3293,1w
2024-05-07,chop,down,up,0,18.6975,0.412,1w
2024-05-16,chop,down,up,0,31.1364,0.3947,1w
2024-05-28,chop,up,up,1,17.5869,0.5987,1w
2024-06-06,trending_bull,up,up,1,21.4552,0.6613,1w
2024-06-17,high_volatility,up,up,1,70.2403,0.6453,1w
2024-06-27,high_volatility,up,up,1,58.4348,0.7253,1w
2024-07-09,crisis,up,up,1,44.697,0.752,1w
2024-07-18,crisis,up,down,0,-7.9348,0.8293,1w
2024-07-29,crisis,up,up,1,28.4929,0.8253,1w
2024-08-07,crisis,up,up,1,36.1082,0.816,1w
2024-08-16,crisis,up,up,1,65.299,0.7693,1w
2024-08-27,crisis,up,up,1,42.9066,0.8493,1w
2024-09-06,crisis,up,up,1,42.5178,0.8667,1w
2024-09-17,crisis,up,up,1,41.7227,0.872,1w
2024-09-26,crisis,up,up,1,30.4886,0.9053,1w
2024-10-07,crisis,up,down,0,-23.2487,0.9053,1w
2024-10-16,crisis,up,down,0,-33.7467,0.8147,1w
2024-10-25,crisis,up,down,0,-29.6078,0.7827,1w
2024-11-05,crisis,up,down,0,-1.0224,0.6667,1w
2024-11-14,trending_bear,up,down,0,-10.4983,0.724,1w
2024-11-25,trending_bear,up,up,1,4.6528,0.58,1w
