date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-1.7835,0.256,1w
2021-01-13,chop,down,down,1,-3.1036,0.1853,1w
2021-01-25,trending_bear,down,down,1,-2.4853,0.2173,1w
2021-02-03,trending_bear,down,down,1,-1.9817,0.1533,1w
2021-02-12,crisis,down,down,1,-3.6701,0.0853,1w
2021-02-24,trending_bear,down,down,1,-2.2129,0.1227,1w
2021-03-05,crisis,down,down,1,-3.1235,0.1373,1w
2021-03-16,crisis,down,down,1,-2.4162,0.0453,1w
2021-03-25,high_volatility,down,down,1,-4.1406,0.0693,1w
2021-04-06,high_volatility,down,down,1,-5.1369,0.0853,1w
2021-04-15,crisis,down,down,1,-2.6392,0.0693,1w
2021-04-26,crisis,down,down,1,-1.1314,0.0507,1w
2021-05-05,crisis,down,neutral,0,0.1479,0.0507,1w
2021-05-14,crisis,down,down,1,-2.9864,0.0787,1w
2021-05-25,trending_bear,down,down,1,-2.3577,0.1227,1w
2021-06-04,high_volatility,down,down,1,-1.039,0.116,1w
2021-06-15,crisis,down,up,0,3.0847,0.1013,1w
2021-06-24,crisis,down,up,0,2.014,0.164,1w
2021-07-06,high_volatility,down,up,0,2.798,0.1867,1w
2021-07-15,high_volatility,down,up,0,2.4959,0.2453,1w
2021-07-26,high_volatility,down,down,1,-0.7087,0.38,1w
2021-08-04,high_volatility,neutral,down,0,-4.0205,0.4667,1w
2021-08-13,high_volatility,neutral,down,0,-4.7858,0.5293,1w
2021-08-24,chop,down,down,1,-4.2441,0.3787,1w
2021-09-02,chop,down,down,1,-3.3108,0.3027,1w
2021-09-14,chop,neutral,down,0,-4.5297,0.4707,1w
2021-09-23,trending_bear,down,down,1,-3.3125,0.2613,1w
2021-10-04,crisis,down,down,1,-2.0668,0.256,1w
2021-10-13,high_volatility,down,up,0,2.9537,0.1707,1w
2021-10-22,crisis,down,up,0,4.8271,0.1347,1w
2021-11-02,high_volatility,down,up,0,5.9393,0.128,1w
2021-11-11,crisis,down,up,0,2.3817,0.2013,1w
2021-11-22,trending_bull,down,up,0,1.3593,0.2973,1w
2021-12-02,trending_bull,down,down,1,-1.5399,0.448,1w
2021-12-13,trending_bull,neutral,up,0,1.5292,0.4693,1w
2021-12-22,trending_bull,up,up,1,2.8939,0.56,1w
2022-01-03,trending_bull,neutral,up,0,4.08,0.5133,1w
2022-01-12,chop,up,down,0,-0.8947,0.752,1w
2022-01-24,trending_bull,up,down,0,-2.788,0.8,1w
2022-02-02,trending_bull,up,down,0,-3.3339,0.7933,1w
2022-02-11,chop,up,neutral,0,0.3628,0.5893,1w
2022-02-23,trending_bear,neutral,up,0,3.5714,0.4867,1w
2022-03-04,trending_bear,down,up,0,4.3645,0.344,1w
2022-03-15,chop,down,up,0,2.055,0.4173,1w
2022-03-24,trending_bull,up,up,1,1.56,0.58,1w
2022-04-04,chop,up,neutral,0,-0.3555,0.6053,1w
2022-04-13,chop,down,neutral,0,-0.0115,0.4493,1w
2022-04-25,chop,down,down,1,-1.8204,0.4333,1w
2022-05-04,chop,down,down,1,-0.9629,0.4213,1w
2022-05-13,chop,neutral,down,0,-0.6699,0.4933,1w
2022-05-24,chop,neutral,up,0,1.2398,0.508,1w
2022-06-03,chop,up,down,0,-1.4389,0.5693,1w
2022-06-14,chop,down,neutral,0,0.1879,0.4093,1w
2022-06-24,chop,down,up,0,0.8746,0.3947,1w
2022-07-06,chop,down,up,0,1.3252,0.2093,1w
2022-07-15,chop,down,down,1,-1.8402,0.3813,1w
2022-07-26,chop,down,down,1,-1.0131,0.3733,1w
2022-08-04,chop,down,down,1,-0.8878,0.32,1w
2022-08-15,chop,down,up,0,0.5387,0.296,1w
2022-08-24,chop,down,down,1,-1.0683,0.38,1w
2022-09-02,chop,down,down,1,-2.398,0.3213,1w
2022-09-14,chop,down,down,1,-1.7053,0.2973,1w
2022-09-23,chop,down,down,1,-1.5348,0.256,1w
2022-10-04,chop,down,up,0,1.1468,0.2493,1w
2022-10-13,chop,down,up,0,1.4378,0.1947,1w
2022-10-24,trending_bear,down,up,0,5.2636,0.184,1w
2022-11-02,chop,down,up,0,3.8558,0.26,1w
2022-11-11,chop,down,up,0,4.6276,0.376,1w
2022-11-22,trending_bull,neutral,up,0,4.9679,0.4947,1w
2022-12-02,trending_bull,up,up,1,2.0149,0.5827,1w
2022-12-13,trending_bull,up,neutral,0,-0.2052,0.6707,1w
2022-12-22,trending_bull,up,down,0,-0.5429,0.768,1w
2023-01-04,trending_bull,up,neutral,0,0.322,0.7933,1w
2023-01-13,trending_bull,up,neutral,0,-0.4899,0.7947,1w
2023-01-25,trending_bull,up,down,0,-0.5514,0.8773,1w
2023-02-03,trending_bull,up,neutral,0,0.0565,0.756,1w
2023-02-14,chop,up,neutral,0,0.155,0.668,1w
2023-02-24,chop,up,up,1,1.0489,0.628,1w
2023-03-07,chop,up,down,0,-0.8183,0.5613,1w
2023-03-16,chop,down,down,1,-1.7746,0.32,1w
2023-03-27,chop,down,down,1,-2.5488,0.336,1w
2023-04-05,chop,down,neutral,0,0.3866,0.38,1w
2023-04-17,chop,down,up,0,2.4241,0.2307,1w
2023-04-26,chop,down,up,0,1.8461,0.2413,1w
2023-05-05,chop,down,up,0,1.3501,0.3467,1w
2023-05-16,chop,neutral,up,0,1.156,0.456,1w
2023-05-25,chop,down,up,0,1.4284,0.4427,1w
2023-06-06,chop,down,up,0,0.7886,0.4213,1w
2023-06-15,chop,neutral,up,0,1.6016,0.5427,1w
2023-06-27,chop,down,up,0,1.4139,0.4067,1w
2023-07-07,chop,up,up,1,2.0679,0.5693,1w
2023-07-18,chop,up,up,1,2.0189,0.7453,1w
2023-07-27,chop,up,up,1,2.719,0.728,1w
2023-08-07,trending_bull,up,up,1,2.5815,0.696,1w
2023-08-16,trending_bull,up,up,1,2.2267,0.7,1w
2023-08-25,trending_bull,up,up,1,1.1386,0.804,1w
2023-09-06,trending_bull,up,neutral,0,-0.3183,0.764,1w
2023-09-15,trending_bull,up,down,0,-1.1735,0.8427,1w
2023-09-26,trending_bull,up,down,0,-1.8039,0.8093,1w
2023-10-05,trending_bull,up,down,0,-1.2519,0.7253,1w
2023-10-16,trending_bull,up,down,0,-2.0064,0.6627,1w
2023-10-25,trending_bear,neutral,neutral,0,-0.4566,0.528,1w
2023-11-03,trending_bear,down,up,0,1.1916,0.396,1w
2023-11-14,trending_bear,down,up,0,0.9986,0.2747,1w
2023-11-24,trending_bear,down,down,1,-1.0202,0.2253,1w
2023-12-05,chop,down,down,1,-1.9972,0.304,1w
2023-12-14,chop,down,down,1,-1.1028,0.1947,1w
2023-12-26,chop,down,up,0,0.61,0.1787,1w
2024-01-05,trending_bear,down,up,0,1.7727,0.22,1w
2024-01-17,trending_bear,down,up,0,1.002,0.2187,1w
2024-01-26,chop,down,up,0,1.6069,0.3733,1w
2024-02-06,chop,down,up,0,1.5208,0.4093,1w
2024-02-15,chop,down,up,0,1.4563,0.4453,1w
2024-02-27,chop,neutral,neutral,0,-0.1015,0.4653,1w
2024-03-07,chop,down,down,1,-1.1667,0.4053,1w
2024-03-18,chop,neutral,down,0,-0.7515,0.4907,1w
2024-03-27,chop,up,neutral,0,0.4777,0.58,1w
2024-04-08,crisis,neutral,up,0,0.6355,0.4693,1w
2024-04-17,high_volatility,neutral,up,0,1.6758,0.5053,1w
2024-04-26,chop,up,neutral,0,0.0307,0.5573,1w
2024-05-07,chop,neutral,up,0,0.8251,0.4867,1w
2024-05-16,chop,neutral,up,0,1.1452,0.5013,1w
2024-05-28,chop,down,up,0,1.8774,0.412,1w
2024-06-06,chop,neutral,up,0,1.5983,0.4693,1w
2024-06-17,chop,neutral,up,0,1.1242,0.4707,1w
2024-06-27,chop,up,neutral,0,0.0969,0.5653,1w
2024-07-09,trending_bull,up,up,1,1.467,0.6173,1w
2024-07-18,chop,up,up,1,0.9488,0.716,1w
2024-07-29,chop,up,up,1,1.4465,0.5693,1w
2024-08-07,trending_bull,up,up,1,1.7384,0.6933,1w
2024-08-16,trending_bull,up,up,1,1.8322,0.684,1w
2024-08-27,trending_bull,up,up,1,1.2251,0.6907,1w
2024-09-06,trending_bull,up,neutral,0,-0.0161,0.772,1w
2024-09-17,trending_bull,up,up,1,0.6035,0.7533,1w
2024-09-26,trending_bull,up,up,1,1.2246,0.616,1w
