date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-3.4845,0.5573,1w
2021-01-13,chop,neutral,down,0,-3.635,0.5053,1w
2021-01-25,high_volatility,down,down,1,-1.145,0.2973,1w
2021-02-03,crisis,down,down,1,-6.6226,0.296,1w
2021-02-12,high_volatility,down,down,1,-7.5483,0.336,1w
2021-02-24,crisis,down,neutral,0,-0.2041,0.2933,1w
2021-03-05,crisis,down,up,0,6.7375,0.2933,1w
2021-03-16,crisis,down,up,0,2.0298,0.2387,1w
2021-03-25,high_volatility,down,down,1,-4.4698,0.332,1w
2021-04-06,chop,down,down,1,-7.5627,0.3333,1w
2021-04-15,chop,down,down,1,-10.3302,0.2413,1w
2021-04-26,chop,down,down,1,-1.817,0.3213,1w
2021-05-05,trending_bear,down,up,0,0.6557,0.244,1w
2021-05-14,high_volatility,down,down,1,-4.4317,0.1947,1w
2021-05-25,high_volatility,down,down,1,-8.4556,0.344,1w
2021-06-04,chop,neutral,down,0,-10.5948,0.4907,1w
2021-06-15,chop,down,down,1,-3.2049,0.2747,1w
2021-06-24,trending_bear,down,neutral,0,0.4088,0.1707,1w
2021-07-06,trending_bear,down,up,0,6.4484,0.1533,1w
2021-07-15,trending_bear,down,up,0,9.35,0.1693,1w
2021-07-26,chop,down,up,0,1.3113,0.3093,1w
2021-08-04,chop,down,down,1,-6.729,0.3467,1w
2021-08-13,chop,neutral,down,0,-7.8287,0.4933,1w
2021-08-24,chop,down,down,1,-8.1485,0.3347,1w
2021-09-02,chop,down,down,1,-6.0169,0.224,1w
2021-09-14,chop,down,down,1,-9.7237,0.412,1w
2021-09-23,chop,down,up,0,1.8378,0.2693,1w
2021-10-04,trending_bear,down,up,0,0.6468,0.2973,1w
2021-10-13,trending_bear,down,up,0,12.9941,0.268,1w
2021-10-22,chop,down,up,0,11.1377,0.2933,1w
2021-11-02,chop,down,up,0,14.2783,0.2747,1w
2021-11-11,high_volatility,down,up,0,1.5287,0.392,1w
2021-11-22,trending_bull,neutral,up,0,0.816,0.4667,1w
2021-12-02,trending_bull,up,down,0,-2.3885,0.632,1w
2021-12-13,trending_bull,up,up,1,3.6261,0.5907,1w
2021-12-22,trending_bull,up,up,1,8.6614,0.724,1w
2022-01-03,chop,up,up,1,7.7749,0.6587,1w
2022-01-12,chop,up,up,1,1.2883,0.8227,1w
2022-01-24,trending_bull,up,down,0,-2.3378,0.8427,1w
2022-02-02,trending_bull,up,down,0,-1.2708,0.848,1w
2022-02-11,trending_bull,up,down,0,-6.7704,0.6893,1w
2022-02-23,trending_bull,up,down,0,-0.833,0.6347,1w
2022-03-04,chop,up,up,1,3.3029,0.5773,1w
2022-03-15,chop,down,up,0,7.4844,0.396,1w
2022-03-24,chop,up,up,1,4.3558,0.5653,1w
2022-04-04,chop,up,up,1,1.4829,0.6293,1w
2022-04-13,chop,neutral,neutral,0,0.4759,0.544,1w
2022-04-25,trending_bull,down,down,1,-1.3765,0.448,1w
2022-05-04,chop,neutral,down,0,-1.9103,0.4653,1w
2022-05-13,chop,neutral,up,0,2.0013,0.5053,1w
2022-05-24,chop,neutral,up,0,1.5513,0.536,1w
2022-06-03,chop,up,down,0,-1.5937,0.5573,1w
2022-06-14,chop,up,up,1,0.604,0.7267,1w
2022-06-24,chop,up,up,1,3.8301,0.5853,1w
2022-07-06,chop,down,up,0,1.8752,0.4467,1w
2022-07-15,chop,neutral,down,0,-4.6928,0.54,1w
2022-07-26,chop,up,down,0,-5.6308,0.588,1w
2022-08-04,chop,down,down,1,-2.449,0.428,1w
2022-08-15,chop,down,up,0,1.9808,0.412,1w
2022-08-24,chop,down,down,1,-0.7313,0.4253,1w
2022-09-02,chop,down,down,1,-5.3498,0.4093,1w
2022-09-14,chop,down,down,1,-4.6466,0.3547,1w
2022-09-23,chop,down,down,1,-2.7752,0.3467,1w
2022-10-04,chop,down,up,0,1.6779,0.236,1w
2022-10-13,chop,down,up,0,0.5728,0.1627,1w
2022-10-24,chop,down,up,0,8.5435,0.1467,1w
2022-11-02,chop,down,up,0,4.1412,0.2493,1w
2022-11-11,chop,down,up,0,4.6584,0.376,1w
2022-11-22,chop,neutral,up,0,4.8429,0.516,1w
2022-12-02,trending_bull,neutral,up,0,4.0288,0.5173,1w
2022-12-13,trending_bull,up,down,0,-0.54,0.5693,1w
2022-12-22,trending_bull,up,down,0,-1.0268,0.7413,1w
2023-01-04,trending_bull,up,neutral,0,0.2122,0.7653,1w
2023-01-13,trending_bull,up,up,1,2.77,0.7,1w
2023-01-25,chop,up,up,1,2.762,0.8333,1w
2023-02-03,chop,up,up,1,4.2509,0.7253,1w
2023-02-14,chop,up,up,1,3.5751,0.6773,1w
2023-02-24,chop,up,up,1,2.8662,0.708,1w
2023-03-07,chop,up,neutral,0,-0.223,0.752,1w
2023-03-16,trending_bull,up,down,0,-3.2552,0.656,1w
2023-03-27,trending_bull,up,down,0,-3.4812,0.6347,1w
2023-04-05,chop,up,neutral,0,0.0,0.6693,1w
2023-04-17,high_volatility,up,up,1,6.9549,0.5907,1w
2023-04-26,high_volatility,neutral,up,0,3.703,0.5467,1w
2023-05-05,crisis,up,up,1,2.0592,0.6467,1w
2023-05-16,chop,up,down,0,-2.7887,0.7173,1w
2023-05-25,chop,up,down,0,-1.9339,0.6027,1w
2023-06-06,chop,neutral,down,0,-0.8815,0.528,1w
2023-06-15,crisis,down,up,0,3.8584,0.4253,1w
2023-06-27,chop,down,up,0,1.7821,0.3867,1w
2023-07-07,chop,neutral,down,0,-4.8113,0.4907,1w
2023-07-18,chop,up,neutral,0,-0.1975,0.7133,1w
2023-07-27,high_volatility,up,up,1,4.155,0.576,1w
2023-08-07,crisis,down,up,0,7.1384,0.3133,1w
2023-08-16,high_volatility,down,up,0,2.3416,0.4427,1w
2023-08-25,chop,up,neutral,0,-0.0893,0.5573,1w
2023-09-06,chop,neutral,up,0,3.8581,0.48,1w
2023-09-15,chop,up,down,0,-0.5003,0.6053,1w
2023-09-26,chop,up,down,0,-4.9522,0.6067,1w
2023-10-05,chop,up,down,0,-3.084,0.5733,1w
2023-10-16,chop,neutral,down,0,-4.713,0.4947,1w
