date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-7.1047,0.3453,1w
2021-01-13,trending_bear,down,down,1,-2.5657,0.2093,1w
2021-01-25,trending_bear,down,down,1,-4.4379,0.1,1w
2021-02-03,trending_bear,down,down,1,-18.0588,0.1747,1w
2021-02-12,trending_bear,down,down,1,-25.22,0.172,1w
2021-02-24,trending_bear,down,down,1,-5.7435,0.168,1w
2021-03-05,trending_bear,down,up,0,15.4883,0.2253,1w
2021-03-16,trending_bear,down,up,0,10.1649,0.152,1w
2021-03-25,trending_bear,down,down,1,-6.9684,0.2493,1w
2021-04-06,trending_bull,down,down,1,-14.9616,0.3453,1w
2021-04-15,chop,down,down,1,-16.7596,0.2947,1w
2021-04-26,chop,down,down,1,-11.4503,0.3027,1w
2021-05-05,chop,down,up,0,2.3168,0.2747,1w
2021-05-14,trending_bear,down,up,0,3.2527,0.2253,1w
2021-05-25,trending_bear,down,up,0,26.5396,0.2947,1w
2021-06-04,trending_bull,neutral,up,0,10.2091,0.4947,1w
2021-06-15,chop,neutral,up,0,10.5231,0.4947,1w
2021-06-24,chop,neutral,up,0,2.188,0.4867,1w
2021-07-06,chop,down,up,0,10.5414,0.4293,1w
2021-07-15,chop,neutral,up,0,10.976,0.4787,1w
2021-07-26,chop,up,up,1,2.218,0.5907,1w
2021-08-04,trending_bull,up,down,0,-26.0834,0.6347,1w
2021-08-13,trending_bull,up,down,0,-24.7161,0.7133,1w
2021-08-24,trending_bull,up,down,0,-23.8416,0.752,1w
2021-09-02,trending_bear,down,down,1,-1.918,0.3787,1w
2021-09-14,trending_bear,down,down,1,-7.8592,0.4253,1w
2021-09-23,trending_bear,down,down,1,-3.0387,0.2267,1w
2021-10-04,trending_bear,down,down,1,-5.2044,0.256,1w
2021-10-13,trending_bear,down,up,0,20.4168,0.2347,1w
2021-10-22,trending_bear,down,up,0,14.697,0.2173,1w
2021-11-02,chop,down,up,0,20.8078,0.1667,1w
2021-11-11,chop,down,down,1,-10.1665,0.296,1w
2021-11-22,trending_bull,down,down,1,-9.7122,0.3267,1w
2021-12-02,trending_bull,up,down,0,-8.7364,0.6027,1w
2021-12-13,chop,neutral,down,0,-8.1318,0.456,1w
2021-12-22,chop,neutral,up,0,2.5502,0.5013,1w
2022-01-03,chop,down,up,0,8.8025,0.388,1w
2022-01-12,chop,neutral,up,0,4.5056,0.5147,1w
2022-01-24,chop,neutral,neutral,0,0.2057,0.536,1w
2022-02-02,chop,up,down,0,-1.1102,0.6107,1w
2022-02-11,chop,down,down,1,-0.634,0.3413,1w
2022-02-23,chop,down,up,0,6.3412,0.368,1w
2022-03-04,chop,neutral,up,0,3.6271,0.4773,1w
2022-03-15,chop,down,up,0,1.7977,0.4093,1w
2022-03-24,chop,up,up,1,0.7322,0.5733,1w
2022-04-04,chop,up,down,0,-0.7664,0.5907,1w
2022-04-13,chop,up,down,0,-1.3852,0.5907,1w
2022-04-25,chop,neutral,down,0,-8.1356,0.5453,1w
2022-05-04,chop,neutral,up,0,8.0123,0.4653,1w
2022-05-13,chop,neutral,up,0,15.9707,0.5053,1w
2022-05-24,chop,down,up,0,22.3935,0.428,1w
2022-06-03,trending_bull,up,neutral,0,-0.3164,0.58,1w
2022-06-14,trending_bull,up,up,1,2.7568,0.58,1w
2022-06-24,trending_bull,up,neutral,0,-0.352,0.588,1w
2022-07-06,chop,up,up,1,1.1818,0.5587,1w
2022-07-15,trending_bull,up,down,0,-8.6645,0.6173,1w
2022-07-26,chop,up,down,0,-6.1622,0.5987,1w
2022-08-04,chop,up,up,1,11.701,0.5747,1w
2022-08-15,chop,up,up,1,10.0021,0.608,1w
2022-08-24,chop,up,up,1,7.8359,0.6107,1w
2022-09-02,chop,up,down,0,-9.8845,0.64,1w
2022-09-14,trending_bull,neutral,up,0,3.397,0.544,1w
2022-09-23,chop,neutral,down,0,-1.1034,0.4827,1w
2022-10-04,chop,neutral,down,0,-5.7051,0.5107,1w
2022-10-13,chop,neutral,down,0,-21.5654,0.5147,1w
2022-10-24,chop,down,down,1,-9.7905,0.448,1w
2022-11-02,chop,down,down,1,-8.0066,0.404,1w
2022-11-11,trending_bear,down,up,0,2.26,0.3147,1w
2022-11-22,trending_bear,down,up,0,8.0874,0.3893,1w
2022-12-02,chop,down,up,0,4.5797,0.2293,1w
2022-12-13,chop,down,up,0,13.3341,0.28,1w
2022-12-22,chop,down,up,0,9.5444,0.412,1w
2023-01-04,chop,down,up,0,9.9898,0.376,1w
2023-01-13,chop,down,up,0,9.3021,0.4413,1w
2023-01-25,trending_bull,neutral,up,0,7.3157,0.5467,1w
2023-02-03,trending_bull,neutral,up,0,7.2756,0.5253,1w
2023-02-14,trending_bull,up,up,1,1.5298,0.836,1w
2023-02-24,trending_bull,up,up,1,4.3782,0.824,1w
2023-03-07,chop,up,down,0,-6.7081,0.8173,1w
2023-03-16,chop,up,down,0,-12.2838,0.7933,1w
2023-03-27,chop,up,down,0,-14.6964,0.7827,1w
2023-04-05,chop,up,down,0,-5.5031,0.6973,1w
2023-04-17,trending_bear,down,up,0,6.1145,0.4453,1w
2023-04-26,trending_bear,down,up,0,1.4832,0.3747,1w
2023-05-05,trending_bear,down,down,1,-11.5046,0.3973,1w
2023-05-16,trending_bear,down,down,1,-11.9008,0.3507,1w
2023-05-25,chop,down,down,1,-9.2668,0.28,1w
2023-06-06,trending_bear,down,down,1,-1.1459,0.1733,1w
2023-06-15,trending_bear,down,up,0,1.2128,0.1933,1w
2023-06-27,trending_bear,down,up,0,3.9319,0.1787,1w
2023-07-07,trending_bear,down,up,0,1.778,0.2347,1w
2023-07-18,chop,down,up,0,6.8891,0.332,1w
2023-07-27,chop,down,up,0,3.7356,0.4013,1w
2023-08-07,chop,down,up,0,18.1399,0.32,1w
2023-08-16,chop,down,up,0,12.7429,0.3507,1w
2023-08-25,chop,down,up,0,2.437,0.428,1w
2023-09-06,trending_bull,up,down,0,-5.1971,0.7013,1w
2023-09-15,trending_bull,up,down,0,-2.2346,0.752,1w
2023-09-26,trending_bull,up,up,1,1.5184,0.624,1w
2023-10-05,chop,up,up,1,5.3119,0.6533,1w
2023-10-16,chop,up,up,1,7.2977,0.7067,1w
2023-10-25,chop,up,up,1,2.0497,0.6267,1w
2023-11-03,chop,up,up,1,11.7987,0.708,1w
2023-11-14,trending_bull,up,neutral,0,-0.4049,0.7427,1w
2023-11-24,high_volatility,up,down,0,-4.1948,0.58,1w
2023-12-05,high_volatility,up,down,0,-8.111,0.6053,1w
2023-12-14,crisis,neutral,down,0,-4.4239,0.5493,1w
2023-12-26,high_volatility,neutral,up,0,8.089,0.516,1w
2024-01-05,chop,neutral,up,0,13.0827,0.5387,1w
2024-01-17,chop,down,up,0,7.498,0.4493,1w
2024-01-26,chop,up,down,0,-4.8687,0.5827,1w
2024-02-06,chop,up,up,1,1.0287,0.6107,1w
2024-02-15,chop,neutral,up,0,3.4818,0.488,1w
2024-02-27,chop,down,up,0,4.4927,0.4213,1w
2024-03-07,crisis,neutral,down,0,-9.621,0.5107,1w
2024-03-18,high_volatility,neutral,down,0,-8.4376,0.5467,1w
2024-03-27,chop,up,neutral,0,0.0043,0.5907,1w
2024-04-08,crisis,down,up,0,10.3621,0.4467,1w
2024-04-17,high_volatility,neutral,up,0,14.0708,0.4653,1w
2024-04-26,chop,neutral,up,0,19.4061,0.4653,1w
2024-05-07,chop,neutral,up,0,19.5233,0.48,1w
2024-05-16,chop,neutral,up,0,16.8826,0.528,1w
2024-05-28,crisis,up,up,1,2.9603,0.6747,1w
2024-06-06,high_volatility,up,down,0,-0.8764,0.6733,1w
2024-06-17,high_volatility,up,neutral,0,0.3285,0.656,1w
2024-06-27,trending_bull,up,up,1,1.4139,0.6933,1w
2024-07-09,chop,up,up,1,2.2618,0.7333,1w
2024-07-18,chop,up,neutral,0,-0.298,0.764,1w
2024-07-29,chop,up,down,0,-4.1766,0.6973,1w
2024-08-07,chop,up,up,1,2.0653,0.6667,1w
2024-08-16,chop,up,down,0,-1.7393,0.6573,1w
2024-08-27,chop,down,up,0,8.841,0.4093,1w
2024-09-06,chop,down,up,0,9.9053,0.448,1w
2024-09-17,chop,neutral,up,0,2.1383,0.456,1w
2024-09-26,chop,neutral,down,0,-2.202,0.52,1w
2024-10-07,chop,up,down,0,-2.4324,0.6053,1w
2024-10-16,high_volatility,neutral,down,0,-3.1129,0.456,1w
2024-10-25,chop,neutral,down,0,-16.0463,0.5013,1w
2024-11-05,chop,neutral,down,0,-18.9276,0.5453,1w
2024-11-14,chop,down,down,1,-21.2845,0.4213,1w
2024-11-25,high_volatility,down,down,1,-6.3548,0.3147,1w
