date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-0.614,0.004,1w
2021-01-13,chop,down,down,1,-1.2096,0.004,1w
2021-01-25,high_volatility,down,down,1,-0.8966,0.012,1w
2021-02-03,high_volatility,down,down,1,-0.5829,0.0027,1w
2021-02-12,crisis,down,down,1,-0.52,0.004,1w
2021-02-24,high_volatility,down,down,1,-0.8542,0.0267,1w
2021-03-05,crisis,down,down,1,-1.6238,0.044,1w
2021-03-16,high_volatility,down,down,1,-0.7806,0.0227,1w
2021-03-25,high_volatility,down,down,1,-0.7175,0.0107,1w
2021-04-06,high_volatility,down,neutral,0,-0.3907,0.0053,1w
2021-04-15,high_volatility,down,neutral,0,-0.1197,0.028,1w
2021-04-26,crisis,down,neutral,0,0.2527,0.0107,1w
2021-05-05,crisis,down,neutral,0,0.2711,0.0227,1w
2021-05-14,crisis,down,down,1,-1.1511,0.064,1w
2021-05-25,high_volatility,down,down,1,-0.7931,0.072,1w
2021-06-04,high_volatility,down,neutral,0,-0.1198,0.0507,1w
2021-06-15,crisis,down,up,0,0.7701,0.0453,1w
2021-06-24,crisis,down,neutral,0,0.2707,0.1507,1w
2021-07-06,crisis,down,neutral,0,0.0779,0.2347,1w
2021-07-15,crisis,down,neutral,0,0.0438,0.1613,1w
2021-07-26,high_volatility,down,neutral,0,-0.2112,0.2373,1w
2021-08-04,high_volatility,down,down,1,-0.6961,0.2387,1w
2021-08-13,high_volatility,down,down,1,-0.8175,0.2053,1w
2021-08-24,high_volatility,down,down,1,-1.1273,0.1573,1w
2021-09-02,chop,down,down,1,-1.142,0.1533,1w
2021-09-14,chop,down,down,1,-0.6001,0.2493,1w
2021-09-23,trending_bear,down,neutral,0,-0.2062,0.076,1w
2021-10-04,high_volatility,down,neutral,0,-0.4701,0.072,1w
2021-10-13,trending_bear,down,up,0,0.6575,0.072,1w
2021-10-22,high_volatility,down,neutral,0,0.3094,0.0507,1w
2021-11-02,trending_bear,down,up,0,1.0233,0.036,1w
2021-11-11,high_volatility,down,neutral,0,0.256,0.0987,1w
2021-11-22,chop,down,up,0,0.829,0.0907,1w
2021-12-02,chop,down,neutral,0,0.0083,0.1573,1w
2021-12-13,trending_bull,down,up,0,0.5436,0.224,1w
2021-12-22,trending_bull,down,neutral,0,0.4399,0.388,1w
2022-01-03,chop,down,up,0,0.7686,0.296,1w
2022-01-12,chop,neutral,neutral,0,-0.3362,0.5387,1w
2022-01-24,trending_bull,neutral,down,0,-0.6279,0.5147,1w
2022-02-02,trending_bull,up,down,0,-0.7564,0.58,1w
