date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,12.1986,0.4893,1w
2021-01-13,chop,up,up,1,7.7628,0.5827,1w
2021-01-25,trending_bull,neutral,up,0,10.476,0.456,1w
2021-02-03,high_volatility,up,down,0,-2.7941,0.656,1w
2021-02-12,trending_bull,up,down,0,-1.5761,0.692,1w
2021-02-24,trending_bull,up,up,1,10.6196,0.732,1w
2021-03-05,crisis,up,up,1,17.7832,0.7267,1w
2021-03-16,crisis,up,up,1,19.4053,0.8093,1w
2021-03-25,high_volatility,up,up,1,6.854,0.7853,1w
2021-04-06,high_volatility,up,up,1,20.5082,0.768,1w
2021-04-15,trending_bull,up,up,1,16.7918,0.6933,1w
2021-04-26,high_volatility,up,up,1,23.8822,0.7653,1w
2021-05-05,crisis,up,up,1,5.0544,0.784,1w
2021-05-14,crisis,up,up,1,5.5413,0.7253,1w
2021-05-25,crisis,up,down,0,-15.8441,0.78,1w
2021-06-04,crisis,up,down,0,-23.5047,0.848,1w
2021-06-15,crisis,up,down,0,-24.6505,0.868,1w
2021-06-24,crisis,up,up,1,5.1862,0.5573,1w
2021-07-06,crisis,neutral,up,0,6.9248,0.5013,1w
2021-07-15,high_volatility,neutral,up,0,11.0984,0.456,1w
2021-07-26,trending_bear,neutral,up,0,14.4461,0.5467,1w
2021-08-04,chop,down,up,0,6.0481,0.344,1w
2021-08-13,chop,down,down,1,-0.5538,0.4067,1w
2021-08-24,chop,neutral,down,0,-11.8981,0.4653,1w
2021-09-02,chop,down,down,1,-1.3267,0.3027,1w
2021-09-14,chop,down,up,0,5.1191,0.312,1w
2021-09-23,chop,neutral,up,0,27.016,0.5173,1w
2021-10-04,chop,up,up,1,10.563,0.5853,1w
2021-10-13,chop,up,up,1,9.5896,0.5827,1w
2021-10-22,chop,up,up,1,5.9539,0.648,1w
2021-11-02,trending_bull,up,up,1,5.6632,0.692,1w
2021-11-11,trending_bull,up,down,0,-9.2966,0.6333,1w
2021-11-22,trending_bull,up,down,0,-13.5935,0.5853,1w
2021-12-02,trending_bull,up,down,0,-5.5324,0.624,1w
2021-12-13,trending_bear,up,up,1,12.2708,0.5787,1w
2021-12-22,trending_bear,up,up,1,21.2422,0.676,1w
2022-01-03,chop,neutral,up,0,11.2272,0.5013,1w
2022-01-12,chop,up,up,1,3.4457,0.6053,1w
2022-01-24,chop,up,down,0,-6.9433,0.6173,1w
2022-02-02,trending_bull,neutral,up,0,6.8169,0.5467,1w
2022-02-11,chop,neutral,down,0,-10.9958,0.5387,1w
2022-02-23,chop,down,down,1,-2.629,0.3893,1w
2022-03-04,chop,up,down,0,-6.9582,0.5867,1w
2022-03-15,chop,neutral,up,0,3.688,0.5147,1w
2022-03-24,chop,up,down,0,-10.6385,0.5733,1w
2022-04-04,chop,neutral,down,0,-22.7848,0.548,1w
2022-04-13,chop,down,down,1,-11.9953,0.44,1w
2022-04-25,chop,down,down,1,-0.6756,0.2747,1w
2022-05-04,trending_bear,down,up,0,1.2552,0.2307,1w
2022-05-13,trending_bear,down,up,0,2.9411,0.2267,1w
2022-05-24,trending_bear,down,neutral,0,-0.1679,0.304,1w
2022-06-03,trending_bear,down,up,0,3.8345,0.216,1w
2022-06-14,chop,down,neutral,0,-0.2806,0.3147,1w
2022-06-24,chop,down,up,0,9.3888,0.2853,1w
2022-07-06,chop,down,up,0,11.3363,0.224,1w
2022-07-15,chop,down,up,0,14.527,0.2933,1w
2022-07-26,chop,up,up,1,4.0039,0.596,1w
2022-08-04,trending_bull,up,up,1,2.9623,0.7547,1w
2022-08-15,trending_bull,up,up,1,11.4633,0.7547,1w
2022-08-24,trending_bull,up,up,1,10.0811,0.6947,1w
2022-09-02,chop,up,down,0,-3.9991,0.7827,1w
2022-09-14,trending_bull,up,down,0,-12.2703,0.848,1w
2022-09-23,trending_bull,up,down,0,-9.0267,0.836,1w
2022-10-04,trending_bear,up,up,1,1.161,0.644,1w
2022-10-13,trending_bear,up,down,0,-3.8158,0.6067,1w
2022-10-24,chop,neutral,neutral,0,-0.3804,0.5173,1w
2022-11-02,chop,neutral,up,0,0.8355,0.4587,1w
2022-11-11,chop,down,neutral,0,-0.2119,0.376,1w
2022-11-22,chop,down,up,0,5.7939,0.3787,1w
2022-12-02,chop,down,up,0,3.7087,0.3787,1w
2022-12-13,chop,down,neutral,0,0.0929,0.256,1w
2022-12-22,chop,down,up,0,0.9535,0.3653,1w
2023-01-04,chop,neutral,up,0,9.672,0.516,1w
2023-01-13,chop,neutral,up,0,12.5102,0.4707,1w
2023-01-25,chop,up,up,1,6.0057,0.5827,1w
2023-02-03,chop,up,up,1,4.7958,0.6693,1w
2023-02-14,trending_bull,up,up,1,15.2898,0.692,1w
2023-02-24,chop,up,up,1,16.9744,0.7267,1w
2023-03-07,chop,up,up,1,23.0558,0.7053,1w
2023-03-16,trending_bull,up,up,1,1.6237,0.82,1w
2023-03-27,trending_bull,up,neutral,0,-0.4053,0.8053,1w
2023-04-05,trending_bull,up,down,0,-12.5435,0.9387,1w
2023-04-17,high_volatility,up,down,0,-5.7209,0.904,1w
2023-04-26,high_volatility,up,down,0,-2.0386,0.7747,1w
2023-05-05,high_volatility,up,down,0,-0.9983,0.692,1w
2023-05-16,trending_bear,up,down,0,-4.6634,0.6333,1w
2023-05-25,chop,up,down,0,-5.4577,0.6747,1w
2023-06-06,high_volatility,neutral,down,0,-5.0138,0.528,1w
2023-06-15,high_volatility,down,down,1,-0.7015,0.2973,1w
2023-06-27,trending_bear,down,up,0,3.2978,0.3293,1w
2023-07-07,chop,down,up,0,2.4206,0.1827,1w
2023-07-18,chop,down,up,0,1.7015,0.296,1w
2023-07-27,crisis,down,down,1,-8.5151,0.408,1w
