date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-5.2043,0.764,1w
2021-01-13,high_volatility,up,down,0,-4.5928,0.6947,1w
2021-01-25,crisis,down,down,1,-2.337,0.3507,1w
2021-02-03,crisis,down,down,1,-4.7055,0.396,1w
2021-02-12,high_volatility,down,down,1,-5.3341,0.376,1w
2021-02-24,high_volatility,down,up,0,5.5491,0.2627,1w
2021-03-05,crisis,down,up,0,5.1297,0.3467,1w
2021-03-16,crisis,down,up,0,3.1977,0.2253,1w
2021-03-25,high_volatility,down,down,1,-5.4007,0.3467,1w
2021-04-06,chop,down,down,1,-8.8413,0.3493,1w
2021-04-15,chop,down,down,1,-11.4904,0.304,1w
2021-04-26,chop,down,down,1,-7.3616,0.3893,1w
2021-05-05,high_volatility,down,down,1,-2.7109,0.2853,1w
2021-05-14,crisis,down,down,1,-6.6909,0.2613,1w
2021-05-25,crisis,down,down,1,-3.6032,0.3653,1w
2021-06-04,high_volatility,down,down,1,-6.6081,0.404,1w
2021-06-15,crisis,down,up,0,1.5319,0.26,1w
2021-06-24,high_volatility,down,up,0,1.4166,0.212,1w
2021-07-06,high_volatility,down,up,0,8.1571,0.2133,1w
2021-07-15,chop,down,up,0,10.9206,0.2253,1w
2021-07-26,chop,down,up,0,5.5087,0.3467,1w
2021-08-04,chop,down,down,1,-4.3333,0.4067,1w
2021-08-13,trending_bull,up,down,0,-8.3606,0.5827,1w
2021-08-24,trending_bull,up,down,0,-9.1586,0.5573,1w
2021-09-02,chop,down,down,1,-6.1,0.3893,1w
2021-09-14,chop,up,down,0,-9.2765,0.5733,1w
2021-09-23,chop,down,up,0,1.7027,0.3733,1w
2021-10-04,trending_bear,down,up,0,1.8174,0.3747,1w
2021-10-13,trending_bear,down,up,0,7.8728,0.312,1w
2021-10-22,high_volatility,down,up,0,4.2001,0.3813,1w
2021-11-02,chop,down,up,0,8.7199,0.3293,1w
2021-11-11,high_volatility,down,neutral,0,0.142,0.3307,1w
2021-11-22,chop,down,down,1,-2.9767,0.3867,1w
2021-12-02,chop,neutral,down,0,-5.9716,0.5387,1w
2021-12-13,chop,neutral,down,0,-0.7669,0.4907,1w
2021-12-22,chop,up,up,1,5.0985,0.5587,1w
2022-01-03,chop,neutral,up,0,8.6324,0.4853,1w
2022-01-12,chop,up,up,1,3.5825,0.6227,1w
2022-01-24,chop,up,neutral,0,0.0789,0.584,1w
2022-02-02,chop,up,down,0,-1.8794,0.6933,1w
2022-02-11,chop,up,down,0,-5.6618,0.5573,1w
2022-02-23,chop,neutral,neutral,0,0.227,0.4653,1w
2022-03-04,chop,down,up,0,3.0045,0.4387,1w
2022-03-15,chop,down,up,0,4.5871,0.376,1w
2022-03-24,chop,up,up,1,2.4549,0.568,1w
2022-04-04,chop,up,down,0,-0.6355,0.624,1w
2022-04-13,chop,up,neutral,0,-0.2156,0.5573,1w
2022-04-25,chop,neutral,up,0,1.6665,0.4987,1w
2022-05-04,chop,down,up,0,3.5702,0.3947,1w
2022-05-13,chop,neutral,up,0,6.5393,0.456,1w
2022-05-24,chop,up,up,1,4.4734,0.5747,1w
2022-06-03,chop,up,up,1,3.0783,0.672,1w
2022-06-14,trending_bull,up,up,1,2.2343,0.768,1w
2022-06-24,trending_bull,up,up,1,4.4575,0.744,1w
2022-07-06,trending_bull,up,up,1,1.8591,0.7253,1w
2022-07-15,trending_bull,up,down,0,-2.4799,0.752,1w
2022-07-26,trending_bull,up,down,0,-3.4342,0.8587,1w
2022-08-04,trending_bull,up,neutral,0,-0.285,0.764,1w
2022-08-15,chop,up,up,1,2.453,0.7453,1w
2022-08-24,chop,up,down,0,-1.383,0.6627,1w
2022-09-02,chop,up,down,0,-4.468,0.656,1w
