date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-4.4961,0.2747,1w
2021-01-13,chop,down,down,1,-8.5993,0.3187,1w
2021-01-25,chop,down,down,1,-6.1562,0.3067,1w
2021-02-03,chop,down,up,0,11.5643,0.208,1w
2021-02-12,chop,down,up,0,12.2405,0.22,1w
2021-02-24,chop,down,up,0,16.2339,0.324,1w
2021-03-05,chop,neutral,up,0,8.4831,0.5373,1w
2021-03-16,chop,neutral,down,0,-6.0128,0.5133,1w
2021-03-25,chop,neutral,down,0,-13.4307,0.5173,1w
2021-04-06,chop,neutral,down,0,-20.4513,0.5467,1w
2021-04-15,chop,down,down,1,-21.0721,0.4227,1w
2021-04-26,chop,down,up,0,2.8219,0.388,1w
2021-05-05,trending_bear,down,down,1,-3.3744,0.4173,1w
2021-05-14,trending_bear,down,down,1,-14.1953,0.34,1w
2021-05-25,chop,neutral,down,0,-23.4444,0.4653,1w
2021-06-04,chop,down,down,1,-28.7879,0.368,1w
2021-06-15,chop,down,down,1,-16.5925,0.22,1w
2021-06-24,trending_bear,down,down,1,-11.5142,0.1867,1w
2021-07-06,trending_bear,down,up,0,24.5794,0.144,1w
2021-07-15,trending_bear,down,up,0,48.5502,0.1453,1w
2021-07-26,trending_bear,down,up,0,26.7434,0.2333,1w
2021-08-04,trending_bull,down,up,0,9.1635,0.3507,1w
2021-08-13,trending_bull,neutral,down,0,-6.799,0.5147,1w
2021-08-24,trending_bull,down,down,1,-17.3407,0.3893,1w
2021-09-02,trending_bull,down,up,0,9.4097,0.4093,1w
2021-09-14,chop,up,down,0,-6.8814,0.6227,1w
2021-09-23,chop,neutral,up,0,28.8227,0.4653,1w
2021-10-04,high_volatility,up,up,1,3.5473,0.6853,1w
2021-10-13,trending_bear,up,down,0,-11.6254,0.6627,1w
2021-10-22,chop,up,down,0,-10.3647,0.656,1w
2021-11-02,chop,up,down,0,-14.2146,0.6027,1w
2021-11-11,chop,down,down,1,-11.1601,0.3733,1w
2021-11-22,chop,down,down,1,-5.4685,0.4173,1w
2021-12-02,chop,neutral,down,0,-8.8908,0.4693,1w
2021-12-13,chop,down,up,0,21.3072,0.3507,1w
2021-12-22,chop,neutral,up,0,16.6612,0.52,1w
2022-01-03,chop,down,up,0,9.3516,0.3387,1w
2022-01-12,chop,neutral,down,0,-14.2623,0.4733,1w
2022-01-24,chop,down,down,1,-11.8844,0.4253,1w
2022-02-02,chop,down,down,1,-2.3136,0.4093,1w
2022-02-11,chop,down,up,0,3.3824,0.4093,1w
2022-02-23,chop,neutral,down,0,-2.1954,0.456,1w
2022-03-04,chop,neutral,down,0,-2.5487,0.488,1w
2022-03-15,chop,up,down,0,-4.5126,0.5827,1w
2022-03-24,chop,neutral,up,0,4.8819,0.4987,1w
2022-04-04,chop,neutral,up,0,7.5942,0.4907,1w
2022-04-13,chop,down,up,0,10.165,0.392,1w
2022-04-25,chop,down,up,0,33.7224,0.388,1w
2022-05-04,chop,neutral,up,0,18.6065,0.4653,1w
2022-05-13,chop,up,up,1,12.5068,0.5627,1w
2022-05-24,chop,up,down,0,-11.0936,0.7213,1w
2022-06-03,trending_bull,up,down,0,-9.7776,0.676,1w
2022-06-14,trending_bull,up,down,0,-26.7256,0.6227,1w
2022-06-24,chop,up,down,0,-25.851,0.668,1w
2022-07-06,chop,up,down,0,-32.1157,0.656,1w
2022-07-15,high_volatility,down,up,0,3.5477,0.4067,1w
2022-07-26,trending_bear,down,down,1,-8.6336,0.4253,1w
2022-08-04,trending_bear,down,down,1,-10.4131,0.332,1w
2022-08-15,trending_bear,down,down,1,-18.6258,0.3853,1w
2022-08-24,trending_bear,down,down,1,-26.0767,0.216,1w
2022-09-02,trending_bear,down,down,1,-34.1016,0.2013,1w
2022-09-14,trending_bear,down,down,1,-23.2441,0.216,1w
2022-09-23,trending_bear,down,up,0,10.161,0.144,1w
2022-10-04,trending_bear,down,up,0,22.2868,0.0987,1w
2022-10-13,trending_bear,down,down,1,-7.0594,0.164,1w
2022-10-24,trending_bear,down,up,0,6.7517,0.2213,1w
2022-11-02,trending_bear,down,up,0,19.9495,0.2107,1w
2022-11-11,chop,down,up,0,18.7652,0.1867,1w
2022-11-22,chop,down,up,0,30.7768,0.3267,1w
2022-12-02,chop,down,up,0,20.5608,0.424,1w
2022-12-13,trending_bull,neutral,down,0,-9.1563,0.492,1w
2022-12-22,trending_bull,up,down,0,-16.4488,0.7253,1w
2023-01-04,trending_bull,up,down,0,-15.331,0.812,1w
2023-01-13,trending_bull,up,down,0,-17.8876,0.6173,1w
2023-01-25,chop,up,down,0,-19.302,0.6267,1w
2023-02-03,chop,up,down,0,-18.5689,0.5587,1w
2023-02-14,chop,down,down,1,-10.3537,0.424,1w
2023-02-24,chop,down,down,1,-11.9243,0.4147,1w
2023-03-07,chop,down,down,1,-13.1429,0.3467,1w
2023-03-16,chop,down,down,1,-8.3035,0.22,1w
2023-03-27,chop,down,down,1,-15.257,0.1947,1w
2023-04-05,chop,down,neutral,0,-0.2827,0.22,1w
2023-04-17,chop,down,up,0,15.6812,0.2253,1w
2023-04-26,chop,down,neutral,0,0.1874,0.2307,1w
2023-05-05,chop,down,down,1,-9.1477,0.32,1w
2023-05-16,chop,down,down,1,-27.3958,0.4093,1w
2023-05-25,chop,down,down,1,-19.5666,0.348,1w
2023-06-06,chop,down,down,1,-4.3533,0.352,1w
2023-06-15,chop,down,up,0,14.0513,0.3267,1w
2023-06-27,trending_bear,down,up,0,57.6297,0.2413,1w
2023-07-07,trending_bear,down,up,0,18.8347,0.376,1w
2023-07-18,chop,neutral,up,0,8.8015,0.4947,1w
2023-07-27,trending_bull,up,down,0,-12.852,0.6173,1w
2023-08-07,trending_bull,neutral,down,0,-2.4761,0.472,1w
2023-08-16,high_volatility,neutral,down,0,-22.7661,0.4573,1w
2023-08-25,chop,neutral,down,0,-26.9115,0.516,1w
2023-09-06,chop,neutral,down,0,-33.2553,0.5173,1w
2023-09-15,chop,neutral,down,0,-17.4847,0.4667,1w
