date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-5.939,0.7213,1w
2021-01-13,high_volatility,up,down,0,-4.6431,0.616,1w
2021-01-25,crisis,down,down,1,-2.4648,0.2907,1w
2021-02-03,crisis,down,down,1,-4.2991,0.3467,1w
2021-02-12,high_volatility,down,down,1,-5.8491,0.3267,1w
2021-02-24,high_volatility,down,up,0,5.5287,0.2347,1w
2021-03-05,crisis,down,up,0,5.1995,0.3253,1w
2021-03-16,crisis,down,up,0,3.2237,0.2213,1w
2021-03-25,high_volatility,down,down,1,-5.6798,0.336,1w
2021-04-06,chop,down,down,1,-9.1489,0.344,1w
2021-04-15,chop,down,down,1,-12.4133,0.3013,1w
2021-04-26,chop,down,down,1,-7.7673,0.3867,1w
2021-05-05,high_volatility,down,down,1,-2.9643,0.2933,1w
2021-05-14,crisis,down,down,1,-6.6949,0.2427,1w
2021-05-25,crisis,down,down,1,-3.475,0.3507,1w
2021-06-04,high_volatility,down,down,1,-6.6971,0.3947,1w
2021-06-15,high_volatility,down,up,0,1.431,0.26,1w
2021-06-24,high_volatility,down,up,0,1.5267,0.2093,1w
2021-07-06,high_volatility,down,up,0,8.4938,0.2107,1w
2021-07-15,chop,down,up,0,11.6513,0.2253,1w
2021-07-26,chop,down,up,0,5.6969,0.3453,1w
2021-08-04,chop,down,down,1,-4.3658,0.4067,1w
2021-08-13,trending_bull,up,down,0,-8.3465,0.5867,1w
2021-08-24,trending_bull,up,down,0,-9.3627,0.5667,1w
2021-09-02,chop,down,down,1,-6.0488,0.392,1w
2021-09-14,chop,up,down,0,-9.3073,0.58,1w
2021-09-23,chop,down,up,0,1.753,0.376,1w
2021-10-04,trending_bear,down,up,0,1.8374,0.3787,1w
2021-10-13,trending_bear,down,up,0,7.8313,0.3307,1w
2021-10-22,high_volatility,down,up,0,4.2584,0.3853,1w
2021-11-02,chop,down,up,0,8.4103,0.336,1w
2021-11-11,high_volatility,down,neutral,0,-0.3147,0.328,1w
2021-11-22,chop,down,down,1,-3.0624,0.38,1w
2021-12-02,chop,neutral,down,0,-6.2072,0.536,1w
2021-12-13,chop,neutral,neutral,0,-0.4326,0.476,1w
2021-12-22,chop,up,up,1,5.5576,0.5573,1w
2022-01-03,chop,neutral,up,0,9.3233,0.4707,1w
2022-01-12,chop,up,up,1,3.7043,0.6173,1w
2022-01-24,chop,up,neutral,0,0.3382,0.5867,1w
2022-02-02,chop,up,down,0,-2.1844,0.6933,1w
2022-02-11,chop,up,down,0,-6.3364,0.5573,1w
2022-02-23,chop,neutral,down,0,-0.8811,0.4827,1w
2022-03-04,chop,down,up,0,1.9064,0.448,1w
2022-03-15,chop,down,up,0,4.1292,0.376,1w
2022-03-24,chop,neutral,up,0,2.1425,0.548,1w
2022-04-04,chop,up,down,0,-0.7653,0.6053,1w
2022-04-13,chop,neutral,neutral,0,-0.3934,0.5267,1w
2022-04-25,chop,neutral,up,0,1.7484,0.4653,1w
2022-05-04,chop,down,up,0,3.6445,0.356,1w
2022-05-13,chop,down,up,0,6.8501,0.412,1w
2022-05-24,chop,neutral,up,0,4.5501,0.528,1w
2022-06-03,chop,up,up,1,2.8261,0.6227,1w
2022-06-14,chop,up,up,1,2.5298,0.7533,1w
2022-06-24,chop,up,up,1,4.7325,0.7307,1w
2022-07-06,chop,up,up,1,2.229,0.724,1w
2022-07-15,trending_bull,up,down,0,-2.745,0.752,1w
2022-07-26,trending_bull,up,down,0,-3.6394,0.8627,1w
2022-08-04,trending_bull,up,down,0,-0.5654,0.768,1w
2022-08-15,chop,up,up,1,2.3381,0.752,1w
2022-08-24,chop,up,down,0,-1.5114,0.6653,1w
2022-09-02,chop,up,down,0,-4.7798,0.6347,1w
2022-09-14,chop,neutral,down,0,-3.0391,0.5067,1w
2022-09-23,chop,down,down,1,-0.9176,0.3893,1w
2022-10-04,trending_bear,down,up,0,1.2165,0.2973,1w
2022-10-13,chop,down,up,0,0.6111,0.224,1w
2022-10-24,chop,down,up,0,9.1006,0.2013,1w
2022-11-02,trending_bear,down,up,0,5.5429,0.2747,1w
2022-11-11,chop,down,up,0,5.4423,0.424,1w
2022-11-22,trending_bull,neutral,up,0,5.4421,0.548,1w
2022-12-02,trending_bull,neutral,up,0,3.0227,0.536,1w
2022-12-13,trending_bull,up,up,1,0.5911,0.6413,1w
2022-12-22,trending_bull,up,up,1,1.9008,0.7947,1w
2023-01-04,trending_bull,up,up,1,4.6757,0.7693,1w
2023-01-13,trending_bull,up,up,1,5.6567,0.7507,1w
2023-01-25,trending_bull,up,up,1,3.7667,0.9413,1w
2023-02-03,trending_bull,up,up,1,3.5083,0.872,1w
2023-02-14,trending_bull,up,up,1,1.5774,0.848,1w
2023-02-24,trending_bull,up,up,1,2.5501,0.8213,1w
2023-03-07,trending_bull,up,up,1,0.8494,0.8213,1w
2023-03-16,trending_bull,up,down,0,-1.9547,0.7253,1w
2023-03-27,trending_bull,up,down,0,-3.9541,0.7427,1w
2023-04-05,chop,up,neutral,0,-0.4777,0.7853,1w
2023-04-17,crisis,up,up,1,6.0401,0.668,1w
2023-04-26,crisis,up,up,1,4.0075,0.5587,1w
2023-05-05,crisis,up,up,1,2.8072,0.6093,1w
