date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-11.2099,0.5907,1w
2021-01-13,high_volatility,neutral,down,0,-4.4151,0.4707,1w
2021-01-25,high_volatility,down,down,1,-2.6016,0.2253,1w
2021-02-03,crisis,down,down,1,-2.629,0.32,1w
2021-02-12,high_volatility,down,down,1,-3.3471,0.3467,1w
2021-02-24,chop,down,up,0,5.6502,0.2773,1w
2021-03-05,chop,down,down,1,-4.4674,0.3867,1w
2021-03-16,high_volatility,down,down,1,-7.3769,0.2933,1w
2021-03-25,high_volatility,down,down,1,-8.8185,0.2947,1w
2021-04-06,chop,down,up,0,5.3559,0.224,1w
2021-04-15,chop,down,up,0,5.1442,0.236,1w
2021-04-26,chop,down,up,0,8.4267,0.3467,1w
2021-05-05,crisis,neutral,down,0,-2.7564,0.456,1w
2021-05-14,crisis,down,neutral,0,0.0094,0.4293,1w
2021-05-25,crisis,neutral,up,0,1.2569,0.524,1w
2021-06-04,crisis,neutral,neutral,0,0.1917,0.5027,1w
2021-06-15,high_volatility,neutral,up,0,2.196,0.4827,1w
2021-06-24,chop,neutral,up,0,4.979,0.456,1w
2021-07-06,chop,up,down,0,-0.9904,0.58,1w
2021-07-15,chop,up,neutral,0,0.3653,0.5853,1w
2021-07-26,chop,up,down,0,-9.827,0.6533,1w
2021-08-04,chop,neutral,down,0,-10.2254,0.452,1w
2021-08-13,chop,neutral,down,0,-9.5943,0.528,1w
2021-08-24,chop,neutral,down,0,-13.1785,0.456,1w
2021-09-02,chop,down,down,1,-7.0294,0.296,1w
2021-09-14,chop,down,down,1,-9.1666,0.3733,1w
2021-09-23,trending_bear,down,up,0,2.4029,0.2347,1w
2021-10-04,trending_bear,down,up,0,6.6759,0.216,1w
2021-10-13,trending_bear,down,up,0,19.8923,0.22,1w
2021-10-22,trending_bear,down,up,0,12.3447,0.2107,1w
2021-11-02,chop,down,up,0,17.3091,0.3467,1w
2021-11-11,chop,neutral,up,0,2.7151,0.4667,1w
2021-11-22,trending_bull,neutral,up,0,2.9112,0.4933,1w
2021-12-02,trending_bull,up,down,0,-0.5124,0.6587,1w
2021-12-13,trending_bull,up,down,0,-2.5884,0.6413,1w
2021-12-22,trending_bull,up,down,0,-2.9829,0.7627,1w
2022-01-03,chop,up,down,0,-1.581,0.724,1w
2022-01-12,chop,up,neutral,0,-0.0088,0.712,1w
2022-01-24,chop,up,down,0,-3.3796,0.6627,1w
2022-02-02,chop,up,down,0,-5.7998,0.668,1w
2022-02-11,chop,neutral,down,0,-11.0427,0.4987,1w
2022-02-23,chop,down,down,1,-4.4865,0.3933,1w
2022-03-04,chop,down,down,1,-2.0703,0.3467,1w
2022-03-15,chop,down,neutral,0,-0.0358,0.2747,1w
2022-03-24,chop,down,down,1,-3.3131,0.2747,1w
2022-04-04,chop,down,down,1,-2.2005,0.268,1w
2022-04-13,chop,down,down,1,-11.7248,0.296,1w
2022-04-25,chop,down,down,1,-13.3897,0.26,1w
2022-05-04,chop,down,down,1,-12.551,0.2347,1w
2022-05-13,trending_bear,down,down,1,-1.5477,0.1787,1w
2022-05-24,trending_bear,down,neutral,0,0.0693,0.1907,1w
2022-06-03,trending_bear,down,up,0,3.2576,0.2133,1w
2022-06-14,trending_bear,down,up,0,0.649,0.2253,1w
2022-06-24,trending_bear,down,up,0,12.4855,0.2267,1w
2022-07-06,chop,down,up,0,9.7445,0.2573,1w
2022-07-15,chop,down,up,0,4.9985,0.2413,1w
2022-07-26,chop,down,down,1,-4.926,0.412,1w
2022-08-04,chop,down,down,1,-4.6148,0.4213,1w
2022-08-15,chop,up,down,0,-1.0369,0.5853,1w
2022-08-24,chop,neutral,down,0,-0.8816,0.5427,1w
2022-09-02,chop,up,down,0,-1.8691,0.5867,1w
2022-09-14,chop,neutral,down,0,-8.4083,0.4907,1w
2022-09-23,chop,neutral,down,0,-7.0363,0.548,1w
2022-10-04,chop,neutral,down,0,-7.7371,0.488,1w
2022-10-13,chop,down,down,1,-1.642,0.3467,1w
2022-10-24,chop,down,up,0,14.0446,0.256,1w
2022-11-02,trending_bear,down,up,0,10.8641,0.208,1w
2022-11-11,chop,down,up,0,20.6673,0.3227,1w
