date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,7.2641,0.3733,1w
2021-01-13,trending_bull,up,up,1,4.5155,0.58,1w
2021-01-25,trending_bull,neutral,up,0,5.2083,0.5053,1w
2021-02-03,chop,up,up,1,3.5753,0.556,1w
2021-02-12,trending_bull,neutral,down,0,-19.2425,0.524,1w
2021-02-24,trending_bull,neutral,down,0,-5.6363,0.5467,1w
2021-03-05,chop,up,down,0,-6.9543,0.628,1w
2021-03-16,chop,neutral,down,0,-1.3589,0.5107,1w
2021-03-25,chop,up,down,0,-24.1519,0.568,1w
2021-04-06,chop,neutral,down,0,-25.3101,0.4653,1w
2021-04-15,chop,down,down,1,-34.1923,0.3467,1w
2021-04-26,chop,down,down,1,-14.9302,0.2667,1w
2021-05-05,chop,down,down,1,-8.4435,0.2013,1w
2021-05-14,trending_bear,down,down,1,-22.4862,0.124,1w
2021-05-25,trending_bear,down,down,1,-16.2515,0.1787,1w
2021-06-04,trending_bear,down,down,1,-17.4857,0.208,1w
2021-06-15,trending_bear,down,down,1,-2.5036,0.1387,1w
2021-06-24,trending_bear,down,up,0,2.6611,0.1227,1w
2021-07-06,trending_bear,down,up,0,17.0988,0.1453,1w
2021-07-15,trending_bear,down,down,1,-2.0057,0.116,1w
2021-07-26,chop,down,down,1,-11.3652,0.2133,1w
2021-08-04,trending_bull,down,down,1,-24.5423,0.3507,1w
2021-08-13,chop,down,down,1,-1.2957,0.2933,1w
2021-08-24,chop,down,down,1,-11.1686,0.2933,1w
2021-09-02,chop,down,down,1,-8.4992,0.2827,1w
2021-09-14,chop,down,down,1,-8.2612,0.412,1w
2021-09-23,chop,down,up,0,14.419,0.3507,1w
2021-10-04,chop,down,up,0,8.0097,0.3467,1w
2021-10-13,chop,down,down,1,-13.6,0.3467,1w
2021-10-22,chop,down,down,1,-19.8786,0.4213,1w
2021-11-02,chop,down,down,1,-8.2808,0.2827,1w
2021-11-11,chop,down,down,1,-4.8142,0.3307,1w
2021-11-22,chop,down,down,1,-16.2963,0.292,1w
2021-12-02,chop,down,down,1,-17.4026,0.3867,1w
2021-12-13,chop,down,up,0,20.753,0.384,1w
2021-12-22,chop,down,up,0,44.9621,0.2907,1w
2022-01-03,chop,down,up,0,53.3719,0.2947,1w
2022-01-12,trending_bull,neutral,up,0,13.5464,0.5107,1w
2022-01-24,trending_bull,neutral,up,0,8.2588,0.4907,1w
2022-02-02,trending_bull,up,down,0,-1.8807,0.62,1w
2022-02-11,trending_bull,up,down,0,-7.8751,0.6573,1w
2022-02-23,trending_bull,up,down,0,-9.9678,0.7507,1w
2022-03-04,trending_bull,up,up,1,2.2267,0.684,1w
2022-03-15,trending_bear,up,down,0,-2.6836,0.6507,1w
2022-03-24,chop,up,down,0,-10.6695,0.78,1w
2022-04-04,chop,up,down,0,-16.6329,0.7733,1w
2022-04-13,chop,neutral,down,0,-11.8376,0.5173,1w
2022-04-25,chop,down,down,1,-7.3132,0.3467,1w
2022-05-04,trending_bear,down,down,1,-9.775,0.2573,1w
2022-05-13,chop,down,up,0,12.5103,0.3387,1w
2022-05-24,trending_bear,down,up,0,6.2218,0.216,1w
2022-06-03,trending_bear,down,up,0,4.7107,0.2427,1w
2022-06-14,trending_bull,down,down,1,-6.2452,0.4333,1w
2022-06-24,chop,down,up,0,3.9935,0.2947,1w
2022-07-06,chop,down,up,0,11.4035,0.3347,1w
2022-07-15,chop,down,up,0,5.0901,0.3147,1w
2022-07-26,chop,neutral,up,0,3.336,0.4907,1w
2022-08-04,chop,neutral,down,0,-19.5577,0.548,1w
2022-08-15,chop,up,down,0,-11.069,0.5747,1w
2022-08-24,chop,up,down,0,-13.1214,0.6053,1w
2022-09-02,chop,down,down,1,-10.4439,0.4293,1w
2022-09-14,trending_bear,down,down,1,-12.4155,0.3693,1w
2022-09-23,chop,down,down,1,-5.7063,0.3387,1w
2022-10-04,chop,down,up,0,9.8117,0.2867,1w
2022-10-13,trending_bear,down,down,1,-9.266,0.2747,1w
2022-10-24,chop,down,up,0,9.5581,0.2853,1w
2022-11-02,chop,down,down,1,-3.2285,0.2267,1w
2022-11-11,chop,down,up,0,13.7931,0.2813,1w
2022-11-22,chop,down,up,0,3.871,0.3787,1w
2022-12-02,chop,neutral,up,0,4.4158,0.4693,1w
2022-12-13,chop,neutral,down,0,-17.1337,0.4787,1w
2022-12-22,chop,neutral,down,0,-8.0,0.5133,1w
2023-01-04,chop,up,down,0,-10.0893,0.5587,1w
2023-01-13,chop,down,down,1,-4.2323,0.4307,1w
2023-01-25,chop,neutral,down,0,-19.4915,0.5387,1w
2023-02-03,chop,down,down,1,-16.4846,0.3653,1w
2023-02-14,chop,down,down,1,-15.7791,0.3893,1w
2023-02-24,trending_bear,down,down,1,-3.6782,0.256,1w
2023-03-07,trending_bear,down,down,1,-4.8055,0.2307,1w
2023-03-16,chop,down,down,1,-4.0094,0.1467,1w
2023-03-27,chop,down,down,1,-4.0509,0.1707,1w
2023-04-05,chop,down,down,1,-6.5728,0.1867,1w
2023-04-17,chop,down,neutral,0,-0.3645,0.248,1w
2023-04-26,chop,down,down,1,-4.6856,0.2253,1w
2023-05-05,chop,down,up,0,6.8211,0.256,1w
2023-05-16,chop,down,down,1,-12.0292,0.2747,1w
2023-05-25,chop,down,down,1,-7.878,0.3467,1w
2023-06-06,chop,down,down,1,-14.7482,0.4093,1w
2023-06-15,chop,down,up,0,16.2011,0.2973,1w
2023-06-27,chop,down,up,0,13.0612,0.2827,1w
2023-07-07,chop,down,up,0,3.1335,0.2747,1w
2023-07-18,chop,neutral,down,0,-15.0235,0.4853,1w
2023-07-27,chop,neutral,down,0,-2.2565,0.4973,1w
2023-08-07,chop,down,down,1,-3.7613,0.4373,1w
2023-08-16,chop,down,up,0,15.5196,0.3507,1w
2023-08-25,chop,neutral,up,0,0.9864,0.5147,1w
2023-09-06,chop,down,up,0,7.7562,0.3707,1w
2023-09-15,chop,up,down,0,-10.0592,0.616,1w
2023-09-26,chop,up,down,0,-9.3976,0.568,1w
2023-10-05,chop,neutral,up,0,5.829,0.524,1w
2023-10-16,chop,down,up,0,21.5,0.376,1w
2023-10-25,chop,down,up,0,33.0263,0.376,1w
2023-11-03,chop,neutral,up,0,29.7198,0.524,1w
2023-11-14,trending_bull,up,up,1,22.4138,0.704,1w
2023-11-24,trending_bull,up,up,1,1.4423,0.6653,1w
2023-12-05,trending_bull,up,up,1,1.4045,0.7827,1w
2023-12-14,trending_bull,up,down,0,-18.3621,0.764,1w
2023-12-26,trending_bull,up,down,0,-3.484,0.6733,1w
2024-01-05,trending_bull,up,down,0,-2.9496,0.744,1w
2024-01-17,chop,up,up,1,11.5546,0.6133,1w
2024-01-26,chop,up,up,1,5.465,0.724,1w
2024-02-06,chop,up,up,1,4.2323,0.6587,1w
2024-02-15,chop,neutral,neutral,0,0.2755,0.5467,1w
2024-02-27,high_volatility,neutral,down,0,-9.5113,0.528,1w
2024-03-07,crisis,neutral,down,0,-25.8438,0.4653,1w
2024-03-18,high_volatility,down,down,1,-23.8498,0.404,1w
2024-03-27,chop,down,down,1,-18.2665,0.4427,1w
2024-04-08,crisis,down,down,1,-2.6998,0.2413,1w
2024-04-17,high_volatility,down,up,0,13.9799,0.376,1w
2024-04-26,chop,down,up,0,15.8016,0.3733,1w
2024-05-07,chop,down,up,0,5.0717,0.4013,1w
2024-05-16,chop,down,up,0,14.5179,0.368,1w
2024-05-28,chop,down,up,0,14.9448,0.3893,1w
2024-06-06,trending_bull,down,up,0,16.3836,0.4173,1w
2024-06-17,trending_bull,neutral,up,0,21.673,0.4707,1w
2024-06-27,trending_bull,neutral,up,0,21.2066,0.52,1w
2024-07-09,trending_bull,up,down,0,-6.9906,0.6893,1w
2024-07-18,trending_bull,up,down,0,-10.0389,0.9307,1w
2024-07-29,trending_bull,up,down,0,-8.4282,0.8947,1w
2024-08-07,trending_bear,up,up,1,13.7291,0.6613,1w
2024-08-16,trending_bear,up,up,1,62.0451,0.688,1w
2024-08-27,chop,up,up,1,62.0275,0.6627,1w
2024-09-06,chop,up,up,1,42.6635,0.6733,1w
2024-09-17,crisis,up,down,0,-5.8976,0.788,1w
2024-09-26,high_volatility,up,up,1,7.4757,0.772,1w
2024-10-07,high_volatility,up,up,1,26.8817,0.7253,1w
2024-10-16,high_volatility,up,up,1,24.1266,0.684,1w
2024-10-25,high_volatility,up,up,1,11.9025,0.7347,1w
