date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-1.0519,0.512,1w
2021-01-13,chop,neutral,down,0,-6.523,0.5293,1w
2021-01-25,chop,up,down,0,-3.5573,0.5893,1w
2021-02-03,crisis,neutral,up,0,1.3461,0.5267,1w
2021-02-12,high_volatility,down,up,0,14.384,0.3813,1w
2021-02-24,chop,down,up,0,15.5972,0.4387,1w
2021-03-05,high_volatility,neutral,up,0,12.3335,0.5453,1w
2021-03-16,high_volatility,up,up,1,7.051,0.6267,1w
2021-03-25,chop,up,neutral,0,0.2958,0.692,1w
2021-04-06,trending_bull,up,down,0,-7.1465,0.7213,1w
2021-04-15,chop,up,down,0,-10.1342,0.68,1w
2021-04-26,chop,up,down,0,-7.5749,0.6627,1w
2021-05-05,high_volatility,up,down,0,-0.8096,0.596,1w
2021-05-14,high_volatility,up,down,0,-11.2904,0.6347,1w
2021-05-25,trending_bear,up,down,0,-7.5888,0.6613,1w
2021-06-04,chop,neutral,down,0,-6.4091,0.5173,1w
2021-06-15,high_volatility,down,up,0,3.4216,0.2187,1w
2021-06-24,high_volatility,down,up,0,0.9117,0.2213,1w
2021-07-06,chop,down,up,0,0.9061,0.184,1w
2021-07-15,chop,down,up,0,1.8099,0.16,1w
2021-07-26,chop,down,down,1,-8.448,0.2413,1w
2021-08-04,chop,down,down,1,-4.7265,0.296,1w
2021-08-13,chop,down,down,1,-7.2213,0.3467,1w
2021-08-24,chop,down,down,1,-11.9469,0.2333,1w
2021-09-02,trending_bear,down,down,1,-13.7808,0.2293,1w
2021-09-14,chop,down,down,1,-21.7221,0.408,1w
2021-09-23,trending_bear,down,down,1,-13.2364,0.1387,1w
2021-10-04,trending_bear,down,down,1,-6.648,0.1373,1w
2021-10-13,trending_bear,down,up,0,18.4046,0.06,1w
2021-10-22,trending_bear,down,up,0,19.6232,0.048,1w
2021-11-02,trending_bear,down,up,0,21.6967,0.1147,1w
2021-11-11,high_volatility,down,down,1,-7.3439,0.2853,1w
2021-11-22,trending_bull,down,down,1,-7.0879,0.3173,1w
2021-12-02,chop,down,down,1,-5.8103,0.396,1w
2021-12-13,chop,down,up,0,8.8137,0.344,1w
2021-12-22,chop,down,up,0,16.039,0.424,1w
2022-01-03,chop,neutral,up,0,10.7931,0.528,1w
2022-01-12,chop,up,up,1,6.662,0.7107,1w
2022-01-24,chop,up,up,1,3.1275,0.7693,1w
2022-02-02,trending_bull,up,neutral,0,-0.0163,0.7773,1w
2022-02-11,trending_bull,up,down,0,-5.1679,0.5787,1w
2022-02-23,trending_bull,up,down,0,-9.1301,0.6173,1w
2022-03-04,chop,up,down,0,-4.8533,0.58,1w
2022-03-15,chop,up,up,1,4.573,0.5893,1w
2022-03-24,trending_bear,neutral,up,0,12.5368,0.5467,1w
2022-04-04,chop,neutral,up,0,8.9853,0.5107,1w
2022-04-13,chop,neutral,up,0,7.3248,0.5467,1w
2022-04-25,chop,neutral,down,0,-1.7915,0.536,1w
2022-05-04,chop,neutral,down,0,-2.6411,0.5013,1w
2022-05-13,trending_bull,up,up,1,5.1722,0.5813,1w
2022-05-24,chop,neutral,up,0,8.082,0.4707,1w
2022-06-03,chop,neutral,up,0,2.0852,0.52,1w
2022-06-14,trending_bull,up,down,0,-1.0855,0.7253,1w
2022-06-24,chop,up,up,1,3.0964,0.752,1w
2022-07-06,chop,up,up,1,3.2201,0.7173,1w
2022-07-15,chop,up,up,1,6.714,0.58,1w
2022-07-26,chop,up,neutral,0,-0.3373,0.6347,1w
2022-08-04,chop,up,down,0,-3.9395,0.5587,1w
2022-08-15,chop,up,up,1,1.5135,0.6107,1w
2022-08-24,chop,up,up,1,2.6657,0.644,1w
2022-09-02,chop,neutral,neutral,0,-0.4025,0.5293,1w
2022-09-14,chop,up,up,1,0.9245,0.584,1w
2022-09-23,chop,neutral,up,0,3.9462,0.544,1w
2022-10-04,chop,neutral,up,0,5.7831,0.5187,1w
2022-10-13,chop,up,neutral,0,0.4794,0.6267,1w
2022-10-24,chop,neutral,up,0,8.0607,0.548,1w
2022-11-02,chop,neutral,up,0,2.2745,0.5453,1w
2022-11-11,chop,neutral,up,0,4.4974,0.524,1w
2022-11-22,chop,up,neutral,0,0.3794,0.6467,1w
2022-12-02,chop,up,down,0,-1.3128,0.656,1w
2022-12-13,chop,up,down,0,-0.5987,0.6133,1w
2022-12-22,chop,up,down,0,-3.5817,0.6747,1w
2023-01-04,chop,up,down,0,-2.2707,0.612,1w
2023-01-13,chop,up,up,1,4.1611,0.6107,1w
2023-01-25,chop,up,up,1,5.7998,0.5907,1w
2023-02-03,chop,down,up,0,7.0955,0.4093,1w
2023-02-14,crisis,up,down,0,-1.9148,0.6067,1w
2023-02-24,trending_bull,neutral,down,0,-1.205,0.524,1w
2023-03-07,chop,neutral,neutral,0,-0.3042,0.52,1w
2023-03-16,chop,neutral,down,0,-4.3229,0.456,1w
2023-03-27,chop,neutral,up,0,1.2931,0.4827,1w
2023-04-05,chop,up,up,1,5.4363,0.5507,1w
2023-04-17,chop,down,up,0,13.2945,0.4253,1w
2023-04-26,chop,up,up,1,7.5836,0.6307,1w
2023-05-05,trending_bull,up,up,1,8.4137,0.7213,1w
2023-05-16,trending_bull,up,up,1,3.0609,0.6973,1w
2023-05-25,trending_bull,up,up,1,0.9918,0.724,1w
2023-06-06,trending_bull,up,neutral,0,-0.2198,0.804,1w
2023-06-15,trending_bull,up,up,1,2.8905,0.78,1w
2023-06-27,trending_bull,up,up,1,6.2216,0.7293,1w
2023-07-07,trending_bull,up,up,1,9.6633,0.7933,1w
2023-07-18,trending_bull,up,up,1,10.4368,0.9147,1w
2023-07-27,trending_bull,up,up,1,7.411,0.86,1w
2023-08-07,crisis,up,up,1,8.615,0.86,1w
2023-08-16,high_volatility,up,up,1,11.4389,0.8147,1w
2023-08-25,trending_bull,up,up,1,7.3341,0.872,1w
2023-09-06,trending_bull,up,up,1,0.7705,0.872,1w
2023-09-15,trending_bull,up,up,1,1.4044,0.9373,1w
2023-09-26,high_volatility,up,up,1,4.3382,0.9347,1w
2023-10-05,trending_bull,up,up,1,8.0792,0.8773,1w
2023-10-16,trending_bull,up,up,1,4.0417,0.904,1w
2023-10-25,trending_bull,up,up,1,6.4462,0.848,1w
2023-11-03,crisis,up,down,0,-0.6427,0.7867,1w
2023-11-14,crisis,up,down,0,-3.9429,0.7693,1w
2023-11-24,chop,up,down,0,-6.7477,0.752,1w
2023-12-05,high_volatility,up,down,0,-6.455,0.6107,1w
2023-12-14,chop,neutral,neutral,0,0.0233,0.4947,1w
2023-12-26,high_volatility,neutral,up,0,8.5133,0.4653,1w
2024-01-05,trending_bear,neutral,up,0,14.6088,0.4653,1w
2024-01-17,trending_bear,down,up,0,16.5919,0.428,1w
2024-01-26,crisis,up,up,1,12.797,0.5787,1w
2024-02-06,crisis,up,up,1,2.9898,0.58,1w
2024-02-15,crisis,up,neutral,0,-0.1906,0.692,1w
2024-02-27,high_volatility,up,neutral,0,-0.0586,0.6893,1w
2024-03-07,crisis,up,down,0,-7.3325,0.6573,1w
2024-03-18,crisis,up,neutral,0,-0.4192,0.7307,1w
2024-03-27,high_volatility,up,down,0,-1.1292,0.7933,1w
2024-04-08,crisis,up,up,1,4.7777,0.6173,1w
2024-04-17,high_volatility,up,up,1,5.3588,0.6747,1w
2024-04-26,chop,up,up,1,0.7793,0.6613,1w
