date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-5.9285,0.6173,1w
2021-01-13,high_volatility,up,down,0,-5.615,0.5987,1w
2021-01-25,high_volatility,down,down,1,-7.2747,0.376,1w
2021-02-03,crisis,down,neutral,0,0.1119,0.4013,1w
2021-02-12,high_volatility,down,down,1,-2.3864,0.3213,1w
2021-02-24,chop,down,neutral,0,-0.4488,0.2973,1w
2021-03-05,chop,neutral,down,0,-15.18,0.4573,1w
2021-03-16,chop,down,down,1,-13.0578,0.256,1w
2021-03-25,chop,down,down,1,-7.5339,0.3293,1w
2021-04-06,chop,down,up,0,5.9009,0.1533,1w
2021-04-15,trending_bear,down,up,0,11.6897,0.1533,1w
2021-04-26,trending_bear,down,up,0,0.6311,0.208,1w
2021-05-05,trending_bear,down,down,1,-3.0146,0.2853,1w
2021-05-14,trending_bull,down,down,1,-6.9222,0.4093,1w
2021-05-25,high_volatility,down,down,1,-5.4359,0.3893,1w
2021-06-04,chop,down,down,1,-4.8008,0.368,1w
2021-06-15,chop,down,up,0,2.1893,0.3547,1w
2021-06-24,chop,down,up,0,7.8652,0.336,1w
2021-07-06,chop,neutral,up,0,9.8323,0.5107,1w
2021-07-15,chop,neutral,up,0,9.6522,0.5293,1w
2021-07-26,chop,neutral,up,0,3.4273,0.524,1w
2021-08-04,chop,neutral,down,0,-3.4864,0.4707,1w
2021-08-13,chop,neutral,down,0,-8.3353,0.5293,1w
2021-08-24,chop,up,down,0,-9.634,0.58,1w
2021-09-02,chop,down,down,1,-1.494,0.4253,1w
2021-09-14,chop,neutral,neutral,0,-0.3925,0.5133,1w
2021-09-23,chop,neutral,down,0,-1.9457,0.468,1w
2021-10-04,chop,neutral,up,0,1.0382,0.4693,1w
2021-10-13,chop,neutral,up,0,1.68,0.4693,1w
2021-10-22,chop,down,up,0,12.8744,0.328,1w
2021-11-02,chop,down,up,0,15.0588,0.396,1w
2021-11-11,chop,down,up,0,6.7121,0.3787,1w
2021-11-22,high_volatility,neutral,down,0,-3.812,0.492,1w
2021-12-02,chop,up,down,0,-7.9585,0.6173,1w
2021-12-13,chop,up,down,0,-0.7071,0.6053,1w
2021-12-22,chop,up,up,1,11.6923,0.58,1w
2022-01-03,chop,neutral,up,0,17.8785,0.5133,1w
2022-01-12,chop,up,up,1,8.2715,0.5907,1w
2022-01-24,trending_bull,up,up,1,1.6887,0.7267,1w
2022-02-02,trending_bull,up,down,0,-3.6938,0.7933,1w
2022-02-11,trending_bull,up,down,0,-6.5282,0.6693,1w
2022-02-23,trending_bull,up,down,0,-9.4852,0.6267,1w
2022-03-04,chop,up,down,0,-6.2327,0.5733,1w
2022-03-15,chop,neutral,up,0,5.6892,0.4707,1w
2022-03-24,trending_bear,neutral,up,0,4.4698,0.52,1w
2022-04-04,chop,neutral,up,0,3.04,0.548,1w
2022-04-13,chop,up,down,0,-1.5485,0.6173,1w
2022-04-25,chop,down,up,0,1.6778,0.416,1w
2022-05-04,chop,down,down,1,-7.166,0.3413,1w
2022-05-13,chop,down,down,1,-0.8603,0.3787,1w
2022-05-24,chop,down,down,1,-2.4428,0.3653,1w
2022-06-03,chop,down,down,1,-0.5976,0.312,1w
2022-06-14,trending_bear,down,down,1,-3.9282,0.4253,1w
2022-06-24,chop,neutral,up,0,4.9908,0.492,1w
2022-07-06,chop,down,up,0,5.5171,0.4307,1w
2022-07-15,chop,down,up,0,1.9003,0.32,1w
2022-07-26,chop,up,down,0,-7.0282,0.5987,1w
2022-08-04,chop,down,down,1,-11.4965,0.4253,1w
2022-08-15,chop,neutral,down,0,-6.3371,0.452,1w
2022-08-24,chop,down,down,1,-7.3125,0.3667,1w
2022-09-02,chop,down,down,1,-5.0442,0.296,1w
2022-09-14,trending_bear,down,down,1,-3.4107,0.268,1w
2022-09-23,trending_bear,down,down,1,-4.5438,0.22,1w
2022-10-04,trending_bear,down,down,1,-6.6148,0.2187,1w
2022-10-13,trending_bear,down,down,1,-5.9626,0.2307,1w
2022-10-24,trending_bear,down,up,0,6.7847,0.1373,1w
2022-11-02,trending_bear,down,up,0,11.4603,0.1,1w
2022-11-11,trending_bear,down,up,0,6.4735,0.2093,1w
2022-11-22,trending_bull,down,up,0,8.0344,0.3187,1w
2022-12-02,trending_bull,neutral,up,0,1.171,0.4987,1w
2022-12-13,trending_bull,neutral,down,0,-4.7288,0.4947,1w
2022-12-22,trending_bull,up,down,0,-4.6636,0.64,1w
2023-01-04,trending_bull,up,down,0,-2.576,0.5747,1w
