date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,9.5998,0.5013,1w
2021-01-13,chop,up,up,1,5.1686,0.7253,1w
2021-01-25,crisis,up,up,1,4.1414,0.5547,1w
2021-02-03,crisis,up,down,0,-7.9741,0.584,1w
2021-02-12,crisis,up,down,0,-14.4915,0.676,1w
2021-02-24,crisis,up,down,0,-5.2456,0.5933,1w
2021-03-05,crisis,neutral,neutral,0,-0.164,0.5387,1w
2021-03-16,crisis,neutral,down,0,-3.3726,0.5053,1w
2021-03-25,high_volatility,neutral,down,0,-9.7214,0.548,1w
2021-04-06,chop,down,down,1,-8.8733,0.4213,1w
2021-04-15,chop,down,down,1,-13.394,0.2933,1w
2021-04-26,chop,down,down,1,-3.8631,0.3013,1w
2021-05-05,trending_bear,down,down,1,-0.8747,0.2173,1w
2021-05-14,trending_bear,down,down,1,-8.56,0.1493,1w
2021-05-25,trending_bear,down,down,1,-12.4509,0.256,1w
2021-06-04,chop,down,down,1,-10.531,0.3813,1w
2021-06-15,chop,down,up,0,3.4999,0.1893,1w
2021-06-24,trending_bear,down,up,0,6.7223,0.1507,1w
2021-07-06,chop,down,up,0,11.1139,0.256,1w
2021-07-15,chop,down,up,0,12.4633,0.2213,1w
2021-07-26,chop,down,up,0,4.1384,0.4093,1w
2021-08-04,chop,down,up,0,2.1744,0.412,1w
2021-08-13,trending_bull,up,down,0,-5.53,0.5747,1w
2021-08-24,trending_bull,neutral,down,0,-6.9892,0.5053,1w
2021-09-02,chop,down,down,1,-4.1494,0.436,1w
2021-09-14,chop,up,down,0,-6.4002,0.676,1w
2021-09-23,chop,neutral,up,0,10.9379,0.5013,1w
2021-10-04,chop,up,up,1,7.8319,0.5573,1w
2021-10-13,chop,down,up,0,13.8717,0.4467,1w
2021-10-22,chop,neutral,up,0,4.2958,0.5453,1w
2021-11-02,chop,up,up,1,0.6226,0.604,1w
2021-11-11,trending_bull,neutral,down,0,-9.8633,0.5467,1w
2021-11-22,chop,neutral,down,0,-12.7149,0.5467,1w
2021-12-02,chop,up,down,0,-9.0335,0.588,1w
2021-12-13,trending_bear,neutral,neutral,0,0.4927,0.4587,1w
2021-12-22,chop,neutral,up,0,9.2675,0.5013,1w
2022-01-03,chop,down,up,0,11.445,0.3973,1w
