date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-9.1516,0.4987,1w
2021-01-13,chop,down,down,1,-5.433,0.428,1w
2021-01-25,chop,down,down,1,-1.1174,0.2747,1w
2021-02-03,high_volatility,down,down,1,-9.9277,0.396,1w
2021-02-12,chop,down,down,1,-23.8459,0.3213,1w
2021-02-24,high_volatility,down,down,1,-16.5087,0.2747,1w
2021-03-05,high_volatility,down,down,1,-12.0011,0.3067,1w
2021-03-16,crisis,down,down,1,-1.8583,0.168,1w
2021-03-25,high_volatility,down,down,1,-11.4375,0.156,1w
2021-04-06,trending_bear,down,down,1,-23.0962,0.18,1w
2021-04-15,trending_bear,down,down,1,-28.373,0.172,1w
2021-04-26,trending_bear,down,down,1,-30.2151,0.1787,1w
2021-05-05,trending_bear,down,down,1,-18.0986,0.12,1w
2021-05-14,chop,down,down,1,-9.2411,0.0933,1w
2021-05-25,trending_bear,down,up,0,16.785,0.1093,1w
2021-06-04,chop,down,up,0,8.0548,0.168,1w
2021-06-15,chop,down,up,0,28.0238,0.216,1w
2021-06-24,chop,down,up,0,18.7605,0.2573,1w
2021-07-06,chop,down,up,0,49.9077,0.2747,1w
2021-07-15,chop,down,up,0,38.6768,0.3733,1w
2021-07-26,trending_bull,neutral,up,0,27.992,0.456,1w
2021-08-04,crisis,up,down,0,-10.7359,0.64,1w
2021-08-13,high_volatility,up,up,1,3.313,0.768,1w
2021-08-24,trending_bull,up,up,1,3.359,0.7773,1w
2021-09-02,trending_bull,up,up,1,1.6945,0.7187,1w
2021-09-14,trending_bull,up,down,0,-10.5324,0.8267,1w
2021-09-23,chop,up,up,1,0.503,0.7307,1w
2021-10-04,chop,up,up,1,20.3479,0.704,1w
2021-10-13,high_volatility,up,up,1,36.3897,0.6173,1w
2021-10-22,crisis,up,up,1,23.0145,0.6627,1w
2021-11-02,crisis,up,up,1,10.885,0.6,1w
2021-11-11,high_volatility,up,down,0,-4.6252,0.6173,1w
2021-11-22,trending_bull,up,down,0,-4.3789,0.656,1w
2021-12-02,chop,up,down,0,-18.145,0.6987,1w
2021-12-13,chop,up,down,0,-3.2052,0.5867,1w
2021-12-22,chop,up,up,1,1.9333,0.6173,1w
2022-01-03,chop,neutral,up,0,21.3113,0.5013,1w
2022-01-12,chop,up,up,1,11.7534,0.636,1w
2022-01-24,chop,up,up,1,15.9755,0.5933,1w
2022-02-02,chop,up,up,1,4.1817,0.5853,1w
2022-02-11,chop,down,up,0,2.5165,0.4453,1w
2022-02-23,high_volatility,up,up,1,7.8541,0.5733,1w
2022-03-04,chop,neutral,up,0,4.0821,0.536,1w
2022-03-15,chop,up,up,1,2.1996,0.588,1w
2022-03-24,chop,up,up,1,7.4241,0.7253,1w
2022-04-04,chop,up,up,1,15.7992,0.7307,1w
2022-04-13,chop,up,up,1,11.2196,0.728,1w
2022-04-25,trending_bull,up,up,1,3.3715,0.7667,1w
2022-05-04,trending_bull,up,down,0,-3.0203,0.7133,1w
2022-05-13,trending_bull,up,down,0,-4.537,0.6933,1w
2022-05-24,trending_bull,up,down,0,-6.1412,0.7107,1w
2022-06-03,trending_bull,up,down,0,-6.3331,0.704,1w
2022-06-14,trending_bear,neutral,up,0,2.4505,0.5453,1w
2022-06-24,chop,neutral,down,0,-6.4763,0.5173,1w
2022-07-06,chop,neutral,down,0,-11.3025,0.5173,1w
2022-07-15,chop,neutral,down,0,-14.6628,0.528,1w
2022-07-26,chop,down,down,1,-8.1549,0.3507,1w
2022-08-04,trending_bear,down,down,1,-9.2517,0.1653,1w
2022-08-15,trending_bear,down,up,0,5.8267,0.1947,1w
2022-08-24,trending_bear,down,up,0,6.9131,0.1947,1w
2022-09-02,trending_bear,down,up,0,19.5493,0.1453,1w
2022-09-14,trending_bull,down,up,0,2.9291,0.3467,1w
2022-09-23,chop,down,up,0,1.7648,0.2987,1w
2022-10-04,trending_bull,down,up,0,8.6614,0.4493,1w
2022-10-13,chop,down,up,0,18.6816,0.3547,1w
2022-10-24,chop,neutral,up,0,33.6064,0.4733,1w
2022-11-02,chop,up,up,1,18.575,0.684,1w
2022-11-11,trending_bull,up,up,1,14.5578,0.7707,1w
2022-11-22,trending_bull,up,up,1,9.5473,0.8653,1w
2022-12-02,trending_bull,up,neutral,0,-0.0452,0.9387,1w
