date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-2.5856,0.6173,1w
2021-01-13,chop,up,down,0,-5.1311,0.5693,1w
2021-01-25,chop,down,down,1,-2.6747,0.3173,1w
2021-02-03,high_volatility,down,down,1,-1.1076,0.3133,1w
2021-02-12,chop,down,up,0,6.4435,0.26,1w
2021-02-24,high_volatility,down,up,0,5.5158,0.3253,1w
2021-03-05,high_volatility,neutral,up,0,6.1434,0.528,1w
2021-03-16,crisis,neutral,up,0,5.517,0.46,1w
2021-03-25,high_volatility,neutral,up,0,9.8229,0.4987,1w
2021-04-06,trending_bull,up,up,1,0.9732,0.568,1w
2021-04-15,crisis,up,down,0,-5.8542,0.6107,1w
2021-04-26,high_volatility,up,down,0,-21.597,0.708,1w
2021-05-05,crisis,up,down,0,-17.2335,0.6387,1w
2021-05-14,crisis,up,down,0,-19.3448,0.6587,1w
2021-05-25,crisis,down,neutral,0,-0.4109,0.3507,1w
2021-06-04,high_volatility,down,down,1,-0.8538,0.332,1w
2021-06-15,trending_bear,down,up,0,6.9982,0.2253,1w
2021-06-24,trending_bear,down,up,0,6.7087,0.2933,1w
2021-07-06,trending_bear,down,up,0,4.2915,0.2307,1w
2021-07-15,chop,down,up,0,2.8867,0.22,1w
2021-07-26,trending_bull,down,up,0,10.3325,0.2547,1w
2021-08-04,chop,down,up,0,7.5621,0.2773,1w
2021-08-13,chop,down,up,0,1.9758,0.3467,1w
2021-08-24,chop,up,down,0,-1.1707,0.588,1w
2021-09-02,chop,up,neutral,0,-0.3534,0.584,1w
2021-09-14,chop,up,down,0,-2.7794,0.6653,1w
2021-09-23,chop,up,up,1,5.1822,0.5907,1w
2021-10-04,chop,up,up,1,5.5419,0.568,1w
2021-10-13,chop,neutral,up,0,7.6202,0.4947,1w
2021-10-22,chop,up,up,1,8.4212,0.6693,1w
2021-11-02,chop,up,up,1,8.9662,0.704,1w
2021-11-11,chop,up,up,1,4.2068,0.5933,1w
2021-11-22,chop,up,down,0,-3.9308,0.668,1w
2021-12-02,trending_bull,up,down,0,-5.9253,0.7253,1w
2021-12-13,chop,up,down,0,-1.8171,0.64,1w
2021-12-22,chop,up,neutral,0,-0.3206,0.676,1w
2022-01-03,chop,up,neutral,0,-0.0974,0.5987,1w
2022-01-12,chop,up,neutral,0,0.4267,0.656,1w
2022-01-24,chop,neutral,neutral,0,-0.1756,0.5173,1w
2022-02-02,chop,neutral,down,0,-0.748,0.5053,1w
2022-02-11,chop,neutral,down,0,-4.0209,0.5133,1w
2022-02-23,chop,down,neutral,0,-0.0623,0.2853,1w
2022-03-04,chop,down,up,0,6.1641,0.236,1w
2022-03-15,chop,down,up,0,7.3763,0.2947,1w
2022-03-24,chop,down,up,0,5.1328,0.4147,1w
2022-04-04,trending_bull,neutral,up,0,0.9164,0.524,1w
2022-04-13,trending_bull,neutral,up,0,1.9643,0.52,1w
2022-04-25,trending_bull,up,down,0,-1.8019,0.656,1w
2022-05-04,trending_bull,up,down,0,-1.298,0.6667,1w
2022-05-13,trending_bull,up,up,1,4.7336,0.6133,1w
2022-05-24,trending_bear,up,up,1,6.0824,0.596,1w
2022-06-03,chop,up,up,1,4.8938,0.7347,1w
2022-06-14,chop,up,down,0,-1.8259,0.872,1w
2022-06-24,chop,up,up,1,3.3983,0.728,1w
2022-07-06,chop,up,up,1,3.1598,0.6413,1w
2022-07-15,chop,up,up,1,3.3486,0.5827,1w
2022-07-26,chop,up,down,0,-1.0758,0.6587,1w
2022-08-04,chop,up,neutral,0,0.2179,0.588,1w
2022-08-15,trending_bull,up,up,1,3.7612,0.6693,1w
2022-08-24,chop,up,up,1,3.3266,0.6987,1w
