date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,neutral,0,0.1479,0.7013,1w
2021-01-13,chop,up,up,1,1.8758,0.6093,1w
2021-01-25,chop,neutral,up,0,2.6017,0.5053,1w
2021-02-03,crisis,up,down,0,-1.7089,0.6573,1w
2021-02-12,high_volatility,up,down,0,-2.9234,0.6787,1w
2021-02-24,high_volatility,neutral,up,0,2.8023,0.5133,1w
2021-03-05,crisis,up,down,0,-3.257,0.5587,1w
2021-03-16,crisis,neutral,neutral,0,0.2787,0.4707,1w
2021-03-25,crisis,neutral,up,0,9.0623,0.5013,1w
2021-04-06,chop,down,up,0,6.163,0.412,1w
2021-04-15,chop,neutral,down,0,-4.5931,0.4667,1w
2021-04-26,chop,up,down,0,-8.1451,0.6347,1w
2021-05-05,crisis,neutral,down,0,-7.8615,0.5173,1w
2021-05-14,crisis,down,down,1,-11.0563,0.388,1w
2021-05-25,crisis,neutral,down,0,-10.9307,0.5107,1w
2021-06-04,high_volatility,down,down,1,-10.7981,0.4467,1w
2021-06-15,high_volatility,down,neutral,0,-0.1743,0.2747,1w
2021-06-24,trending_bear,down,up,0,3.2916,0.2907,1w
2021-07-06,trending_bear,down,up,0,4.7156,0.2973,1w
2021-07-15,chop,down,up,0,6.0667,0.268,1w
2021-07-26,chop,down,up,0,1.1969,0.256,1w
2021-08-04,chop,down,down,1,-2.7556,0.228,1w
2021-08-13,chop,down,down,1,-11.9583,0.392,1w
2021-08-24,chop,down,down,1,-17.8956,0.3787,1w
2021-09-02,chop,down,down,1,-13.2861,0.2813,1w
2021-09-14,chop,down,down,1,-7.2285,0.372,1w
2021-09-23,trending_bear,down,up,0,3.346,0.2347,1w
2021-10-04,trending_bear,down,up,0,1.6728,0.2613,1w
2021-10-13,trending_bear,down,up,0,10.2685,0.232,1w
2021-10-22,chop,down,up,0,6.5203,0.2573,1w
2021-11-02,chop,down,up,0,9.4357,0.2693,1w
2021-11-11,chop,down,down,1,-1.7865,0.3347,1w
2021-11-22,chop,down,down,1,-3.1812,0.3347,1w
2021-12-02,chop,down,down,1,-4.8118,0.412,1w
2021-12-13,chop,neutral,down,0,-2.3107,0.5013,1w
2021-12-22,chop,up,up,1,3.7037,0.576,1w
2022-01-03,chop,neutral,up,0,14.3452,0.52,1w
2022-01-12,chop,up,up,1,7.4796,0.58,1w
2022-01-24,chop,up,down,0,-2.5971,0.5747,1w
2022-02-02,chop,up,down,0,-9.0986,0.7213,1w
2022-02-11,chop,neutral,down,0,-9.1592,0.5267,1w
2022-02-23,chop,down,down,1,-6.99,0.448,1w
2022-03-04,chop,down,neutral,0,-0.1334,0.4387,1w
2022-03-15,chop,down,up,0,4.4355,0.3467,1w
2022-03-24,chop,down,up,0,4.1463,0.3787,1w
2022-04-04,chop,down,down,1,-1.927,0.4467,1w
2022-04-13,chop,neutral,down,0,-4.5685,0.476,1w
2022-04-25,chop,down,down,1,-2.0555,0.3573,1w
2022-05-04,chop,down,down,1,-3.7773,0.1907,1w
2022-05-13,chop,down,up,0,4.8232,0.3067,1w
2022-05-24,chop,down,up,0,9.4457,0.32,1w
2022-06-03,chop,down,up,0,12.8542,0.356,1w
2022-06-14,chop,neutral,up,0,11.606,0.5227,1w
2022-06-24,chop,up,up,1,7.9774,0.628,1w
2022-07-06,trending_bull,up,down,0,-1.704,0.6707,1w
2022-07-15,trending_bull,up,down,0,-5.1854,0.6533,1w
2022-07-26,trending_bull,up,down,0,-3.9285,0.7947,1w
2022-08-04,trending_bull,up,down,0,-3.1253,0.7,1w
2022-08-15,chop,up,up,1,1.5086,0.7253,1w
2022-08-24,chop,up,down,0,-3.3681,0.7693,1w
2022-09-02,chop,up,down,0,-7.6567,0.6987,1w
2022-09-14,chop,up,down,0,-8.0184,0.612,1w
2022-09-23,chop,down,down,1,-6.7054,0.4147,1w
2022-10-04,trending_bear,down,neutral,0,0.4664,0.1733,1w
2022-10-13,trending_bear,down,down,1,-0.8311,0.1413,1w
2022-10-24,trending_bear,down,up,0,11.814,0.1093,1w
2022-11-02,trending_bear,down,up,0,2.1886,0.2427,1w
2022-11-11,trending_bear,down,up,0,1.7798,0.2853,1w
2022-11-22,trending_bull,down,up,0,8.2254,0.424,1w
2022-12-02,trending_bull,down,up,0,7.3506,0.412,1w
2022-12-13,chop,down,down,1,-2.5634,0.428,1w
2022-12-22,trending_bull,up,down,0,-3.7829,0.6373,1w
2023-01-04,trending_bull,up,down,0,-3.8895,0.6613,1w
2023-01-13,trending_bull,up,up,1,1.7247,0.6267,1w
2023-01-25,chop,up,down,0,-0.5753,0.724,1w
2023-02-03,chop,neutral,up,0,5.7821,0.5467,1w
2023-02-14,chop,up,up,1,3.3208,0.56,1w
2023-02-24,chop,neutral,up,0,8.3779,0.5293,1w
2023-03-07,chop,up,up,1,0.6401,0.6533,1w
2023-03-16,chop,neutral,down,0,-6.3836,0.5013,1w
2023-03-27,chop,neutral,down,0,-12.4409,0.5333,1w
2023-04-05,chop,neutral,down,0,-9.7037,0.544,1w
2023-04-17,high_volatility,down,down,1,-0.5076,0.4387,1w
2023-04-26,trending_bear,down,down,1,-2.7375,0.3693,1w
2023-05-05,crisis,down,down,1,-3.8913,0.3667,1w
2023-05-16,chop,down,down,1,-6.1508,0.3333,1w
2023-05-25,chop,down,down,1,-5.4119,0.2853,1w
2023-06-06,chop,down,down,1,-7.2917,0.156,1w
2023-06-15,chop,down,up,0,4.5969,0.1453,1w
2023-06-27,chop,down,up,0,11.9773,0.0507,1w
2023-07-07,chop,down,up,0,14.7624,0.0853,1w
2023-07-18,chop,down,down,1,-0.7258,0.392,1w
2023-07-27,crisis,neutral,down,0,-0.6076,0.504,1w
2023-08-07,crisis,neutral,down,0,-2.5066,0.5227,1w
2023-08-16,chop,down,up,0,9.4104,0.4013,1w
2023-08-25,chop,up,up,1,8.4565,0.5587,1w
2023-09-06,chop,neutral,up,0,8.3361,0.4987,1w
2023-09-15,chop,up,down,0,-0.6015,0.6693,1w
2023-09-26,trending_bull,up,down,0,-3.1062,0.74,1w
2023-10-05,trending_bull,up,down,0,-3.4703,0.768,1w
2023-10-16,chop,up,down,0,-7.6532,0.656,1w
2023-10-25,chop,neutral,down,0,-1.761,0.5293,1w
2023-11-03,trending_bear,neutral,down,0,-1.367,0.5053,1w
2023-11-14,trending_bear,neutral,down,0,-1.9864,0.54,1w
2023-11-24,trending_bear,neutral,down,0,-11.7723,0.5133,1w
2023-12-05,trending_bear,neutral,down,0,-7.9457,0.528,1w
2023-12-14,chop,down,up,0,1.2816,0.268,1w
2023-12-26,high_volatility,down,up,0,9.2297,0.2,1w
2024-01-05,trending_bear,down,up,0,8.6398,0.2213,1w
2024-01-17,high_volatility,down,down,1,-1.5563,0.292,1w
2024-01-26,chop,down,down,1,-1.5717,0.4093,1w
2024-02-06,chop,down,up,0,0.7668,0.3813,1w
2024-02-15,chop,down,up,0,3.1483,0.396,1w
2024-02-27,chop,down,down,1,-1.7759,0.344,1w
2024-03-07,crisis,down,down,1,-16.0919,0.416,1w
2024-03-18,high_volatility,neutral,down,0,-14.281,0.4907,1w
2024-03-27,chop,up,down,0,-11.9194,0.5533,1w
2024-04-08,crisis,down,down,1,-2.3343,0.2947,1w
2024-04-17,trending_bear,down,up,0,7.3309,0.256,1w
2024-04-26,trending_bear,down,up,0,0.5017,0.256,1w
2024-05-07,trending_bear,down,up,0,3.8901,0.2747,1w
2024-05-16,trending_bear,down,neutral,0,-0.1101,0.348,1w
2024-05-28,chop,down,down,1,-0.8491,0.2933,1w
2024-06-06,chop,down,down,1,-5.0761,0.352,1w
2024-06-17,chop,down,down,1,-4.3163,0.2813,1w
2024-06-27,chop,down,down,1,-2.6677,0.2973,1w
2024-07-09,chop,down,down,1,-3.1547,0.4467,1w
2024-07-18,chop,neutral,up,0,0.6114,0.5013,1w
2024-07-29,chop,down,up,0,3.5928,0.4467,1w
2024-08-07,chop,down,up,0,0.776,0.4213,1w
2024-08-16,chop,neutral,down,0,-4.9185,0.4853,1w
2024-08-27,chop,neutral,down,0,-3.9041,0.4653,1w
2024-09-06,chop,down,down,1,-1.5936,0.3347,1w
2024-09-17,chop,down,down,1,-2.1162,0.3747,1w
2024-09-26,chop,down,down,1,-4.2356,0.3867,1w
2024-10-07,chop,down,down,1,-6.5876,0.3733,1w
2024-10-16,chop,down,down,1,-7.6824,0.2947,1w
2024-10-25,chop,down,down,1,-4.0517,0.3747,1w
2024-11-05,trending_bear,down,down,1,-2.5468,0.2947,1w
2024-11-14,trending_bear,down,up,0,11.0617,0.168,1w
2024-11-25,trending_bear,down,up,0,7.204,0.2053,1w
