date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,up,1,0.8095,0.6027,1w
2021-01-13,chop,up,down,0,-2.2015,0.6173,1w
2021-01-25,chop,up,down,0,-2.2097,0.5747,1w
2021-02-03,crisis,up,down,0,-0.661,0.6067,1w
2021-02-12,high_volatility,up,up,1,4.5332,0.6027,1w
2021-02-24,trending_bear,down,up,0,7.4757,0.4467,1w
2021-03-05,high_volatility,up,up,1,2.8038,0.628,1w
2021-03-16,high_volatility,up,up,1,6.4075,0.5587,1w
2021-03-25,chop,up,up,1,6.3251,0.568,1w
2021-04-06,chop,up,down,0,-0.784,0.632,1w
2021-04-15,trending_bull,up,down,0,-1.1026,0.6747,1w
2021-04-26,trending_bull,up,up,1,1.5875,0.7,1w
2021-05-05,high_volatility,up,up,1,2.8338,0.5587,1w
2021-05-14,crisis,up,down,0,-8.189,0.6987,1w
2021-05-25,high_volatility,up,down,0,-11.1415,0.784,1w
2021-06-04,crisis,up,down,0,-5.9932,0.6267,1w
2021-06-15,crisis,down,up,0,5.2065,0.384,1w
2021-06-24,crisis,down,up,0,1.3127,0.3813,1w
2021-07-06,crisis,down,up,0,4.6472,0.3893,1w
2021-07-15,high_volatility,down,up,0,8.5764,0.3333,1w
2021-07-26,chop,down,up,0,7.3209,0.36,1w
2021-08-04,chop,neutral,up,0,1.1535,0.4973,1w
2021-08-13,chop,neutral,down,0,-2.0993,0.508,1w
2021-08-24,trending_bull,down,down,1,-3.2967,0.4467,1w
2021-09-02,chop,neutral,down,0,-11.3442,0.4893,1w
2021-09-14,chop,up,down,0,-23.0647,0.7253,1w
2021-09-23,chop,up,down,0,-14.8966,0.5867,1w
2021-10-04,high_volatility,down,down,1,-0.8575,0.312,1w
2021-10-13,high_volatility,down,up,0,15.6846,0.184,1w
2021-10-22,crisis,down,up,0,11.5297,0.2547,1w
2021-11-02,high_volatility,down,up,0,7.4721,0.2813,1w
2021-11-11,high_volatility,down,up,0,6.075,0.3173,1w
2021-11-22,trending_bull,down,up,0,2.2658,0.3413,1w
2021-12-02,trending_bull,down,up,0,2.0409,0.3867,1w
2021-12-13,trending_bull,down,up,0,1.1787,0.3853,1w
2021-12-22,trending_bull,down,down,1,-1.7433,0.428,1w
2022-01-03,trending_bull,up,down,0,-1.5707,0.5693,1w
2022-01-12,chop,up,down,0,-3.4565,0.7933,1w
2022-01-24,chop,up,down,0,-3.2526,0.6773,1w
2022-02-02,chop,up,down,0,-4.3101,0.6053,1w
2022-02-11,chop,neutral,neutral,0,-0.1908,0.5107,1w
2022-02-23,chop,down,neutral,0,0.4045,0.3733,1w
2022-03-04,trending_bear,down,up,0,8.4726,0.3147,1w
2022-03-15,chop,down,up,0,4.3129,0.3507,1w
2022-03-24,chop,down,up,0,9.0213,0.352,1w
2022-04-04,chop,down,down,1,-2.8262,0.4067,1w
2022-04-13,chop,down,down,1,-3.4272,0.4387,1w
2022-04-25,chop,up,down,0,-6.5299,0.5573,1w
2022-05-04,chop,neutral,down,0,-8.0782,0.5053,1w
2022-05-13,chop,neutral,down,0,-5.3777,0.4693,1w
2022-05-24,trending_bear,down,down,1,-1.4122,0.4467,1w
2022-06-03,trending_bear,neutral,up,0,1.1478,0.4867,1w
2022-06-14,trending_bear,down,down,1,-1.7257,0.296,1w
2022-06-24,trending_bear,down,up,0,4.18,0.3733,1w
2022-07-06,trending_bear,down,down,1,-4.0362,0.1867,1w
2022-07-15,chop,down,down,1,-7.746,0.2093,1w
2022-07-26,chop,down,down,1,-9.3208,0.2827,1w
2022-08-04,chop,down,down,1,-6.9779,0.1653,1w
2022-08-15,trending_bear,down,up,0,1.3344,0.168,1w
2022-08-24,trending_bear,down,up,0,4.2497,0.1907,1w
