date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-4.115,0.7933,1w
2021-01-13,chop,up,down,0,-5.473,0.708,1w
2021-01-25,high_volatility,down,down,1,-1.6887,0.4253,1w
2021-02-03,crisis,down,down,1,-3.104,0.436,1w
2021-02-12,high_volatility,down,down,1,-2.7023,0.34,1w
2021-02-24,high_volatility,down,up,0,6.4648,0.296,1w
2021-03-05,crisis,down,up,0,7.6516,0.4013,1w
2021-03-16,high_volatility,down,up,0,6.921,0.312,1w
2021-03-25,chop,down,down,1,-2.8992,0.436,1w
2021-04-06,chop,neutral,down,0,-3.7935,0.456,1w
2021-04-15,chop,down,down,1,-9.0868,0.4093,1w
2021-04-26,chop,neutral,down,0,-1.8362,0.5013,1w
2021-05-05,high_volatility,neutral,down,0,-1.1074,0.4573,1w
2021-05-14,crisis,down,down,1,-4.8612,0.4013,1w
2021-05-25,crisis,neutral,down,0,-11.2654,0.5173,1w
2021-06-04,high_volatility,up,down,0,-15.6194,0.568,1w
2021-06-15,high_volatility,down,down,1,-8.2936,0.376,1w
2021-06-24,high_volatility,down,down,1,-1.4256,0.1867,1w
2021-07-06,high_volatility,down,up,0,5.0623,0.1787,1w
2021-07-15,trending_bear,down,up,0,12.6041,0.1533,1w
2021-07-26,trending_bear,down,up,0,5.1029,0.2747,1w
2021-08-04,chop,down,down,1,-3.1494,0.2373,1w
2021-08-13,chop,down,down,1,-6.2661,0.4387,1w
2021-08-24,chop,down,down,1,-10.9003,0.368,1w
2021-09-02,chop,down,down,1,-5.0206,0.2173,1w
2021-09-14,chop,down,down,1,-8.1565,0.4173,1w
2021-09-23,chop,down,up,0,5.6846,0.2867,1w
2021-10-04,chop,down,up,0,2.0192,0.3893,1w
2021-10-13,chop,down,up,0,13.7755,0.3787,1w
2021-10-22,high_volatility,down,up,0,11.6273,0.4093,1w
2021-11-02,chop,down,up,0,14.5286,0.4093,1w
2021-11-11,high_volatility,neutral,up,0,0.5292,0.4587,1w
2021-11-22,trending_bull,neutral,down,0,-3.4478,0.5013,1w
2021-12-02,trending_bull,up,down,0,-6.7542,0.6333,1w
2021-12-13,trending_bull,up,up,1,1.2191,0.6053,1w
2021-12-22,chop,up,up,1,6.5658,0.696,1w
2022-01-03,chop,up,up,1,7.5871,0.5853,1w
2022-01-12,chop,up,down,0,-1.5873,0.7427,1w
2022-01-24,chop,up,down,0,-3.1464,0.7307,1w
2022-02-02,chop,up,neutral,0,-0.2158,0.76,1w
2022-02-11,chop,neutral,down,0,-8.2517,0.5013,1w
2022-02-23,chop,down,down,1,-4.9833,0.4213,1w
2022-03-04,chop,down,down,1,-1.5223,0.448,1w
2022-03-15,chop,down,up,0,5.9739,0.2773,1w
2022-03-24,trending_bear,down,up,0,2.7268,0.424,1w
2022-04-04,chop,neutral,down,0,-1.8542,0.4947,1w
2022-04-13,chop,down,down,1,-3.2433,0.376,1w
2022-04-25,chop,down,down,1,-3.0808,0.3507,1w
