date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-4.6407,0.376,1w
2021-01-13,chop,down,down,1,-8.0119,0.3653,1w
2021-01-25,high_volatility,down,down,1,-8.2887,0.1933,1w
2021-02-03,crisis,down,down,1,-11.3302,0.28,1w
2021-02-12,high_volatility,down,down,1,-8.2095,0.248,1w
2021-02-24,high_volatility,down,up,0,3.5247,0.2,1w
2021-03-05,high_volatility,down,up,0,4.4761,0.2787,1w
2021-03-16,high_volatility,down,up,0,3.0528,0.1867,1w
2021-03-25,trending_bear,down,down,1,-10.9368,0.2573,1w
2021-04-06,chop,down,down,1,-14.5365,0.2747,1w
2021-04-15,chop,down,down,1,-14.742,0.248,1w
2021-04-26,chop,down,down,1,-5.2606,0.2253,1w
2021-05-05,high_volatility,down,down,1,-3.1776,0.1867,1w
2021-05-14,crisis,down,down,1,-8.4392,0.22,1w
2021-05-25,high_volatility,down,down,1,-3.1994,0.312,1w
2021-06-04,high_volatility,down,down,1,-5.6931,0.3507,1w
2021-06-15,high_volatility,down,up,0,0.5025,0.2333,1w
2021-06-24,trending_bear,down,down,1,-2.0021,0.1933,1w
2021-07-06,chop,down,up,0,2.5847,0.1867,1w
2021-07-15,chop,down,up,0,7.4896,0.2093,1w
2021-07-26,chop,down,up,0,1.6094,0.3307,1w
2021-08-04,chop,down,down,1,-5.0519,0.3467,1w
2021-08-13,chop,neutral,down,0,-11.5945,0.484,1w
2021-08-24,chop,down,down,1,-10.206,0.4253,1w
2021-09-02,chop,down,down,1,-8.3691,0.3453,1w
2021-09-14,chop,down,down,1,-9.823,0.428,1w
2021-09-23,chop,down,up,0,2.1177,0.2693,1w
2021-10-04,trending_bear,down,down,1,-5.5972,0.2733,1w
2021-10-13,trending_bear,down,neutral,0,-0.082,0.2413,1w
2021-10-22,chop,down,down,1,-2.7327,0.3307,1w
2021-11-02,chop,down,up,0,11.2997,0.2133,1w
2021-11-11,chop,down,neutral,0,-0.3799,0.2133,1w
2021-11-22,chop,down,down,1,-3.9768,0.2933,1w
2021-12-02,chop,down,down,1,-6.1808,0.4093,1w
2021-12-13,chop,down,up,0,3.2336,0.376,1w
2021-12-22,chop,down,up,0,13.8149,0.4227,1w
2022-01-03,chop,down,up,0,19.9313,0.4013,1w
2022-01-12,chop,up,up,1,6.4756,0.5787,1w
2022-01-24,chop,up,neutral,0,-0.148,0.5733,1w
2022-02-02,trending_bull,up,down,0,-5.9106,0.7973,1w
2022-02-11,trending_bull,up,down,0,-2.5825,0.6413,1w
2022-02-23,trending_bull,up,up,1,6.6959,0.5907,1w
2022-03-04,chop,up,up,1,8.0252,0.5587,1w
2022-03-15,chop,up,up,1,6.9355,0.5853,1w
2022-03-24,chop,up,up,1,0.7101,0.756,1w
2022-04-04,chop,up,down,0,-1.0138,0.7427,1w
2022-04-13,trending_bull,up,up,1,1.8679,0.6813,1w
2022-04-25,chop,up,up,1,8.5338,0.5573,1w
2022-05-04,chop,down,up,0,8.5548,0.436,1w
2022-05-13,chop,up,up,1,7.2764,0.612,1w
2022-05-24,chop,up,up,1,4.2728,0.732,1w
2022-06-03,trending_bull,up,up,1,2.8405,0.7667,1w
2022-06-14,trending_bull,up,up,1,2.632,0.768,1w
2022-06-24,trending_bull,up,up,1,3.768,0.7293,1w
2022-07-06,trending_bull,up,up,1,3.1361,0.7253,1w
2022-07-15,trending_bull,up,down,0,-0.5344,0.7467,1w
2022-07-26,trending_bull,up,down,0,-3.2158,0.8267,1w
2022-08-04,trending_bull,up,down,0,-1.5265,0.8213,1w
2022-08-15,chop,up,up,1,3.3379,0.7547,1w
2022-08-24,chop,up,up,1,0.8628,0.6533,1w
2022-09-02,chop,up,down,0,-1.3844,0.6,1w
2022-09-14,chop,up,neutral,0,-0.4039,0.5853,1w
2022-09-23,chop,neutral,up,0,4.0123,0.5053,1w
2022-10-04,chop,neutral,up,0,1.2785,0.4867,1w
2022-10-13,chop,down,neutral,0,0.2495,0.428,1w
2022-10-24,chop,neutral,up,0,9.9953,0.4587,1w
2022-11-02,chop,down,up,0,2.4423,0.3947,1w
2022-11-11,chop,neutral,up,0,2.1028,0.536,1w
2022-11-22,chop,up,up,1,2.5766,0.6653,1w
2022-12-02,chop,neutral,up,0,4.3928,0.5453,1w
2022-12-13,chop,up,up,1,3.329,0.5827,1w
2022-12-22,trending_bull,up,up,1,6.2286,0.7253,1w
2023-01-04,trending_bull,up,up,1,9.1338,0.6773,1w
2023-01-13,trending_bull,up,up,1,9.0623,0.656,1w
2023-01-25,trending_bull,up,up,1,1.1329,0.924,1w
2023-02-03,trending_bull,up,neutral,0,0.0765,0.8427,1w
