date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,19.3114,0.508,1w
2021-01-13,chop,up,up,1,8.0032,0.6747,1w
2021-01-25,trending_bull,up,up,1,6.4896,0.6067,1w
2021-02-03,crisis,up,up,1,6.7601,0.7347,1w
2021-02-12,crisis,up,up,1,5.8799,0.7427,1w
2021-02-24,crisis,up,up,1,14.7328,0.7627,1w
2021-03-05,crisis,up,up,1,3.4123,0.896,1w
2021-03-16,crisis,up,up,1,10.2341,0.8947,1w
2021-03-25,high_volatility,up,down,0,-1.116,0.9107,1w
2021-04-06,trending_bull,up,up,1,1.7237,0.868,1w
2021-04-15,high_volatility,up,down,0,-1.8596,0.7693,1w
2021-04-26,trending_bull,up,up,1,13.9115,0.748,1w
2021-05-05,crisis,up,up,1,8.0612,0.6747,1w
2021-05-14,crisis,up,up,1,4.0852,0.608,1w
2021-05-25,crisis,up,down,0,-15.19,0.7293,1w
2021-06-04,high_volatility,up,down,0,-21.2584,0.6747,1w
2021-06-15,high_volatility,up,down,0,-18.9852,0.6693,1w
2021-06-24,crisis,down,up,0,3.0311,0.3853,1w
2021-07-06,crisis,down,up,0,8.6264,0.376,1w
2021-07-15,high_volatility,down,up,0,14.4044,0.304,1w
2021-07-26,trending_bear,neutral,up,0,12.423,0.4867,1w
2021-08-04,chop,down,up,0,9.573,0.3787,1w
2021-08-13,chop,down,up,0,3.9901,0.4467,1w
2021-08-24,chop,neutral,down,0,-8.0003,0.4533,1w
2021-09-02,chop,down,down,1,-3.8024,0.336,1w
2021-09-14,chop,down,down,1,-1.5515,0.4147,1w
2021-09-23,chop,up,up,1,23.34,0.56,1w
2021-10-04,chop,up,up,1,14.5035,0.6107,1w
2021-10-13,chop,up,up,1,8.5262,0.668,1w
2021-10-22,chop,up,up,1,3.4921,0.688,1w
2021-11-02,trending_bull,up,up,1,2.447,0.764,1w
2021-11-11,trending_bull,up,down,0,-8.8908,0.6773,1w
2021-11-22,chop,up,down,0,-6.4048,0.5867,1w
2021-12-02,chop,up,down,0,-5.5816,0.64,1w
2021-12-13,chop,neutral,up,0,4.9561,0.52,1w
2021-12-22,chop,up,up,1,6.9693,0.7427,1w
2022-01-03,chop,up,up,1,2.0856,0.58,1w
2022-01-12,chop,up,neutral,0,0.0334,0.5907,1w
2022-01-24,chop,neutral,down,0,-6.0824,0.5387,1w
2022-02-02,chop,down,up,0,1.5589,0.4253,1w
2022-02-11,chop,down,down,1,-14.054,0.4133,1w
2022-02-23,chop,down,down,1,-7.0365,0.3187,1w
2022-03-04,chop,down,neutral,0,0.1366,0.4133,1w
2022-03-15,trending_bear,down,up,0,12.7115,0.296,1w
2022-03-24,trending_bear,down,up,0,6.4237,0.3507,1w
2022-04-04,chop,neutral,down,0,-9.4797,0.492,1w
2022-04-13,chop,down,down,1,-8.4455,0.424,1w
2022-04-25,chop,down,down,1,-3.6155,0.376,1w
2022-05-04,chop,down,down,1,-1.0719,0.3293,1w
2022-05-13,chop,down,up,0,4.053,0.2693,1w
2022-05-24,chop,down,neutral,0,0.4598,0.3893,1w
2022-06-03,chop,down,neutral,0,-0.2792,0.3507,1w
2022-06-14,chop,neutral,up,0,1.267,0.524,1w
2022-06-24,chop,neutral,up,0,9.1347,0.456,1w
2022-07-06,chop,down,up,0,7.5875,0.2947,1w
2022-07-15,chop,down,up,0,6.7592,0.36,1w
2022-07-26,chop,neutral,up,0,1.3553,0.5427,1w
2022-08-04,chop,up,up,1,4.8265,0.6573,1w
2022-08-15,chop,up,up,1,7.4338,0.752,1w
2022-08-24,chop,up,up,1,4.0042,0.6893,1w
2022-09-02,chop,up,down,0,-5.3443,0.768,1w
2022-09-14,chop,up,down,0,-1.9116,0.788,1w
2022-09-23,chop,up,down,0,-2.6249,0.7787,1w
2022-10-04,chop,up,up,1,2.7458,0.6093,1w
2022-10-13,chop,up,down,0,-6.8522,0.6693,1w
2022-10-24,chop,neutral,down,0,-3.2155,0.5227,1w
2022-11-02,chop,neutral,down,0,-2.365,0.4867,1w
2022-11-11,chop,down,down,1,-2.8669,0.3893,1w
2022-11-22,chop,down,up,0,1.0199,0.3893,1w
2022-12-02,chop,down,up,0,2.7332,0.3027,1w
2022-12-13,trending_bear,down,down,1,-3.8522,0.2347,1w
2022-12-22,chop,down,down,1,-2.4268,0.356,1w
2023-01-04,chop,neutral,down,0,-1.6178,0.4587,1w
2023-01-13,chop,down,up,0,4.073,0.2253,1w
2023-01-25,chop,down,up,0,2.3858,0.3733,1w
2023-02-03,chop,down,up,0,4.2354,0.3733,1w
2023-02-14,chop,down,up,0,6.9376,0.4213,1w
2023-02-24,chop,neutral,up,0,8.6132,0.5133,1w
2023-03-07,chop,up,up,1,12.5343,0.5907,1w
2023-03-16,trending_bull,up,up,1,3.5769,0.68,1w
2023-03-27,trending_bull,up,up,1,3.4583,0.676,1w
2023-04-05,trending_bull,up,down,0,-4.2684,0.8373,1w
2023-04-17,trending_bull,up,neutral,0,-0.2337,0.904,1w
2023-04-26,trending_bull,up,down,0,-4.5644,0.8547,1w
2023-05-05,trending_bull,up,down,0,-3.5726,0.7653,1w
2023-05-16,chop,up,down,0,-5.9904,0.752,1w
2023-05-25,chop,up,down,0,-1.0752,0.6627,1w
2023-06-06,chop,neutral,neutral,0,-0.0895,0.536,1w
2023-06-15,chop,down,up,0,6.4559,0.3467,1w
2023-06-27,chop,down,up,0,1.5308,0.3813,1w
2023-07-07,chop,down,down,1,-2.0054,0.2413,1w
2023-07-18,chop,down,down,1,-3.0196,0.436,1w
2023-07-27,chop,down,neutral,0,-0.2188,0.3707,1w
2023-08-07,crisis,down,neutral,0,-0.2634,0.296,1w
2023-08-16,high_volatility,down,down,1,-4.3108,0.3867,1w
2023-08-25,chop,down,down,1,-2.734,0.436,1w
2023-09-06,chop,down,up,0,9.2309,0.376,1w
2023-09-15,chop,down,up,0,3.1701,0.4173,1w
2023-09-26,chop,down,up,0,5.0907,0.3733,1w
2023-10-05,high_volatility,up,down,0,-4.2135,0.584,1w
2023-10-16,high_volatility,down,up,0,4.7667,0.3867,1w
2023-10-25,chop,down,up,0,8.3547,0.4253,1w
2023-11-03,chop,neutral,up,0,2.2846,0.5347,1w
2023-11-14,chop,up,down,0,-5.9555,0.5773,1w
2023-11-24,trending_bull,up,down,0,-10.4876,0.6387,1w
2023-12-05,chop,up,down,0,-5.1728,0.6307,1w
2023-12-14,trending_bear,neutral,up,0,7.7495,0.5107,1w
2023-12-26,trending_bear,down,up,0,5.8295,0.4467,1w
2024-01-05,trending_bear,down,up,0,0.7164,0.296,1w
2024-01-17,trending_bull,up,down,0,-2.831,0.5587,1w
2024-01-26,trending_bear,neutral,neutral,0,-0.1003,0.4653,1w
2024-02-06,chop,down,down,1,-0.542,0.4227,1w
2024-02-15,high_volatility,down,up,0,0.8803,0.376,1w
2024-02-27,chop,down,up,0,2.3636,0.3213,1w
2024-03-07,crisis,down,down,1,-11.8377,0.3653,1w
2024-03-18,crisis,up,down,0,-11.8433,0.6053,1w
2024-03-27,chop,up,down,0,-11.4714,0.668,1w
2024-04-08,crisis,down,down,1,-0.9106,0.284,1w
2024-04-17,high_volatility,down,up,0,6.2996,0.3067,1w
2024-04-26,chop,down,up,0,2.1863,0.38,1w
2024-05-07,chop,down,up,0,1.383,0.3787,1w
2024-05-16,chop,down,up,0,5.3715,0.376,1w
2024-05-28,chop,down,up,0,4.8693,0.3653,1w
2024-06-06,chop,down,up,0,5.1632,0.4213,1w
2024-06-17,trending_bull,down,down,1,-3.6165,0.408,1w
2024-06-27,chop,down,up,0,2.5977,0.368,1w
2024-07-09,chop,up,down,0,-4.7122,0.6067,1w
2024-07-18,chop,up,neutral,0,-0.4563,0.6267,1w
2024-07-29,chop,up,up,1,3.0845,0.6733,1w
2024-08-07,chop,neutral,up,0,3.9525,0.5467,1w
2024-08-16,chop,neutral,up,0,4.5693,0.516,1w
2024-08-27,chop,up,up,1,0.7529,0.724,1w
2024-09-06,chop,neutral,up,0,0.6949,0.548,1w
2024-09-17,chop,neutral,down,0,-2.0405,0.492,1w
2024-09-26,chop,up,down,0,-2.2163,0.6173,1w
2024-10-07,chop,neutral,up,0,0.5811,0.4653,1w
2024-10-16,chop,neutral,up,0,3.9705,0.4893,1w
2024-10-25,chop,neutral,up,0,1.443,0.4707,1w
2024-11-05,chop,up,up,1,1.4519,0.5933,1w
2024-11-14,chop,up,down,0,-1.6473,0.6027,1w
2024-11-25,chop,down,neutral,0,-0.4967,0.428,1w
