date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,neutral,0,0.1771,0.5453,1w
2021-01-13,chop,up,down,0,-1.7866,0.6467,1w
2021-01-25,crisis,down,up,0,1.8533,0.32,1w
2021-02-03,crisis,down,down,1,-4.8407,0.412,1w
2021-02-12,high_volatility,neutral,down,0,-8.1027,0.5013,1w
2021-02-24,chop,down,up,0,1.3601,0.4253,1w
2021-03-05,crisis,down,up,0,3.0608,0.4213,1w
2021-03-16,crisis,down,neutral,0,0.2033,0.376,1w
2021-03-25,chop,neutral,down,0,-7.3039,0.4693,1w
2021-04-06,chop,down,down,1,-8.0946,0.4013,1w
2021-04-15,chop,down,down,1,-11.4179,0.2733,1w
2021-04-26,chop,down,down,1,-6.1827,0.3573,1w
2021-05-05,trending_bear,down,down,1,-1.8313,0.236,1w
2021-05-14,trending_bear,down,down,1,-5.8753,0.1733,1w
2021-05-25,high_volatility,down,down,1,-7.5582,0.2747,1w
2021-06-04,chop,down,down,1,-8.4045,0.376,1w
2021-06-15,chop,down,down,1,-1.2341,0.2,1w
2021-06-24,trending_bear,down,up,0,1.9171,0.144,1w
2021-07-06,chop,down,up,0,5.9009,0.1867,1w
2021-07-15,chop,down,up,0,11.8943,0.1787,1w
2021-07-26,chop,down,up,0,4.7692,0.312,1w
2021-08-04,chop,down,down,1,-0.8969,0.3467,1w
2021-08-13,chop,up,down,0,-6.1885,0.58,1w
2021-08-24,trending_bull,neutral,down,0,-7.3445,0.4707,1w
2021-09-02,chop,down,down,1,-4.7005,0.3733,1w
2021-09-14,chop,up,down,0,-8.4231,0.5907,1w
2021-09-23,chop,down,up,0,3.6715,0.4093,1w
2021-10-04,chop,down,up,0,5.3494,0.4253,1w
2021-10-13,chop,down,up,0,12.8091,0.3733,1w
2021-10-22,chop,down,up,0,8.7676,0.4493,1w
2021-11-02,chop,neutral,up,0,7.3128,0.5013,1w
2021-11-11,chop,neutral,down,0,-2.4533,0.4707,1w
2021-11-22,trending_bull,neutral,down,0,-4.3706,0.5347,1w
2021-12-02,trending_bull,up,down,0,-3.882,0.6227,1w
2021-12-13,chop,up,up,1,2.8358,0.5653,1w
2021-12-22,chop,up,up,1,5.9834,0.6333,1w
2022-01-03,chop,up,up,1,5.1333,0.5867,1w
2022-01-12,chop,up,up,1,2.1871,0.728,1w
2022-01-24,chop,up,down,0,-1.1925,0.6747,1w
2022-02-02,chop,up,down,0,-1.5578,0.668,1w
2022-02-11,chop,neutral,down,0,-14.4375,0.5467,1w
2022-02-23,chop,down,down,1,-12.6646,0.4427,1w
2022-03-04,chop,neutral,down,0,-8.6111,0.468,1w
2022-03-15,trending_bear,down,up,0,3.2277,0.2293,1w
2022-03-24,high_volatility,down,up,0,3.6601,0.2947,1w
2022-04-04,chop,down,down,1,-1.0041,0.288,1w
2022-04-13,chop,down,down,1,-3.3073,0.2747,1w
2022-04-25,chop,down,down,1,-1.2399,0.256,1w
2022-05-04,chop,down,up,0,0.9279,0.1907,1w
2022-05-13,chop,down,up,0,4.2373,0.22,1w
2022-05-24,chop,down,up,0,3.0348,0.2493,1w
2022-06-03,chop,down,up,0,1.9688,0.32,1w
2022-06-14,chop,up,up,1,3.2249,0.5587,1w
2022-06-24,chop,up,up,1,8.0474,0.58,1w
2022-07-06,chop,up,up,1,3.9297,0.608,1w
2022-07-15,chop,up,down,0,-2.1733,0.58,1w
2022-07-26,trending_bull,up,down,0,-3.7005,0.736,1w
2022-08-04,trending_bull,up,down,0,-2.9944,0.724,1w
2022-08-15,trending_bull,up,up,1,2.4883,0.6933,1w
2022-08-24,trending_bear,up,neutral,0,-0.2918,0.668,1w
2022-09-02,chop,up,down,0,-4.5578,0.596,1w
2022-09-14,chop,up,down,0,-4.225,0.6027,1w
2022-09-23,chop,neutral,down,0,-3.2142,0.5453,1w
2022-10-04,trending_bear,down,up,0,1.7705,0.336,1w
2022-10-13,chop,down,up,0,0.8939,0.2493,1w
2022-10-24,chop,down,up,0,9.8754,0.1707,1w
2022-11-02,trending_bear,down,up,0,6.9568,0.268,1w
2022-11-11,chop,down,up,0,7.8261,0.416,1w
2022-11-22,trending_bull,up,up,1,6.0623,0.58,1w
2022-12-02,trending_bull,up,up,1,5.0796,0.6173,1w
2022-12-13,trending_bull,up,neutral,0,-0.1201,0.6613,1w
2022-12-22,trending_bull,up,up,1,2.7207,0.78,1w
2023-01-04,trending_bull,up,up,1,2.649,0.8533,1w
2023-01-13,trending_bull,up,up,1,4.9101,0.7693,1w
2023-01-25,trending_bull,up,up,1,3.7516,0.9467,1w
2023-02-03,trending_bull,up,up,1,4.5841,0.924,1w
2023-02-14,trending_bull,up,up,1,2.5648,0.904,1w
2023-02-24,trending_bull,up,up,1,3.3471,0.8773,1w
2023-03-07,trending_bull,up,up,1,2.9014,0.88,1w
2023-03-16,trending_bull,up,down,0,-3.1319,0.7693,1w
2023-03-27,trending_bull,up,down,0,-2.4111,0.836,1w
2023-04-05,trending_bull,up,down,0,-1.6287,0.8013,1w
2023-04-17,high_volatility,up,up,1,6.2736,0.676,1w
2023-04-26,high_volatility,up,up,1,1.9353,0.6627,1w
2023-05-05,chop,up,neutral,0,0.2427,0.6653,1w
2023-05-16,chop,up,down,0,-3.6273,0.692,1w
2023-05-25,chop,up,neutral,0,0.0788,0.584,1w
2023-06-06,chop,neutral,up,0,0.7363,0.516,1w
2023-06-15,chop,down,up,0,7.2751,0.4067,1w
2023-06-27,chop,down,up,0,5.9556,0.3653,1w
2023-07-07,chop,down,down,1,-0.5988,0.4093,1w
2023-07-18,trending_bull,up,neutral,0,0.3696,0.7947,1w
2023-07-27,crisis,up,up,1,2.8143,0.6747,1w
2023-08-07,crisis,neutral,up,0,8.1829,0.4707,1w
2023-08-16,high_volatility,neutral,up,0,3.0158,0.5453,1w
2023-08-25,chop,up,neutral,0,0.3403,0.6987,1w
2023-09-06,trending_bull,up,up,1,3.4445,0.7107,1w
2023-09-15,high_volatility,up,up,1,3.8387,0.7253,1w
2023-09-26,chop,up,up,1,4.7312,0.7133,1w
2023-10-05,chop,up,up,1,2.6391,0.7107,1w
2023-10-16,chop,up,up,1,4.8231,0.6827,1w
2023-10-25,chop,up,up,1,8.7926,0.7,1w
2023-11-03,chop,up,up,1,7.6001,0.7867,1w
2023-11-14,high_volatility,up,neutral,0,-0.2015,0.764,1w
2023-11-24,high_volatility,up,down,0,-3.6449,0.752,1w
2023-12-05,trending_bull,up,down,0,-3.4982,0.764,1w
2023-12-14,chop,up,up,1,1.1576,0.6933,1w
2023-12-26,high_volatility,up,up,1,4.5001,0.668,1w
2024-01-05,high_volatility,up,up,1,7.8212,0.6373,1w
2024-01-17,crisis,up,up,1,3.8622,0.58,1w
2024-01-26,trending_bull,up,neutral,0,-0.2925,0.6907,1w
2024-02-06,trending_bull,up,down,0,-7.3331,0.724,1w
2024-02-15,chop,up,down,0,-5.0201,0.612,1w
2024-02-27,high_volatility,neutral,down,0,-5.3493,0.456,1w
2024-03-07,crisis,down,down,1,-7.4154,0.332,1w
2024-03-18,crisis,neutral,down,0,-5.682,0.4653,1w
2024-03-27,high_volatility,neutral,down,0,-2.2887,0.4653,1w
2024-04-08,crisis,down,up,0,5.5685,0.2947,1w
2024-04-17,high_volatility,down,up,0,13.0778,0.352,1w
2024-04-26,chop,down,up,0,4.2863,0.388,1w
2024-05-07,chop,down,up,0,2.2864,0.4093,1w
2024-05-16,chop,down,down,1,-2.1815,0.4493,1w
2024-05-28,chop,down,up,0,3.1191,0.424,1w
2024-06-06,chop,up,up,1,3.5853,0.58,1w
2024-06-17,chop,neutral,up,0,4.3875,0.4907,1w
2024-06-27,chop,neutral,neutral,0,0.076,0.548,1w
2024-07-09,trending_bull,up,down,0,-0.5943,0.7347,1w
2024-07-18,chop,up,neutral,0,-0.1519,0.8173,1w
2024-07-29,trending_bull,up,up,1,2.826,0.704,1w
2024-08-07,chop,up,up,1,2.9134,0.5827,1w
2024-08-16,chop,neutral,up,0,2.3832,0.5333,1w
2024-08-27,chop,up,up,1,0.5894,0.6387,1w
2024-09-06,chop,up,up,1,0.9897,0.5907,1w
2024-09-17,chop,up,down,0,-3.499,0.6987,1w
2024-09-26,chop,neutral,down,0,-1.6336,0.5467,1w
2024-10-07,chop,neutral,down,0,-1.7067,0.5453,1w
2024-10-16,chop,down,down,1,-2.5383,0.4093,1w
2024-10-25,chop,neutral,up,0,1.651,0.4907,1w
2024-11-05,chop,neutral,up,0,1.3263,0.4893,1w
2024-11-14,chop,down,up,0,6.3461,0.3653,1w
2024-11-25,chop,down,up,0,4.094,0.3813,1w
