date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-7.4806,0.7827,1w
2021-01-13,high_volatility,up,down,0,-5.3159,0.6787,1w
2021-01-25,crisis,down,down,1,-2.6429,0.4053,1w
2021-02-03,crisis,neutral,down,0,-6.8963,0.4587,1w
2021-02-12,high_volatility,down,down,1,-8.7159,0.4013,1w
2021-02-24,high_volatility,down,up,0,4.9814,0.2813,1w
2021-03-05,crisis,down,up,0,6.0119,0.312,1w
2021-03-16,crisis,down,up,0,1.3982,0.1947,1w
2021-03-25,high_volatility,down,down,1,-9.6203,0.2987,1w
2021-04-06,chop,down,down,1,-10.9308,0.3147,1w
2021-04-15,chop,down,down,1,-12.5092,0.28,1w
2021-04-26,chop,down,down,1,-7.6843,0.3507,1w
2021-05-05,high_volatility,down,down,1,-3.6609,0.2947,1w
2021-05-14,crisis,down,down,1,-7.7874,0.2653,1w
2021-05-25,crisis,down,down,1,-2.2147,0.352,1w
2021-06-04,high_volatility,down,down,1,-7.6039,0.4093,1w
2021-06-15,high_volatility,down,up,0,3.4569,0.2813,1w
2021-06-24,high_volatility,down,up,0,2.1731,0.2253,1w
2021-07-06,chop,down,up,0,12.7344,0.22,1w
2021-07-15,chop,down,up,0,13.771,0.2947,1w
2021-07-26,chop,down,up,0,7.0524,0.3893,1w
2021-08-04,chop,down,down,1,-8.6591,0.448,1w
2021-08-13,trending_bull,up,down,0,-12.9058,0.6133,1w
2021-08-24,trending_bull,up,down,0,-12.5273,0.5907,1w
2021-09-02,trending_bear,down,down,1,-7.5933,0.4067,1w
2021-09-14,chop,neutral,down,0,-11.7997,0.544,1w
2021-09-23,chop,down,neutral,0,0.4849,0.3653,1w
2021-10-04,trending_bear,down,neutral,0,0.1817,0.3693,1w
2021-10-13,trending_bear,down,up,0,8.92,0.2747,1w
2021-10-22,trending_bear,down,up,0,3.657,0.3547,1w
2021-11-02,chop,down,up,0,11.2155,0.252,1w
2021-11-11,chop,down,neutral,0,0.4732,0.2853,1w
2021-11-22,chop,down,down,1,-3.8614,0.3507,1w
2021-12-02,chop,neutral,down,0,-8.6777,0.5013,1w
2021-12-13,chop,neutral,down,0,-3.588,0.4853,1w
2021-12-22,chop,neutral,up,0,7.8734,0.512,1w
2022-01-03,chop,down,up,0,15.6821,0.4253,1w
2022-01-12,chop,up,up,1,9.4413,0.5827,1w
2022-01-24,chop,up,up,1,3.4107,0.56,1w
2022-02-02,chop,up,down,0,-0.6772,0.6933,1w
2022-02-11,trending_bull,up,down,0,-2.5659,0.588,1w
2022-02-23,trending_bull,neutral,up,0,7.4893,0.5387,1w
