date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-1.5564,0.8413,1w
2021-01-13,trending_bull,up,down,0,-1.6026,0.7667,1w
2021-01-25,high_volatility,up,neutral,0,-0.3566,0.6933,1w
2021-02-03,crisis,up,down,0,-1.2368,0.6573,1w
2021-02-12,high_volatility,up,down,0,-4.5581,0.5867,1w
2021-02-24,high_volatility,up,down,0,-0.7949,0.5907,1w
2021-03-05,crisis,up,up,1,1.4863,0.6893,1w
2021-03-16,crisis,down,up,0,7.28,0.32,1w
2021-03-25,high_volatility,down,up,0,6.4768,0.404,1w
2021-04-06,chop,down,neutral,0,-0.0131,0.428,1w
2021-04-15,trending_bull,neutral,down,0,-3.8676,0.52,1w
2021-04-26,trending_bull,up,down,0,-9.3354,0.5867,1w
2021-05-05,crisis,down,down,1,-4.5443,0.4427,1w
2021-05-14,crisis,neutral,down,0,-8.551,0.48,1w
2021-05-25,crisis,down,down,1,-1.8455,0.3893,1w
2021-06-04,high_volatility,down,down,1,-0.7095,0.424,1w
2021-06-15,high_volatility,down,up,0,5.3292,0.376,1w
2021-06-24,high_volatility,down,up,0,0.9746,0.3867,1w
2021-07-06,chop,down,up,0,3.221,0.376,1w
2021-07-15,chop,down,up,0,3.5235,0.304,1w
2021-07-26,chop,down,up,0,3.2838,0.3067,1w
2021-08-04,chop,down,down,1,-1.7244,0.388,1w
2021-08-13,chop,down,down,1,-5.8615,0.4227,1w
2021-08-24,trending_bull,up,down,0,-6.5151,0.5733,1w
2021-09-02,chop,down,down,1,-5.8413,0.448,1w
2021-09-14,chop,up,down,0,-5.1142,0.56,1w
2021-09-23,chop,down,down,1,-0.6774,0.3573,1w
2021-10-04,trending_bear,down,up,0,5.2242,0.2573,1w
2021-10-13,trending_bear,down,up,0,7.0234,0.2627,1w
2021-10-22,trending_bear,down,up,0,7.4697,0.2973,1w
2021-11-02,chop,down,up,0,7.8456,0.3853,1w
2021-11-11,chop,down,up,0,4.3118,0.3787,1w
2021-11-22,chop,down,down,1,-0.5827,0.4467,1w
2021-12-02,trending_bull,up,down,0,-3.0929,0.6027,1w
2021-12-13,trending_bull,up,down,0,-2.1631,0.6333,1w
2021-12-22,chop,up,down,0,-2.1928,0.668,1w
2022-01-03,chop,up,down,0,-1.1668,0.6747,1w
2022-01-12,chop,up,down,0,-1.2577,0.684,1w
