date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-8.3967,0.82,1w
2021-01-13,high_volatility,up,down,0,-6.0779,0.6587,1w
2021-01-25,crisis,down,down,1,-5.1713,0.42,1w
2021-02-03,crisis,down,down,1,-3.2406,0.3973,1w
2021-02-12,high_volatility,down,neutral,0,0.3743,0.3733,1w
2021-02-24,trending_bear,down,up,0,5.6952,0.312,1w
2021-03-05,high_volatility,down,up,0,6.1973,0.384,1w
2021-03-16,high_volatility,down,up,0,6.8983,0.2747,1w
2021-03-25,chop,down,up,0,5.9897,0.2893,1w
2021-04-06,chop,down,down,1,-6.493,0.3773,1w
2021-04-15,chop,neutral,down,0,-14.274,0.4587,1w
2021-04-26,chop,up,down,0,-12.6984,0.58,1w
2021-05-05,crisis,down,down,1,-4.475,0.3867,1w
2021-05-14,crisis,down,down,1,-9.0508,0.324,1w
2021-05-25,trending_bear,down,down,1,-4.9555,0.4213,1w
2021-06-04,high_volatility,down,down,1,-4.7597,0.3787,1w
2021-06-15,high_volatility,down,up,0,4.5354,0.2253,1w
2021-06-24,high_volatility,down,up,0,1.148,0.2747,1w
2021-07-06,chop,down,up,0,5.1945,0.224,1w
2021-07-15,chop,down,up,0,11.0732,0.1907,1w
2021-07-26,chop,down,up,0,1.6993,0.2413,1w
2021-08-04,chop,down,down,1,-3.6255,0.368,1w
2021-08-13,chop,up,down,0,-8.7232,0.5827,1w
2021-08-24,chop,neutral,down,0,-11.8691,0.4587,1w
2021-09-02,chop,down,down,1,-10.3345,0.3867,1w
2021-09-14,chop,up,down,0,-16.8053,0.6173,1w
2021-09-23,trending_bear,down,down,1,-7.4479,0.268,1w
2021-10-04,trending_bear,down,down,1,-1.5835,0.2373,1w
2021-10-13,trending_bear,down,up,0,11.8938,0.1693,1w
2021-10-22,trending_bear,down,up,0,10.5916,0.1693,1w
2021-11-02,trending_bear,down,up,0,9.6612,0.2093,1w
2021-11-11,chop,down,neutral,0,-0.3098,0.24,1w
2021-11-22,chop,down,down,1,-3.014,0.296,1w
2021-12-02,chop,down,down,1,-3.7955,0.3973,1w
2021-12-13,chop,down,up,0,1.9554,0.376,1w
2021-12-22,chop,neutral,up,0,7.483,0.4587,1w
2022-01-03,chop,neutral,up,0,10.3112,0.4707,1w
2022-01-12,chop,up,up,1,2.3508,0.6933,1w
2022-01-24,chop,up,down,0,-1.7451,0.6933,1w
2022-02-02,chop,up,down,0,-5.7617,0.7347,1w
2022-02-11,chop,up,down,0,-7.4619,0.576,1w
2022-02-23,chop,neutral,down,0,-6.2085,0.5,1w
2022-03-04,chop,neutral,down,0,-0.8674,0.4587,1w
2022-03-15,trending_bear,down,down,1,-0.5921,0.3573,1w
2022-03-24,trending_bear,down,up,0,3.8147,0.4053,1w
2022-04-04,trending_bear,down,neutral,0,0.0543,0.4213,1w
2022-04-13,chop,down,down,1,-1.0954,0.3027,1w
2022-04-25,chop,down,down,1,-3.3754,0.3173,1w
2022-05-04,chop,down,down,1,-2.1368,0.256,1w
2022-05-13,chop,down,up,0,4.2742,0.2987,1w
2022-05-24,chop,down,up,0,4.8811,0.304,1w
2022-06-03,chop,down,up,0,4.002,0.4093,1w
2022-06-14,chop,neutral,up,0,2.9151,0.5013,1w
2022-06-24,chop,up,up,1,4.749,0.5693,1w
2022-07-06,chop,up,down,0,-1.9053,0.5573,1w
2022-07-15,chop,neutral,down,0,-3.4872,0.5493,1w
2022-07-26,chop,up,down,0,-4.3421,0.648,1w
2022-08-04,chop,down,down,1,-2.4241,0.436,1w
2022-08-15,chop,neutral,up,0,1.5677,0.544,1w
2022-08-24,trending_bear,up,down,0,-4.5675,0.5733,1w
2022-09-02,chop,down,down,1,-8.4939,0.4467,1w
2022-09-14,chop,down,down,1,-5.9152,0.392,1w
2022-09-23,chop,down,down,1,-3.0089,0.2413,1w
2022-10-04,trending_bear,down,up,0,2.6024,0.1507,1w
2022-10-13,trending_bear,down,down,1,-1.7008,0.2013,1w
2022-10-24,trending_bear,down,up,0,12.3952,0.1467,1w
2022-11-02,trending_bear,down,up,0,8.8579,0.2667,1w
2022-11-11,chop,down,up,0,9.6272,0.328,1w
2022-11-22,trending_bull,neutral,up,0,10.5523,0.4573,1w
2022-12-02,trending_bull,up,up,1,4.5422,0.5667,1w
2022-12-13,trending_bull,up,down,0,-1.9066,0.6027,1w
2022-12-22,trending_bull,up,down,0,-3.3983,0.764,1w
2023-01-04,trending_bull,up,down,0,-4.4286,0.768,1w
2023-01-13,trending_bull,up,down,0,-1.9181,0.724,1w
2023-01-25,chop,up,down,0,-0.5456,0.8147,1w
2023-02-03,trending_bear,up,up,1,4.1448,0.6213,1w
2023-02-14,chop,up,up,1,0.7484,0.6107,1w
2023-02-24,chop,up,up,1,0.6808,0.6053,1w
2023-03-07,chop,up,down,0,-2.6667,0.584,1w
2023-03-16,chop,down,down,1,-7.0673,0.3733,1w
2023-03-27,chop,down,down,1,-7.2556,0.3387,1w
2023-04-05,chop,down,down,1,-4.34,0.392,1w
2023-04-17,high_volatility,down,up,0,8.6762,0.296,1w
2023-04-26,chop,down,up,0,2.441,0.3293,1w
2023-05-05,chop,down,up,0,2.1112,0.3867,1w
2023-05-16,chop,neutral,down,0,-0.5934,0.4707,1w
2023-05-25,chop,down,up,0,2.7299,0.3973,1w
2023-06-06,chop,down,up,0,1.3326,0.3733,1w
2023-06-15,chop,down,up,0,7.789,0.4253,1w
2023-06-27,chop,down,up,0,6.9029,0.3733,1w
2023-07-07,chop,down,up,0,8.2031,0.448,1w
2023-07-18,trending_bull,up,up,1,3.2544,0.8467,1w
2023-07-27,trending_bull,up,up,1,5.7331,0.7693,1w
2023-08-07,crisis,up,up,1,5.7697,0.7467,1w
2023-08-16,trending_bull,up,up,1,8.3612,0.6987,1w
2023-08-25,trending_bull,up,up,1,3.5284,0.872,1w
2023-09-06,trending_bull,up,neutral,0,0.4471,0.8453,1w
2023-09-15,trending_bull,up,down,0,-0.9103,0.9147,1w
2023-09-26,trending_bull,up,neutral,0,0.4296,0.9,1w
2023-10-05,trending_bull,up,neutral,0,0.0463,0.8013,1w
2023-10-16,chop,up,down,0,-3.1306,0.7347,1w
2023-10-25,chop,up,neutral,0,0.0454,0.7227,1w
2023-11-03,chop,up,neutral,0,0.2967,0.6227,1w
2023-11-14,high_volatility,up,neutral,0,-0.2329,0.576,1w
2023-11-24,chop,neutral,down,0,-7.6793,0.5053,1w
2023-12-05,chop,neutral,down,0,-7.1112,0.488,1w
2023-12-14,chop,down,down,1,-2.5302,0.3027,1w
2023-12-26,high_volatility,down,up,0,1.4191,0.2693,1w
2024-01-05,trending_bear,down,up,0,5.3527,0.296,1w
2024-01-17,crisis,down,up,0,2.7507,0.2747,1w
2024-01-26,high_volatility,down,up,0,4.5887,0.3307,1w
2024-02-06,high_volatility,down,neutral,0,0.2144,0.3787,1w
2024-02-15,chop,down,down,1,-0.7567,0.424,1w
2024-02-27,chop,down,down,1,-3.4182,0.3667,1w
2024-03-07,crisis,down,down,1,-10.338,0.3733,1w
2024-03-18,crisis,down,down,1,-2.889,0.432,1w
2024-03-27,chop,neutral,down,0,-1.7682,0.5013,1w
2024-04-08,crisis,down,up,0,5.4833,0.2987,1w
2024-04-17,high_volatility,down,up,0,6.2863,0.4333,1w
2024-04-26,trending_bear,neutral,up,0,0.9443,0.4773,1w
2024-05-07,chop,down,up,0,0.6008,0.436,1w
2024-05-16,chop,neutral,neutral,0,-0.0955,0.4653,1w
2024-05-28,chop,down,neutral,0,0.155,0.4053,1w
2024-06-06,chop,neutral,down,0,-0.5768,0.4827,1w
2024-06-17,chop,neutral,up,0,1.3147,0.4653,1w
2024-06-27,chop,neutral,up,0,1.0791,0.456,1w
2024-07-09,chop,up,down,0,-0.7698,0.64,1w
2024-07-18,chop,up,down,0,-2.4807,0.6667,1w
2024-07-29,chop,neutral,up,0,1.618,0.5387,1w
2024-08-07,chop,down,up,0,2.1214,0.4347,1w
2024-08-16,chop,down,up,0,0.5499,0.448,1w
2024-08-27,chop,neutral,neutral,0,-0.0703,0.496,1w
2024-09-06,chop,down,down,1,-0.5366,0.4293,1w
2024-09-17,chop,neutral,up,0,1.2207,0.4893,1w
2024-09-26,chop,neutral,down,0,-0.807,0.4867,1w
2024-10-07,chop,down,down,1,-0.9725,0.4333,1w
2024-10-16,chop,down,down,1,-4.2373,0.4013,1w
2024-10-25,chop,neutral,up,0,2.0172,0.4947,1w
2024-11-05,chop,down,down,1,-1.2842,0.428,1w
2024-11-14,chop,down,neutral,0,-0.2449,0.368,1w
2024-11-25,chop,down,down,1,-1.4302,0.3893,1w
