date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-3.584,0.7547,1w
2021-01-13,chop,up,down,0,-3.667,0.668,1w
2021-01-25,chop,neutral,down,0,-2.9774,0.5453,1w
2021-02-03,crisis,neutral,neutral,0,0.0288,0.5173,1w
2021-02-12,high_volatility,neutral,up,0,4.953,0.48,1w
2021-02-24,trending_bear,down,up,0,9.9254,0.3893,1w
2021-03-05,crisis,up,up,1,7.2147,0.5827,1w
2021-03-16,crisis,neutral,up,0,7.662,0.4827,1w
2021-03-25,chop,neutral,up,0,3.4988,0.516,1w
2021-04-06,trending_bull,up,down,0,-5.4992,0.6347,1w
2021-04-15,trending_bull,up,down,0,-7.1795,0.704,1w
2021-04-26,trending_bull,up,down,0,-1.546,0.684,1w
2021-05-05,crisis,neutral,up,0,3.2191,0.52,1w
2021-05-14,crisis,up,down,0,-4.7179,0.5933,1w
2021-05-25,high_volatility,up,down,0,-7.6667,0.7307,1w
2021-06-04,high_volatility,up,down,0,-5.9107,0.6067,1w
2021-06-15,crisis,down,up,0,5.7992,0.3653,1w
2021-06-24,crisis,down,up,0,1.8693,0.352,1w
2021-07-06,crisis,down,up,0,6.0182,0.32,1w
2021-07-15,chop,down,up,0,9.9771,0.296,1w
2021-07-26,chop,down,up,0,7.7206,0.376,1w
2021-08-04,chop,neutral,up,0,1.2215,0.528,1w
2021-08-13,chop,up,down,0,-1.7063,0.6173,1w
2021-08-24,trending_bull,neutral,down,0,-4.3552,0.536,1w
2021-09-02,chop,neutral,down,0,-8.999,0.5013,1w
2021-09-14,chop,up,down,0,-19.206,0.76,1w
2021-09-23,chop,up,down,0,-11.7754,0.5867,1w
2021-10-04,crisis,down,down,1,-2.6431,0.3813,1w
2021-10-13,crisis,down,up,0,9.1817,0.2413,1w
2021-10-22,crisis,down,up,0,8.3333,0.2813,1w
2021-11-02,high_volatility,down,up,0,7.5011,0.292,1w
2021-11-11,high_volatility,down,up,0,6.4189,0.284,1w
2021-11-22,chop,down,up,0,2.0757,0.312,1w
2021-12-02,chop,down,neutral,0,0.066,0.4013,1w
2021-12-13,chop,down,down,1,-0.6801,0.3787,1w
2021-12-22,chop,down,down,1,-0.8406,0.4467,1w
2022-01-03,chop,neutral,down,0,-2.5021,0.52,1w
2022-01-12,chop,up,down,0,-4.5002,0.728,1w
2022-01-24,chop,up,down,0,-3.0149,0.6667,1w
2022-02-02,chop,up,down,0,-1.9732,0.58,1w
2022-02-11,chop,neutral,down,0,-0.973,0.4693,1w
2022-02-23,chop,down,down,1,-0.6543,0.3467,1w
2022-03-04,trending_bear,down,up,0,3.9524,0.296,1w
2022-03-15,chop,down,up,0,2.6291,0.2747,1w
2022-03-24,chop,down,up,0,6.2795,0.312,1w
2022-04-04,chop,down,down,1,-1.0531,0.3467,1w
2022-04-13,chop,down,down,1,-1.6024,0.3813,1w
2022-04-25,chop,neutral,down,0,-4.0873,0.5133,1w
2022-05-04,chop,neutral,down,0,-5.2151,0.4947,1w
2022-05-13,chop,neutral,down,0,-0.6452,0.48,1w
2022-05-24,chop,down,up,0,2.4899,0.4173,1w
2022-06-03,trending_bear,neutral,up,0,1.5599,0.4653,1w
2022-06-14,chop,down,neutral,0,-0.4907,0.4013,1w
2022-06-24,chop,neutral,up,0,4.1254,0.4587,1w
2022-07-06,chop,down,down,1,-2.141,0.2947,1w
2022-07-15,chop,down,down,1,-3.889,0.312,1w
2022-07-26,chop,neutral,down,0,-6.0128,0.4707,1w
2022-08-04,chop,down,down,1,-3.5949,0.244,1w
2022-08-15,chop,down,up,0,3.0332,0.2933,1w
2022-08-24,trending_bear,down,neutral,0,0.1291,0.3893,1w
2022-09-02,trending_bear,down,down,1,-7.4084,0.2853,1w
2022-09-14,chop,down,down,1,-7.945,0.3813,1w
2022-09-23,chop,down,down,1,-3.7351,0.3453,1w
2022-10-04,trending_bear,down,up,0,8.946,0.1667,1w
2022-10-13,trending_bear,down,down,1,-0.5175,0.236,1w
2022-10-24,trending_bear,down,up,0,5.358,0.1893,1w
2022-11-02,trending_bull,down,up,0,2.2955,0.376,1w
2022-11-11,chop,down,up,0,6.4214,0.332,1w
2022-11-22,chop,down,up,0,0.8293,0.4253,1w
2022-12-02,chop,neutral,up,0,3.2877,0.524,1w
2022-12-13,chop,neutral,down,0,-2.8879,0.504,1w
2022-12-22,chop,neutral,down,0,-3.127,0.52,1w
2023-01-04,chop,up,down,0,-6.6946,0.764,1w
2023-01-13,chop,up,down,0,-2.3169,0.5853,1w
2023-01-25,trending_bear,neutral,down,0,-0.7679,0.5467,1w
2023-02-03,chop,down,up,0,4.5507,0.4013,1w
2023-02-14,chop,down,up,0,3.5237,0.3893,1w
2023-02-24,chop,down,up,0,3.335,0.388,1w
2023-03-07,chop,neutral,up,0,3.3155,0.4907,1w
2023-03-16,chop,down,down,1,-0.7275,0.396,1w
2023-03-27,chop,neutral,up,0,2.638,0.4907,1w
2023-04-05,chop,neutral,up,0,4.833,0.496,1w
2023-04-17,chop,neutral,up,0,13.1866,0.5173,1w
2023-04-26,chop,up,up,1,8.0224,0.7147,1w
2023-05-05,chop,up,up,1,2.7466,0.8013,1w
2023-05-16,trending_bull,up,down,0,-3.2374,0.9027,1w
2023-05-25,trending_bull,up,down,0,-2.9195,0.8587,1w
2023-06-06,trending_bull,up,down,0,-2.1733,0.78,1w
2023-06-15,chop,up,up,1,2.1762,0.728,1w
2023-06-27,chop,up,up,1,3.2796,0.6267,1w
2023-07-07,chop,up,up,1,5.8849,0.6027,1w
2023-07-18,chop,up,up,1,5.7959,0.728,1w
2023-07-27,trending_bull,up,up,1,6.1827,0.684,1w
2023-08-07,high_volatility,up,up,1,4.5851,0.5987,1w
2023-08-16,trending_bull,neutral,up,0,6.3138,0.5453,1w
