date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-11.5258,0.7347,1w
2021-01-13,crisis,up,down,0,-7.7771,0.6267,1w
2021-01-25,crisis,down,down,1,-4.2937,0.3333,1w
2021-02-03,crisis,down,down,1,-5.7256,0.296,1w
2021-02-12,crisis,down,down,1,-9.1644,0.3027,1w
2021-02-24,high_volatility,down,up,0,8.0694,0.1867,1w
2021-03-05,crisis,down,up,0,8.1087,0.2307,1w
2021-03-16,crisis,down,up,0,4.3565,0.2,1w
2021-03-25,high_volatility,down,down,1,-4.2792,0.3333,1w
2021-04-06,chop,down,down,1,-12.9574,0.2933,1w
2021-04-15,chop,down,down,1,-19.0018,0.2867,1w
2021-04-26,chop,down,down,1,-20.1197,0.4093,1w
2021-05-05,high_volatility,down,down,1,-7.1189,0.3147,1w
2021-05-14,crisis,down,down,1,-9.5326,0.2253,1w
2021-05-25,crisis,down,up,0,2.973,0.2733,1w
2021-06-04,crisis,down,down,1,-6.2281,0.376,1w
2021-06-15,high_volatility,down,up,0,3.7618,0.2493,1w
2021-06-24,high_volatility,down,up,0,4.3744,0.216,1w
2021-07-06,chop,down,up,0,16.6889,0.2013,1w
2021-07-15,chop,down,up,0,17.3087,0.2267,1w
2021-07-26,chop,down,up,0,10.0081,0.3187,1w
2021-08-04,chop,down,down,1,-6.1199,0.448,1w
2021-08-13,trending_bull,up,down,0,-7.6397,0.5987,1w
2021-08-24,trending_bull,up,down,0,-8.4468,0.6813,1w
2021-09-02,chop,neutral,down,0,-8.1044,0.5027,1w
2021-09-14,chop,up,down,0,-12.9649,0.6573,1w
2021-09-23,chop,neutral,down,0,-2.7455,0.4987,1w
2021-10-04,chop,neutral,down,0,-3.3882,0.4653,1w
2021-10-13,trending_bear,down,up,0,0.8326,0.4067,1w
2021-10-22,trending_bear,down,down,1,-2.8254,0.4067,1w
2021-11-02,chop,down,up,0,6.5388,0.2347,1w
2021-11-11,chop,down,down,1,-3.6598,0.2253,1w
