date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,27.2112,0.4667,1w
2021-01-13,chop,up,up,1,11.1996,0.7293,1w
2021-01-25,trending_bull,up,up,1,6.2064,0.7013,1w
2021-02-03,crisis,up,up,1,1.6353,0.7867,1w
2021-02-12,crisis,up,up,1,2.082,0.756,1w
2021-02-24,crisis,up,up,1,8.2845,0.7867,1w
2021-03-05,crisis,up,down,0,-1.1535,0.88,1w
2021-03-16,crisis,up,up,1,10.8521,0.8333,1w
2021-03-25,high_volatility,up,up,1,2.0988,0.8307,1w
2021-04-06,chop,up,up,1,6.0486,0.7867,1w
2021-04-15,chop,up,neutral,0,0.4308,0.724,1w
2021-04-26,trending_bull,up,up,1,15.3072,0.68,1w
2021-05-05,high_volatility,up,up,1,7.6014,0.5987,1w
2021-05-14,crisis,up,up,1,7.8663,0.5747,1w
2021-05-25,crisis,up,down,0,-9.7352,0.7107,1w
2021-06-04,high_volatility,up,down,0,-14.4112,0.6587,1w
2021-06-15,crisis,up,down,0,-13.486,0.7413,1w
2021-06-24,crisis,neutral,up,0,3.5443,0.5053,1w
2021-07-06,crisis,neutral,up,0,9.2939,0.5013,1w
2021-07-15,high_volatility,down,up,0,12.2704,0.4253,1w
2021-07-26,high_volatility,up,up,1,10.4008,0.5827,1w
2021-08-04,chop,neutral,up,0,8.7075,0.4707,1w
2021-08-13,chop,neutral,up,0,3.2604,0.5467,1w
2021-08-24,chop,neutral,down,0,-8.1254,0.524,1w
2021-09-02,chop,down,down,1,-3.8393,0.412,1w
2021-09-14,chop,neutral,up,0,0.7781,0.4707,1w
2021-09-23,chop,neutral,up,0,23.4519,0.5427,1w
2021-10-04,chop,up,up,1,17.4662,0.6067,1w
2021-10-13,chop,up,up,1,8.4716,0.668,1w
2021-10-22,chop,up,up,1,4.9375,0.6827,1w
2021-11-02,trending_bull,up,up,1,1.8994,0.78,1w
2021-11-11,trending_bull,up,down,0,-6.1483,0.6987,1w
2021-11-22,trending_bull,up,down,0,-5.36,0.6333,1w
2021-12-02,chop,up,down,0,-3.0493,0.676,1w
2021-12-13,chop,up,up,1,5.5664,0.588,1w
2021-12-22,chop,up,up,1,7.4896,0.78,1w
2022-01-03,chop,up,up,1,4.0535,0.656,1w
2022-01-12,chop,up,up,1,4.9107,0.656,1w
2022-01-24,chop,up,down,0,-1.4291,0.588,1w
2022-02-02,high_volatility,neutral,up,0,2.4712,0.5013,1w
2022-02-11,chop,neutral,down,0,-12.7126,0.5467,1w
2022-02-23,chop,down,down,1,-6.5192,0.416,1w
2022-03-04,chop,neutral,up,0,3.0553,0.5387,1w
2022-03-15,chop,down,up,0,14.8669,0.3813,1w
2022-03-24,trending_bear,down,up,0,10.1323,0.432,1w
2022-04-04,chop,up,down,0,-9.3598,0.5867,1w
2022-04-13,chop,neutral,down,0,-7.6009,0.516,1w
2022-04-25,chop,neutral,down,0,-5.9995,0.52,1w
2022-05-04,chop,down,down,1,-2.2786,0.3893,1w
2022-05-13,chop,down,up,0,2.5751,0.312,1w
2022-05-24,chop,down,down,1,-1.2966,0.424,1w
2022-06-03,chop,down,down,1,-3.0429,0.3813,1w
2022-06-14,chop,neutral,down,0,-4.2591,0.5467,1w
2022-06-24,chop,down,up,0,0.5165,0.4467,1w
2022-07-06,chop,down,up,0,4.1295,0.2333,1w
2022-07-15,chop,down,up,0,8.0526,0.256,1w
2022-07-26,chop,down,up,0,1.7092,0.296,1w
2022-08-04,chop,down,up,0,6.773,0.4467,1w
2022-08-15,chop,up,up,1,11.4538,0.5853,1w
2022-08-24,chop,neutral,up,0,7.3718,0.4907,1w
2022-09-02,chop,up,down,0,-2.6286,0.612,1w
2022-09-14,trending_bull,up,down,0,-5.8526,0.6987,1w
2022-09-23,trending_bull,up,down,0,-6.8894,0.6933,1w
2022-10-04,chop,up,neutral,0,0.1101,0.62,1w
2022-10-13,trending_bear,up,down,0,-4.6475,0.6227,1w
2022-10-24,chop,neutral,down,0,-3.3418,0.524,1w
2022-11-02,chop,neutral,down,0,-4.0948,0.5053,1w
2022-11-11,chop,down,down,1,-5.1491,0.4253,1w
2022-11-22,chop,down,down,1,-2.5437,0.3973,1w
2022-12-02,chop,down,up,0,1.8718,0.2733,1w
2022-12-13,trending_bear,down,down,1,-3.8295,0.1867,1w
2022-12-22,chop,down,neutral,0,-0.0098,0.2347,1w
2023-01-04,chop,down,down,1,-1.0523,0.3467,1w
2023-01-13,chop,down,up,0,4.9466,0.2187,1w
2023-01-25,chop,down,up,0,2.1542,0.332,1w
2023-02-03,chop,down,up,0,5.391,0.3267,1w
2023-02-14,chop,down,up,0,7.2689,0.388,1w
2023-02-24,trending_bull,neutral,up,0,9.3819,0.4653,1w
2023-03-07,trending_bull,up,up,1,13.039,0.616,1w
2023-03-16,trending_bull,up,up,1,5.6901,0.6947,1w
2023-03-27,trending_bull,up,up,1,5.5319,0.7293,1w
2023-04-05,trending_bull,up,down,0,-3.1522,0.8467,1w
2023-04-17,trending_bull,up,up,1,0.7698,0.924,1w
2023-04-26,trending_bull,up,down,0,-3.0678,0.872,1w
2023-05-05,trending_bull,up,down,0,-1.8346,0.7893,1w
2023-05-16,trending_bull,up,down,0,-7.4319,0.8213,1w
2023-05-25,chop,up,neutral,0,-0.3918,0.7107,1w
2023-06-06,chop,up,down,0,-1.5706,0.6027,1w
2023-06-15,chop,down,up,0,8.564,0.388,1w
2023-06-27,chop,neutral,up,0,2.1149,0.4587,1w
2023-07-07,chop,down,up,0,2.9025,0.2933,1w
2023-07-18,chop,down,up,0,0.7457,0.4467,1w
2023-07-27,chop,neutral,up,0,3.1581,0.4587,1w
2023-08-07,chop,down,down,1,-1.3822,0.424,1w
2023-08-16,chop,neutral,down,0,-4.6205,0.4907,1w
2023-08-25,chop,neutral,down,0,-2.4728,0.5467,1w
2023-09-06,chop,neutral,up,0,10.8221,0.456,1w
2023-09-15,chop,up,up,1,5.4038,0.5587,1w
2023-09-26,chop,neutral,up,0,6.0195,0.4693,1w
2023-10-05,high_volatility,up,down,0,-5.392,0.7013,1w
2023-10-16,high_volatility,neutral,up,0,0.6713,0.5013,1w
2023-10-25,chop,neutral,up,0,2.7624,0.5387,1w
2023-11-03,chop,neutral,down,0,-3.1447,0.524,1w
2023-11-14,chop,neutral,down,0,-8.0624,0.5133,1w
2023-11-24,chop,neutral,down,0,-11.3112,0.5467,1w
2023-12-05,chop,neutral,down,0,-6.1335,0.5013,1w
2023-12-14,trending_bear,down,up,0,2.6274,0.3973,1w
2023-12-26,trending_bear,down,up,0,1.4555,0.3347,1w
2024-01-05,trending_bear,down,neutral,0,-0.2942,0.144,1w
2024-01-17,chop,down,down,1,-1.0638,0.256,1w
2024-01-26,chop,down,up,0,2.2686,0.2253,1w
2024-02-06,chop,down,up,0,3.5908,0.2453,1w
2024-02-15,chop,down,up,0,4.6328,0.2693,1w
2024-02-27,chop,down,up,0,5.7487,0.2747,1w
2024-03-07,crisis,down,down,1,-7.686,0.4107,1w
2024-03-18,crisis,up,down,0,-7.7481,0.5987,1w
2024-03-27,chop,up,down,0,-8.8876,0.676,1w
2024-04-08,crisis,down,neutral,0,0.2552,0.36,1w
2024-04-17,high_volatility,down,up,0,1.9939,0.408,1w
2024-04-26,chop,neutral,down,0,-1.8879,0.4707,1w
2024-05-07,chop,down,down,1,-1.2797,0.436,1w
2024-05-16,chop,down,up,0,7.8514,0.424,1w
2024-05-28,chop,down,up,0,5.3763,0.3693,1w
2024-06-06,chop,down,up,0,7.1908,0.4133,1w
2024-06-17,trending_bull,down,down,1,-5.7977,0.44,1w
2024-06-27,chop,down,up,0,2.435,0.3453,1w
2024-07-09,trending_bull,up,down,0,-7.4764,0.6173,1w
2024-07-18,chop,neutral,neutral,0,-0.1109,0.528,1w
2024-07-29,chop,up,up,1,2.4765,0.5907,1w
2024-08-07,chop,neutral,up,0,5.5274,0.4653,1w
2024-08-16,chop,neutral,up,0,4.9756,0.528,1w
2024-08-27,chop,up,neutral,0,-0.0612,0.6987,1w
2024-09-06,chop,neutral,up,0,1.3511,0.5467,1w
2024-09-17,chop,neutral,down,0,-0.5141,0.4587,1w
2024-09-26,chop,up,up,1,2.0222,0.5827,1w
2024-10-07,chop,down,up,0,1.4082,0.4387,1w
2024-10-16,chop,up,up,1,5.3321,0.56,1w
2024-10-25,chop,neutral,down,0,-0.5806,0.5493,1w
2024-11-05,chop,up,neutral,0,-0.1924,0.6733,1w
2024-11-14,chop,up,down,0,-1.361,0.668,1w
2024-11-25,chop,neutral,up,0,3.9769,0.484,1w
