date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-10.6755,0.456,1w
2021-01-13,chop,down,down,1,-2.6208,0.4053,1w
2021-01-25,chop,down,up,0,1.2686,0.2093,1w
2021-02-03,chop,down,up,0,7.1962,0.216,1w
2021-02-12,chop,down,up,0,3.5077,0.3467,1w
2021-02-24,chop,down,up,0,11.8259,0.3147,1w
2021-03-05,high_volatility,down,up,0,4.7498,0.4213,1w
2021-03-16,crisis,down,down,1,-18.064,0.4213,1w
2021-03-25,chop,neutral,down,0,-26.8251,0.4867,1w
2021-04-06,chop,down,down,1,-19.3567,0.4067,1w
2021-04-15,chop,down,down,1,-14.9025,0.3147,1w
2021-04-26,trending_bear,down,down,1,-13.6189,0.3173,1w
2021-05-05,trending_bear,down,down,1,-2.7622,0.3307,1w
2021-05-14,trending_bear,down,down,1,-12.9588,0.2747,1w
2021-05-25,trending_bear,down,down,1,-1.8884,0.256,1w
2021-06-04,chop,down,down,1,-13.4274,0.3467,1w
2021-06-15,chop,down,down,1,-1.8254,0.1733,1w
2021-06-24,trending_bear,down,up,0,7.7521,0.152,1w
2021-07-06,chop,down,up,0,28.2839,0.2173,1w
2021-07-15,chop,down,up,0,25.2239,0.2813,1w
2021-07-26,chop,down,neutral,0,0.1136,0.424,1w
2021-08-04,trending_bull,neutral,down,0,-13.5837,0.52,1w
2021-08-13,trending_bull,up,down,0,-13.7897,0.5827,1w
2021-08-24,chop,up,down,0,-19.0974,0.5693,1w
2021-09-02,chop,down,down,1,-10.9714,0.4253,1w
2021-09-14,chop,up,down,0,-4.4158,0.56,1w
2021-09-23,chop,down,up,0,6.5192,0.3467,1w
2021-10-04,chop,neutral,up,0,11.4456,0.4653,1w
2021-10-13,chop,neutral,up,0,30.1429,0.4907,1w
2021-10-22,chop,down,up,0,34.0846,0.3387,1w
2021-11-02,chop,down,up,0,17.4922,0.3707,1w
2021-11-11,trending_bull,neutral,down,0,-5.8316,0.5267,1w
2021-11-22,trending_bull,up,down,0,-5.9202,0.6,1w
