date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-6.6444,0.404,1w
2021-01-13,chop,neutral,down,0,-0.8761,0.4667,1w
2021-01-25,chop,down,up,0,2.8025,0.296,1w
2021-02-03,trending_bear,down,down,1,-0.5783,0.2853,1w
2021-02-12,trending_bull,down,down,1,-11.6361,0.4493,1w
2021-02-24,chop,up,down,0,-10.7001,0.5747,1w
2021-03-05,high_volatility,up,down,0,-6.0782,0.584,1w
2021-03-16,high_volatility,down,up,0,1.8082,0.2973,1w
2021-03-25,trending_bear,down,down,1,-16.7514,0.328,1w
2021-04-06,chop,down,down,1,-16.4339,0.256,1w
2021-04-15,chop,down,down,1,-22.359,0.2773,1w
2021-04-26,trending_bear,down,down,1,-7.2959,0.1973,1w
2021-05-05,trending_bear,down,neutral,0,-0.3576,0.1973,1w
2021-05-14,trending_bear,down,down,1,-3.8975,0.1667,1w
2021-05-25,trending_bear,down,down,1,-5.3363,0.156,1w
2021-06-04,trending_bear,down,down,1,-10.5274,0.236,1w
2021-06-15,trending_bear,down,down,1,-3.5663,0.22,1w
2021-06-24,trending_bear,down,down,1,-2.7475,0.18,1w
2021-07-06,trending_bear,down,up,0,0.7861,0.1947,1w
2021-07-15,trending_bear,down,up,0,7.8488,0.1613,1w
2021-07-26,chop,down,down,1,-4.2701,0.2747,1w
2021-08-04,chop,down,down,1,-10.415,0.268,1w
2021-08-13,chop,down,down,1,-12.4202,0.44,1w
2021-08-24,chop,down,down,1,-13.9988,0.3013,1w
2021-09-02,trending_bear,down,down,1,-7.8522,0.1387,1w
2021-09-14,trending_bear,down,down,1,-13.5807,0.336,1w
2021-09-23,trending_bear,down,down,1,-2.6601,0.1587,1w
2021-10-04,trending_bear,down,up,0,3.575,0.1867,1w
2021-10-13,trending_bear,down,up,0,4.4138,0.1773,1w
2021-10-22,trending_bear,down,up,0,3.6937,0.1947,1w
2021-11-02,chop,down,up,0,11.5685,0.2693,1w
2021-11-11,chop,down,down,1,-4.7738,0.2347,1w
2021-11-22,chop,down,up,0,3.161,0.3507,1w
2021-12-02,chop,neutral,up,0,3.6062,0.4653,1w
2021-12-13,chop,down,up,0,14.1688,0.4013,1w
2021-12-22,chop,neutral,up,0,14.4708,0.524,1w
2022-01-03,chop,up,up,1,17.4067,0.5773,1w
2022-01-12,chop,up,up,1,0.9302,0.6987,1w
