date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-9.4851,0.7653,1w
2021-01-13,chop,up,down,0,-3.8715,0.6027,1w
2021-01-25,trending_bear,down,down,1,-1.3408,0.408,1w
2021-02-03,crisis,down,down,1,-3.9415,0.4453,1w
2021-02-12,crisis,neutral,down,0,-6.6547,0.4587,1w
2021-02-24,high_volatility,down,down,1,-4.6303,0.4253,1w
2021-03-05,crisis,down,neutral,0,0.0758,0.3507,1w
2021-03-16,crisis,down,up,0,4.5704,0.1947,1w
2021-03-25,crisis,down,up,0,2.2556,0.2253,1w
2021-04-06,high_volatility,down,down,1,-2.2345,0.2413,1w
2021-04-15,chop,down,down,1,-9.3214,0.3467,1w
2021-04-26,chop,down,down,1,-6.1433,0.4093,1w
2021-05-05,chop,down,up,0,2.0307,0.324,1w
2021-05-14,high_volatility,down,down,1,-1.0542,0.3093,1w
2021-05-25,high_volatility,down,down,1,-1.0374,0.3653,1w
2021-06-04,chop,neutral,down,0,-1.0875,0.4933,1w
2021-06-15,chop,down,up,0,6.0056,0.412,1w
2021-06-24,chop,down,up,0,2.2985,0.36,1w
2021-07-06,chop,neutral,up,0,2.5507,0.4653,1w
2021-07-15,chop,down,neutral,0,0.0085,0.3893,1w
2021-07-26,chop,down,down,1,-2.6562,0.4067,1w
2021-08-04,chop,neutral,down,0,-4.3324,0.4907,1w
2021-08-13,chop,up,down,0,-3.4701,0.5667,1w
2021-08-24,chop,neutral,down,0,-2.9099,0.4773,1w
2021-09-02,chop,down,down,1,-3.2198,0.3867,1w
2021-09-14,chop,neutral,down,0,-8.0822,0.5293,1w
2021-09-23,chop,down,neutral,0,0.3434,0.3893,1w
2021-10-04,chop,down,up,0,6.0497,0.312,1w
2021-10-13,chop,down,up,0,13.1747,0.236,1w
2021-10-22,chop,down,up,0,14.0204,0.3587,1w
2021-11-02,chop,down,up,0,10.5752,0.4333,1w
2021-11-11,trending_bull,up,up,1,5.5981,0.5587,1w
2021-11-22,trending_bull,up,up,1,3.5459,0.6067,1w
2021-12-02,trending_bull,up,down,0,-2.0975,0.724,1w
2021-12-13,trending_bull,up,down,0,-0.9681,0.7,1w
2021-12-22,trending_bull,up,neutral,0,-0.2407,0.752,1w
2022-01-03,trending_bull,up,neutral,0,-0.3652,0.7293,1w
2022-01-12,chop,up,up,1,1.7662,0.7947,1w
2022-01-24,chop,up,neutral,0,0.0482,0.8427,1w
2022-02-02,chop,up,up,1,2.2716,0.708,1w
2022-02-11,chop,up,down,0,-2.3808,0.668,1w
2022-02-23,chop,up,up,1,0.7885,0.5627,1w
2022-03-04,chop,down,up,0,3.6874,0.4453,1w
2022-03-15,chop,down,up,0,5.3256,0.3787,1w
2022-03-24,chop,down,up,0,7.4207,0.424,1w
2022-04-04,chop,neutral,up,0,3.3197,0.524,1w
2022-04-13,chop,up,neutral,0,0.496,0.5693,1w
2022-04-25,trending_bull,up,down,0,-5.1736,0.6587,1w
2022-05-04,trending_bull,up,down,0,-1.9594,0.656,1w
2022-05-13,trending_bull,up,down,0,-1.2925,0.6053,1w
2022-05-24,trending_bear,neutral,up,0,3.5286,0.5347,1w
2022-06-03,trending_bear,up,up,1,0.7676,0.6,1w
2022-06-14,chop,up,down,0,-2.4856,0.6173,1w
2022-06-24,chop,up,up,1,2.249,0.58,1w
2022-07-06,chop,neutral,up,0,0.6744,0.5013,1w
2022-07-15,chop,down,down,1,-0.8368,0.4253,1w
2022-07-26,chop,down,down,1,-4.9108,0.4467,1w
2022-08-04,chop,down,down,1,-4.3129,0.3893,1w
2022-08-15,chop,down,up,0,0.5678,0.3387,1w
2022-08-24,chop,down,down,1,-3.2253,0.4293,1w
2022-09-02,chop,down,down,1,-2.6403,0.3467,1w
2022-09-14,trending_bear,down,down,1,-8.6804,0.2747,1w
2022-09-23,chop,down,down,1,-3.3062,0.2347,1w
2022-10-04,trending_bear,down,up,0,1.9944,0.2253,1w
2022-10-13,trending_bear,down,up,0,5.7915,0.1427,1w
2022-10-24,trending_bear,down,up,0,7.1731,0.152,1w
2022-11-02,chop,down,neutral,0,-0.0757,0.236,1w
2022-11-11,chop,down,up,0,3.1517,0.3267,1w
2022-11-22,chop,down,up,0,1.6379,0.4373,1w
2022-12-02,chop,down,up,0,3.4652,0.4253,1w
2022-12-13,chop,neutral,down,0,-0.9915,0.5213,1w
2022-12-22,chop,up,neutral,0,-0.0307,0.5853,1w
2023-01-04,chop,up,down,0,-1.5661,0.6107,1w
2023-01-13,chop,up,up,1,3.8193,0.7307,1w
2023-01-25,chop,up,up,1,7.4839,0.6973,1w
2023-02-03,chop,neutral,up,0,10.1975,0.4547,1w
2023-02-14,high_volatility,up,up,1,1.5693,0.6053,1w
2023-02-24,trending_bull,up,down,0,-1.6346,0.6773,1w
2023-03-07,trending_bull,up,down,0,-3.0489,0.7693,1w
2023-03-16,trending_bull,up,up,1,1.2695,0.5893,1w
2023-03-27,chop,up,up,1,3.0877,0.5747,1w
2023-04-05,chop,up,up,1,0.7099,0.632,1w
2023-04-17,chop,up,neutral,0,0.37,0.6573,1w
