date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-06-10,chop,down,down,1,-31.085,0.3347,1w
2021-06-21,trending_bear,down,up,0,8.5657,0.22,1w
2021-06-30,trending_bear,down,up,0,18.3628,0.144,1w
2021-07-12,trending_bear,down,up,0,49.3243,0.128,1w
2021-07-21,trending_bear,down,up,0,25.8123,0.1933,1w
2021-07-30,chop,down,up,0,25.6364,0.2133,1w
2021-08-10,chop,down,up,0,4.9365,0.3813,1w
2021-08-19,trending_bull,down,up,0,1.8576,0.4147,1w
2021-08-30,chop,down,down,1,-2.4355,0.4093,1w
2021-09-09,chop,neutral,down,0,-8.094,0.524,1w
2021-09-20,chop,up,up,1,10.6583,0.6173,1w
2021-09-29,chop,up,up,1,22.9709,0.7,1w
2021-10-08,chop,up,up,1,18.5777,0.7267,1w
2021-10-19,chop,up,up,1,19.0217,0.616,1w
2021-10-28,chop,up,up,1,2.2947,0.704,1w
2021-11-08,chop,up,down,0,-2.0531,0.58,1w
2021-11-17,trending_bull,up,up,1,0.7026,0.6787,1w
2021-11-29,chop,up,down,0,-7.6202,0.6107,1w
2021-12-08,chop,neutral,up,0,4.0865,0.52,1w
2021-12-17,chop,up,up,1,6.4951,0.712,1w
2021-12-29,chop,up,up,1,12.0541,0.6227,1w
2022-01-07,chop,up,up,1,13.349,0.6653,1w
2022-01-19,chop,up,up,1,9.6774,0.6173,1w
2022-01-28,chop,up,up,1,12.2247,0.5667,1w
2022-02-08,chop,up,up,1,13.1637,0.6107,1w
2022-02-17,chop,up,up,1,11.0011,0.5707,1w
2022-03-01,trending_bull,up,up,1,0.7641,0.596,1w
2022-03-10,trending_bull,up,down,0,-2.7586,0.6173,1w
2022-03-21,chop,up,neutral,0,-0.3914,0.6227,1w
2022-03-30,chop,up,down,0,-8.3102,0.668,1w
2022-04-08,chop,up,down,0,-14.4603,0.5853,1w
2022-04-20,chop,up,down,0,-20.1349,0.5907,1w
2022-04-29,chop,neutral,down,0,-2.3809,0.5453,1w
2022-05-10,chop,down,up,0,7.5995,0.4133,1w
2022-05-19,trending_bear,down,down,1,-1.3921,0.3947,1w
2022-05-31,chop,down,down,1,-3.6117,0.3187,1w
2022-06-09,chop,down,down,1,-4.7098,0.3387,1w
2022-06-21,chop,down,up,0,3.9581,0.2747,1w
2022-06-30,chop,down,up,0,9.9509,0.2267,1w
2022-07-12,chop,down,down,1,-9.8434,0.3387,1w
2022-07-21,chop,down,down,1,-16.2255,0.3013,1w
2022-08-01,chop,down,down,1,-5.0239,0.424,1w
2022-08-10,chop,down,neutral,0,-0.3672,0.4453,1w
2022-08-19,chop,down,up,0,8.9189,0.324,1w
2022-08-30,trending_bear,down,up,0,2.706,0.376,1w
2022-09-09,chop,down,up,0,11.7198,0.376,1w
2022-09-20,chop,down,up,0,15.7407,0.412,1w
2022-09-29,chop,neutral,down,0,-7.0025,0.4947,1w
