date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-15.5107,0.2013,1w
2021-01-13,trending_bear,down,down,1,-14.6088,0.1653,1w
2021-01-25,trending_bear,down,down,1,-17.2213,0.076,1w
2021-02-03,trending_bear,down,down,1,-23.6311,0.116,1w
2021-02-12,trending_bear,down,down,1,-32.9935,0.1467,1w
2021-02-24,trending_bear,down,down,1,-2.7394,0.108,1w
2021-03-05,trending_bear,down,up,0,8.3349,0.1413,1w
2021-03-16,trending_bear,down,up,0,7.6892,0.0787,1w
2021-03-25,trending_bear,down,down,1,-14.9299,0.1533,1w
2021-04-06,trending_bear,down,down,1,-16.6962,0.184,1w
2021-04-15,chop,down,down,1,-26.0423,0.1773,1w
2021-04-26,chop,down,down,1,-12.7977,0.216,1w
2021-05-05,chop,down,up,0,2.9914,0.2347,1w
2021-05-14,trending_bear,down,up,0,8.9414,0.1707,1w
2021-05-25,trending_bear,down,up,0,24.7297,0.2933,1w
2021-06-04,trending_bull,neutral,up,0,10.053,0.4973,1w
2021-06-15,trending_bear,neutral,down,0,-8.8995,0.504,1w
2021-06-24,trending_bull,neutral,down,0,-13.4866,0.4733,1w
2021-07-06,chop,neutral,down,0,-3.4939,0.456,1w
2021-07-15,chop,down,up,0,9.6845,0.3733,1w
2021-07-26,chop,neutral,down,0,-18.9475,0.5013,1w
2021-08-04,chop,neutral,down,0,-28.1056,0.5013,1w
2021-08-13,chop,up,down,0,-30.3541,0.58,1w
2021-08-24,chop,down,down,1,-10.848,0.3813,1w
2021-09-02,chop,down,down,1,-8.4788,0.2893,1w
2021-09-14,trending_bear,down,down,1,-5.4906,0.2827,1w
2021-09-23,trending_bear,down,up,0,8.771,0.176,1w
2021-10-04,trending_bear,down,up,0,6.8997,0.1787,1w
2021-10-13,chop,down,up,0,10.0361,0.2667,1w
2021-10-22,chop,down,neutral,0,-0.4342,0.304,1w
2021-11-02,chop,down,down,1,-1.4885,0.236,1w
2021-11-11,chop,down,down,1,-16.5648,0.2547,1w
2021-11-22,chop,down,down,1,-9.3584,0.428,1w
2021-12-02,chop,down,down,1,-10.2947,0.428,1w
2021-12-13,chop,down,down,1,-5.5908,0.4067,1w
2021-12-22,chop,down,up,0,5.2927,0.4147,1w
2022-01-03,chop,down,up,0,22.4538,0.3507,1w
2022-01-12,chop,down,up,0,10.059,0.4133,1w
2022-01-24,chop,down,up,0,8.245,0.3507,1w
2022-02-02,chop,neutral,down,0,-10.3218,0.5173,1w
2022-02-11,trending_bull,down,down,1,-8.819,0.3467,1w
2022-02-23,chop,down,down,1,-6.6144,0.436,1w
2022-03-04,chop,down,up,0,5.7286,0.4253,1w
2022-03-15,chop,down,down,1,-1.5441,0.4253,1w
2022-03-24,chop,neutral,down,0,-8.0502,0.5173,1w
2022-04-04,chop,up,down,0,-12.4894,0.5573,1w
2022-04-13,chop,neutral,down,0,-2.3514,0.4707,1w
2022-04-25,chop,down,up,0,1.9534,0.3867,1w
2022-05-04,chop,down,up,0,8.8643,0.2267,1w
2022-05-13,chop,down,up,0,3.6521,0.2693,1w
2022-05-24,chop,down,up,0,2.3034,0.28,1w
2022-06-03,chop,neutral,down,0,-6.9209,0.4587,1w
2022-06-14,chop,down,up,0,4.1464,0.424,1w
2022-06-24,chop,down,up,0,4.482,0.4253,1w
2022-07-06,chop,down,up,0,5.1622,0.3587,1w
2022-07-15,chop,up,down,0,-8.6054,0.56,1w
2022-07-26,chop,up,down,0,-7.5149,0.6387,1w
2022-08-04,chop,up,up,1,6.7288,0.576,1w
2022-08-15,chop,neutral,up,0,9.4761,0.4693,1w
2022-08-24,chop,neutral,up,0,1.4033,0.5027,1w
2022-09-02,chop,neutral,down,0,-10.7297,0.544,1w
2022-09-14,chop,neutral,down,0,-11.7564,0.5013,1w
2022-09-23,chop,neutral,down,0,-9.019,0.4773,1w
2022-10-04,chop,neutral,down,0,-5.0217,0.4707,1w
2022-10-13,chop,down,down,1,-2.5958,0.256,1w
2022-10-24,chop,down,up,0,5.7664,0.22,1w
2022-11-02,chop,down,up,0,8.2077,0.2693,1w
2022-11-11,chop,down,up,0,13.4618,0.3653,1w
2022-11-22,chop,down,up,0,12.3508,0.3653,1w
2022-12-02,chop,down,down,1,-2.6484,0.3307,1w
2022-12-13,chop,neutral,down,0,-4.214,0.4653,1w
2022-12-22,chop,up,down,0,-9.1497,0.5587,1w
2023-01-04,chop,neutral,down,0,-4.8835,0.52,1w
2023-01-13,chop,up,down,0,-5.6071,0.6013,1w
2023-01-25,chop,up,down,0,-6.8202,0.632,1w
2023-02-03,chop,neutral,up,0,4.434,0.4827,1w
2023-02-14,chop,neutral,up,0,2.9981,0.4987,1w
2023-02-24,chop,down,down,1,-2.6698,0.4213,1w
2023-03-07,chop,down,down,1,-6.1017,0.412,1w
2023-03-16,chop,down,down,1,-10.4937,0.3467,1w
2023-03-27,chop,down,down,1,-8.3759,0.2973,1w
2023-04-05,chop,down,down,1,-1.8886,0.3733,1w
2023-04-17,chop,down,up,0,8.0061,0.2613,1w
2023-04-26,trending_bear,down,up,0,1.629,0.3013,1w
2023-05-05,chop,down,neutral,0,-0.0805,0.4133,1w
2023-05-16,chop,neutral,down,0,-9.7248,0.4587,1w
2023-05-25,chop,down,down,1,-7.2833,0.312,1w
2023-06-06,chop,down,down,1,-9.0477,0.2973,1w
2023-06-15,chop,down,up,0,3.7752,0.2173,1w
2023-06-27,chop,down,up,0,2.7706,0.2173,1w
2023-07-07,chop,down,down,1,-1.846,0.2947,1w
2023-07-18,chop,neutral,down,0,-2.1978,0.4587,1w
2023-07-27,chop,down,up,0,18.2361,0.396,1w
2023-08-07,chop,down,up,0,20.6569,0.2693,1w
2023-08-16,chop,down,up,0,16.4457,0.2827,1w
2023-08-25,chop,up,down,0,-5.4937,0.6387,1w
2023-09-06,trending_bull,neutral,up,0,2.203,0.548,1w
2023-09-15,trending_bull,up,neutral,0,0.4551,0.6933,1w
2023-09-26,chop,up,up,1,5.4572,0.6653,1w
2023-10-05,chop,up,up,1,10.8275,0.708,1w
2023-10-16,chop,up,up,1,23.3715,0.656,1w
2023-10-25,chop,up,up,1,18.2432,0.7,1w
2023-11-03,trending_bull,up,up,1,7.5884,0.8253,1w
2023-11-14,trending_bull,up,up,1,1.4039,0.8867,1w
2023-11-24,crisis,up,down,0,-3.774,0.7307,1w
2023-12-05,high_volatility,up,down,0,-1.2236,0.752,1w
2023-12-14,high_volatility,up,down,0,-5.2029,0.7253,1w
2023-12-26,high_volatility,up,up,1,3.7453,0.7347,1w
2024-01-05,chop,up,up,1,7.7564,0.708,1w
2024-01-17,chop,up,up,1,9.1328,0.6573,1w
2024-01-26,high_volatility,up,down,0,-16.422,0.704,1w
2024-02-06,chop,up,down,0,-14.6888,0.6,1w
2024-02-15,chop,neutral,down,0,-10.4614,0.5053,1w
2024-02-27,crisis,down,up,0,1.5468,0.2267,1w
2024-03-07,high_volatility,down,down,1,-8.8175,0.296,1w
2024-03-18,chop,down,down,1,-5.9713,0.3347,1w
2024-03-27,chop,down,up,0,5.124,0.2827,1w
2024-04-08,crisis,down,up,0,11.7221,0.236,1w
2024-04-17,high_volatility,down,up,0,18.187,0.372,1w
2024-04-26,chop,down,up,0,3.0952,0.3227,1w
2024-05-07,chop,down,down,1,-1.2913,0.3787,1w
2024-05-16,trending_bull,down,down,1,-6.7629,0.4333,1w
2024-05-28,chop,up,down,0,-4.0246,0.584,1w
2024-06-06,chop,up,down,0,-5.4905,0.5933,1w
2024-06-17,chop,neutral,down,0,-4.5006,0.4947,1w
2024-06-27,chop,neutral,down,0,-4.2929,0.5493,1w
2024-07-09,chop,up,down,0,-2.4932,0.5533,1w
2024-07-18,chop,up,down,0,-4.0154,0.5827,1w
2024-07-29,chop,down,up,0,9.156,0.3413,1w
2024-08-07,chop,down,up,0,22.7175,0.1907,1w
2024-08-16,chop,down,up,0,20.3298,0.1907,1w
2024-08-27,trending_bull,neutral,up,0,2.6775,0.4587,1w
